apt_seq	area_type	area_type_source	floor_band	jeonse_level	jeonse_per_m2_adj	jeonse_n_trades	jeonse_months_since	is_move_in_period	jeonse_over_sale_ratio_gt1	est_price_per_m2	est_low	est_high	est_confidence
11110-2704	39.000000	RENT	HIGH	RENT_CELL	709.281642	29.000000	3.000000	0.000000	False	1051.483689	931.810607	1337.875666	LOW
11110-2704	39.000000	RENT	LOW	RENT_CELL	709.281642	29.000000	3.000000	0.000000	False	992.934319	879.924948	1263.379240	LOW
11110-2704	39.000000	RENT	MID	RENT_CELL	709.281642	29.000000	3.000000	0.000000	False	1024.074707	907.521139	1303.001317	LOW
11110-2708	15.000000	BOTH	HIGH	RENT_CELL	1297.454019	37.000000	1.000000	0.000000	True	1165.619733	1032.956424	1483.098875	MEDIUM
11110-2708	15.000000	BOTH	MID	RENT_CELL	1297.454019	37.000000	1.000000	0.000000	True	1155.923726	1024.363954	1470.761973	LOW
11110-2708	18.000000	BOTH	HIGH	RENT_CELL	1291.897015	17.000000	8.000000	0.000000	True	1125.354636	997.274040	1431.866798	MEDIUM
11110-2708	18.000000	BOTH	MID	RENT_CELL	1291.897015	17.000000	8.000000	0.000000	True	1115.993567	988.978388	1419.956061	MEDIUM
11110-2708	21.000000	RENT	HIGH	RENT_CELL	1321.277799	25.000000	1.000000	0.000000	True	1290.204400	1143.361669	1641.616593	LOW
11110-2708	21.000000	RENT	MID	RENT_CELL	1321.277799	25.000000	1.000000	0.000000	True	1279.472057	1133.850812	1627.961089	LOW
11110-2708	24.000000	BOTH	HIGH	RENT_CELL	1690.204548	7.000000	4.000000	0.000000	True	1331.758452	1180.186307	1694.488697	LOW
11110-2708	24.000000	BOTH	MID	RENT_CELL	1690.204548	7.000000	4.000000	0.000000	True	1347.022837	1193.713398	1713.910633	LOW
11110-29	60.000000	BOTH	UNKNOWN	RENT_CELL	462.615516	15.000000	3.000000	0.000000	False	605.399151	536.496530	770.291352	LOW
11110-32	33.000000	RENT	HIGH	RENT_CELL	248.383901	1.000000	44.000000	0.000000	False	994.148566	881.000998	1264.924211	LOW
11110-32	39.000000	RENT	HIGH	RENT_CELL	409.114546	5.000000	33.000000	0.000000	False	945.569885	837.951228	1203.114183	LOW
11110-32	42.000000	RENT	HIGH	RENT_CELL	375.819534	6.000000	34.000000	0.000000	False	943.531926	836.145217	1200.521147	LOW
11110-32	48.000000	RENT	HIGH	RENT_CELL	313.528156	4.000000	37.000000	0.000000	False	967.265727	857.177790	1230.719309	LOW
11110-32	51.000000	RENT	HIGH	RENT_CELL	350.199135	7.000000	33.000000	0.000000	False	914.213299	810.163447	1163.217023	LOW
11110-32	72.000000	RENT	HIGH	RENT_CELL	287.086833	1.000000	45.000000	0.000000	False	889.094639	787.903630	1131.256809	LOW
11110-3414	18.000000	RENT	HIGH	RENT_CELL	1462.320289	32.000000	1.000000	0.000000	False	1846.370057	1636.228143	2349.264754	LOW
11110-3414	18.000000	RENT	MID	RENT_CELL	1462.320289	32.000000	1.000000	0.000000	False	1793.768835	1589.613652	2282.336568	LOW
11110-3414	27.000000	RENT	MID	RENT_CELL	1535.446424	1.000000	10.000000	0.000000	False	2540.984821	2251.786342	3233.071322	LOW
11110-35	57.000000	BOTH	UNKNOWN	RENT_CELL	394.253697	3.000000	25.000000	0.000000	False	557.062246	493.661019	708.788954	LOW
11110-41	45.000000	BOTH	UNKNOWN	RENT_CELL	530.557336	4.000000	26.000000	0.000000	False	726.734574	644.022339	924.674831	LOW
11110-45	60.000000	BOTH	HIGH	RENT_CELL	163.947562	1.000000	9.000000	0.000000	False	635.638333	563.294083	808.766761	MEDIUM
11110-45	60.000000	BOTH	LOW	RENT_CELL	163.947562	1.000000	9.000000	0.000000	False	635.220463	562.923773	808.235077	MEDIUM
11110-45	60.000000	BOTH	MID	RENT_CELL	163.947562	1.000000	9.000000	0.000000	False	645.626748	572.145682	821.475716	MEDIUM
11110-46	60.000000	BOTH	UNKNOWN	RENT_CELL	663.816103	4.000000	25.000000	0.000000	False	786.708148	697.170108	1000.983371	LOW
11110-47	27.000000	RENT	HIGH	RENT_CELL	379.529824	1.000000	52.000000	0.000000	False	695.530335	616.369565	884.971512	LOW
11110-47	33.000000	RENT	HIGH	RENT_CELL	343.052577	1.000000	1.000000	0.000000	False	675.574794	598.685234	859.580692	LOW
11110-47	51.000000	RENT	HIGH	RENT_CELL	245.773798	6.000000	4.000000	0.000000	False	704.782487	624.568697	896.743667	LOW
11110-47	51.000000	RENT	MID	RENT_CELL	245.773798	6.000000	4.000000	0.000000	False	711.421107	630.451752	905.190444	LOW
11110-47	60.000000	RENT	HIGH	RENT_CELL	327.479866	1.000000	41.000000	0.000000	False	699.043393	619.482789	889.441420	MEDIUM
11110-47	60.000000	RENT	MID	RENT_CELL	327.479866	1.000000	41.000000	0.000000	False	706.696946	626.265265	899.179567	MEDIUM
11110-47	84.000000	RENT	HIGH	RENT_CELL	183.352335	1.000000	21.000000	0.000000	False	701.953799	622.061952	893.144531	MEDIUM
