osm_id	shop_type	name	lon	lat
260251281	department_store	Homeplus	126.8958463	37.5181945
275688155	mall		126.8608114	37.5142017
275688252	mall		126.8607678	37.5083697
294742285	supermarket	홈플러스익스프레스	126.9438441	37.4970742
313260160	mall	마리오아울렛 2관	126.8865236	37.4787153
317130836	department_store	롯데몰 광명	126.8843831	37.4242865
384018492	mall	마리오아울렛 3관	126.8850774	37.4784731
385510805	department_store	Homeplus	126.9008001	37.4518892
386770045	supermarket	E-Mart	126.8845885	37.4466059
410742363	supermarket	천성세이브마트 신림본점	126.9179811	37.4743192
468579571	mall	W몰	126.8877112	37.4773345
469840858	supermarket	노브랜드 광명소하점	126.8817702	37.4560683
496108953	supermarket	롯데마트	126.8956735	37.4705959
496108956	department_store	Homeplus	126.8968704	37.4686566
559835062	supermarket	E-Mart	126.8979904	37.4844239
567074995	mall	신림현대종합상가	126.9337271	37.4745694
985449631	department_store	광명역 어반브릭스	126.882622	37.4189701
368664477	supermarket	에어마트	127.01546	37.493995
368664487	supermarket	댄스마트	127.0107727	37.4842174
368664492	supermarket	부동산마트	127.024497	37.500937
368664499	supermarket	벼룩중고마트	126.97523	37.476667
368664617	supermarket	부동산마트	126.995007	37.488408
368665237	supermarket	제노마트	127.022544	37.505003
368665253	supermarket	플라워마트	127.04862	37.460041
368665281	supermarket	비데마트	126.990254	37.494567
368665317	supermarket	비데마트	126.992727	37.484775
368665341	supermarket	로얄비데마트	126.9902694	37.494557
368665506	supermarket	퓨마마트	127.018548	37.506944
368665530	supermarket	중고마트	126.961559	37.494688
368665755	supermarket	케이	126.994204	37.48504
368665869	supermarket	싱싱마트	126.998696	37.497576
368666242	supermarket	빨간마트	126.996749	37.488404
368666314	supermarket	반포마트	127.023031	37.504899
368666501	supermarket	카오디오마트	127.011735	37.5003052
368685949	supermarket	국민마트	126.9929243	37.4330046
368867412	supermarket	신반포상가	126.9944788	37.5054176
368867484	supermarket	삼호상가	126.987636	37.496626
523579814	supermarket	GS 슈퍼마켓	126.9914862	37.4212052
2101059073	supermarket	E-Mart	127.0483475	37.4992855
2101110691	supermarket	홈플러스익스프레스양재점	127.0466763	37.4721829
2101116302	supermarket	영동농협하나로마트	127.0434184	37.47076
2101141964	supermarket	효정마트	127.0594947	37.5001281
2101143048	supermarket	홈플러스익스프레스역삼점	127.0448367	37.4971848
2101146135	department_store	Homeplus	127.0500963	37.5025795
2101146603	supermarket	대치마트	127.0566838	37.5026476
2101147795	supermarket	홈플러스익스프레스삼성2점	127.0551603	37.5105287
2101209803	supermarket	롯데슈퍼	127.022609	37.5046733
2101209814	supermarket	나들가게 한아름마트24	127.021064	37.504452
2101209815	supermarket	동일슈퍼	127.0202272	37.5065627
2101210155	supermarket	나들가게 삼정스토아	127.0213266	37.507562
2101210282	supermarket	현대화마트	127.0207422	37.5088096
2101210664	supermarket	홈플러스익스프레스논현역점	127.0194876	37.5103802
2101215348	supermarket	농협유통하나로마트 청담점	127.0445218	37.5179934
2103891670	supermarket	노브랜드 서초방배점	126.9962639	37.4840252
2104013902	supermarket	홈플러스익스프레스 방배점	126.9847662	37.4852907
2104013903	supermarket	홈플러스익스프레스서래마을점	126.998821	37.497464
2104013904	supermarket	GS슈퍼마켓	127.0119317	37.5140606
2104013906	supermarket	포탈하이웨이방배점	126.9926771	37.487006
2104016424	supermarket	홈플러스익스프레스반포점	127.014051	37.5066349
2104016425	supermarket	롯데마트	127.0109318	37.5025392
2104016427	supermarket	홈플러스익스프레스 서초점	127.0135624	37.4970213
2104017178	supermarket	이마트에브리데이남부터미널점	127.0207846	37.485667
2104017179	supermarket	이마트에브리데이교대점	127.0128543	37.4881001
2104017434	supermarket	서초하나로마트	126.9878776	37.4679724
2289919505	supermarket	럭키할인마트	127.0326295	37.49365
2955673659	supermarket	이마트 에브리데이	127.0418249	37.4690256
3339375663	supermarket	롯데슈퍼	127.0165266	37.4953709
3403744110	supermarket	GS 마켓	127.0122068	37.5028695
3740350725	supermarket	홈플러스익스프레스 개포2점	127.0529748	37.4831817
3749369414	supermarket	스타슈퍼	127.0550987	37.490082
3834145347	department_store	Lotte Duty Free	127.05822	37.5130293
3927966035	supermarket	GS더프레시	126.9614451	37.476926
4248951227	supermarket	롯데슈퍼	127.0215113	37.4862285
4412525381	supermarket	롯데슈퍼	127.0120626	37.5087331
4416275596	department_store	Line Friends cafe & Store	127.0228975	37.5197933
4629114894	supermarket	레몬마트	127.046858	37.5192177
4630230063	supermarket	이삭수퍼	127.0099849	37.4225352
4630270590	supermarket	소망마트	127.0096359	37.4237134
4631029555	supermarket	형제슈퍼	126.9707931	37.4899403
4631029556	supermarket	행복마트	126.9708302	37.4896424
4634071155	supermarket	홈플러스익스프레스	127.0434253	37.4827748
4636856439	supermarket	GS25방배천로점	126.9844091	37.4792491
4636860639	supermarket	한라마트 방배동점 (Hanlla Mart Bangbae)	126.9837912	37.4819478
