ykiho	name	class_cd	class_nm	sggu_nm	emdong_nm	addr	lon	lat	estb_day	doctor_total	telno	is_pediatric
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxMTkxIzExIyQyIyQ3IyQwMCQyNjEwMDIjNDEjJDEjJDgjJDgz	봄솔한의원	93	한의원	강서구	마곡동	서울특별시 강서구 마곡중앙로 161-17, 보타닉파크타워Ⅰ 4층 402호 (마곡동)	126.8259608	37.5680581	20190418	2	02-6956-8256	False
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxMzUxIzIxIyQyIyQxIyQwMCQzNjE0ODEjNDEjJDEjJDgjJDgz	봄한의원	93	한의원	은평구	응암동	서울특별시 은평구 응암로 174-2, 2층 (응암동)	126.9170617	37.5874508	20121127	1	02-302-2225	False
JDQ4MTg4MSM1MSMkMSMkMCMkMTMkNDgxMTkxIzMxIyQxIyQ3IyQwMyQyNjE4MzIjNDEjJDEjJDgjJDgz	봉래한의원	93	한의원	중구	봉래동1가	서울특별시 중구 칠패로 36, (봉래동1가, 연세봉래빌딩)	126.9729032	37.5593908	20091222	1	02-318-7530	False
JDQ4MTg4MSM1MSMkMSMkMCMkMTMkNDgxNzAyIzExIyQxIyQzIyQ3OSQyNjE4MzIjNDEjJDEjJDgjJDgz	봉사당한의원	93	한의원	성북구	하월곡동	서울특별시 성북구 오패산로 34, 지상2층 (하월곡동)	127.0372637	37.6051558	20020409	1	02-914-6080	False
JDQ4MTg4MSM1MSMkMSMkMCMkMTMkMzgxNzAyIzIxIyQxIyQxIyQ4MiQzNjEyMjIjNDEjJDEjJDQjJDgz	봉산한의원	93	한의원	성동구	홍익동	서울특별시 성동구 마장로21길 7-1, (홍익동)	127.0308937	37.5675028	19850802	1	02-2292-4892	False
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxMTkxIzIxIyQxIyQxIyQ4OSQyNjEyMjIjNDEjJDEjJDgjJDgz	봉천경희한의원	93	한의원	관악구	봉천동	서울특별시 관악구 행운1길 122, (봉천동)	126.9562305	37.4840319	20010719	1	02-888-6275	False
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxOTYxIzUxIyQxIyQxIyQ2MiQ0NjE0ODEjNjEjJDEjJDAjJDgz	봉천한의원	93	한의원	관악구	봉천동	서울특별시 관악구 남부순환로 1734-0, 601호 (봉천동)	126.9427856	37.4819927	20170807	1	02-6335-8275	False
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxMzUxIzExIyQxIyQzIyQ5MiQ0NjE0ODEjNDEjJDEjJDQjJDgz	봉화산한의원	93	한의원	중랑구	신내동	서울특별시 중랑구 봉화산로 224, 2층 (신내동)	127.0976879	37.6076876	20090728	1	02-491-1275	False
JDQ4MTg4MSM1MSMkMSMkMCMkMTMkNDgxMzUxIzUxIyQxIyQ1IyQ3OSQyNjEyMjIjNTEjJDEjJDYjJDgz	봉황한의원	93	한의원	강남구	대치동	서울특별시 강남구 남부순환로 2936, 306호 (대치동, 윈플러스상가)	127.0618767	37.493385	20170428	1	02-563-7400	False
JDQ4MTg4MSM1MSMkMSMkMCMkMTMkNDgxOTYxIzIxIyQxIyQxIyQxMyQzNjE0ODEjNjEjJDEjJDgjJDgz	부강한의원	93	한의원	강동구	성내동	서울특별시 강동구 풍성로 136, (성내동, 삼성아파트 상가)	127.1270112	37.5312731	19950316	1	02-474-4783	False
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkMzgxNzAyIzIxIyQxIyQ1IyQ2MiQzNjE0ODEjODEjJDEjJDYjJDgz	부강한의원	93	한의원	금천구	시흥동	서울특별시 금천구 금하로24길 5, 2층 (시흥동)	126.9086928	37.450771	20030122	1	02-806-2585	False
JDQ4MTg4MSM1MSMkMSMkMCMkMTMkMzgxNzAyIzExIyQxIyQzIyQ2MiQzNjE4MzIjNDEjJDEjJDgjJDgz	부령한의원	93	한의원	노원구	하계동	서울특별시 노원구 섬밭로 229, 207호 (하계동, 벽산상가)	127.0639372	37.636219	19890221	1	02-978-7855	False
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxMzUxIzMxIyQxIyQzIyQ2MiQyNjE0ODEjNjEjJDEjJDAjJDgz	부부경희한의원	93	한의원	강서구	가양동	서울특별시 강서구 양천로57길 16, 2층 (가양동, 영보빌딩)	126.8525226	37.5633795	20020809	1	02-3664-7582	False
JDQ4MTg4MSM1MSMkMSMkMCMkMTMkNDgxMzUxIzIxIyQyIyQ5IyQwMCQzNjE0ODEjNDEjJDEjJDQjJDgz	부부한의원	93	한의원	은평구	응암동	서울특별시 은평구 응암로 175-1, (응암동)	126.9164352	37.587772	19900427	1	02-309-2488	False
JDQ4MTg4MSM1MSMkMSMkMCMkMTMkNDgxOTYxIzExIyQxIyQzIyQ3OSQ0NjE0ODEjNDEjJDEjJDgjJDgz	부부한의원	93	한의원	중랑구	면목동	서울특별시 중랑구 동일로109길 54, (면목동)	127.0771861	37.5915337	19960513	1	02-433-1142	False
JDQ4MTg4MSM1MSMkMSMkMCMkMTMkNDgxOTYxIzUxIyQxIyQxIyQ2MiQzNjEyMjIjNjEjJDEjJDAjJDgz	부부한의원	93	한의원	도봉구	창동	서울특별시 도봉구 덕릉로 235, (창동)	127.0381244	37.6389345	19971216	1	02-997-8383	False
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxOTYxIzIxIyQxIyQ5IyQxMyQzNjE4MzIjNzEjJDEjJDgjJDgz	부산상록한의원	93	한의원	동대문구	제기동	서울특별시 동대문구 왕산로 123, (제기동)	127.0371753	37.5784299	20040308	1	02-967-0111	False
JDQ4MTg4MSM1MSMkMSMkMCMkMTMkNDgxOTYxIzQxIyQxIyQ3IyQ5MiQyNjEwMDIjODEjJDEjJDYjJDgz	부암한의원	93	한의원	종로구	부암동	서울특별시 종로구 자하문로 266, 타임730오피스텔 232호 (부암동)	126.9630541	37.5978075	19970423	1	02-394-2723	False
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxMzUxIzIxIyQxIyQ1IyQwMyQ0NjEwMDIjNjEjJDEjJDAjJDgz	부용한의원	93	한의원	은평구	응암동	서울특별시 은평구 은평로 119, 301호 (응암동)	126.9209119	37.6005473	20031216	1	02-383-3305	False
JDQ4MTg4MSM1MSMkMSMkOCMkMTMkMzgxNzAyIzExIyQxIyQzIyQ5OSQyNjE0ODEjNjEjJDEjJDgjJDgz	북가좌경희한의원	93	한의원	서대문구	북가좌동	서울특별시 서대문구 응암로 112, 2층 202호 (북가좌동)	126.9136046	37.5824537	20090610	1	02-553-8770	False
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkMzgxNzAyIzUxIyQxIyQ1IyQwMyQzNjEyMjIjNTEjJDEjJDIjJDgz	북경백침당한의원	93	한의원	송파구	잠실동	서울특별시 송파구 석촌호수로 135, (잠실동,레이크팰리스상가 A동 309호)	127.0923856	37.5075719	20090319	1	02-2147-1075	False
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxMTkxIzMxIyQxIyQzIyQ4MiQ0NjE0ODEjNjEjJDEjJDQjJDgz	북서울한의원	93	한의원	강북구	미아동	서울특별시 강북구 도봉로 173, 캠프 3층 (미아동)	127.0266669	37.6241758	20220614	4	02-980-0234	False
JDQ4MTg4MSM1MSMkMSMkMCMkMTMkNDgxMzUxIzUxIyQxIyQ1IyQ4OSQyNjEyMjIjNDEjJDEjJDgjJDgz	북한산한의원	93	한의원	성북구	정릉동	서울특별시 성북구 보국문로 82, 2층 (정릉동)	127.0086711	37.6116371	19951106	1	02-941-7955	False
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxMTkxIzMxIyQxIyQzIyQwMyQzNjEyMjIjNTEjJDEjJDYjJDgz	불광경희한의원	93	한의원	은평구	불광동	서울특별시 은평구 통일로 730, 402호 (불광동, 보광빌딩)	126.9300557	37.6108049	19941018	2	02-984-9988	False
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxOTYxIzUxIyQxIyQxIyQ5MiQyNjEwMDIjODEjJDEjJDYjJDgz	불광신광한의원	93	한의원	은평구	대조동	서울특별시 은평구 불광로 20, 15층 A001호 (대조동, NC백화점)	126.9289116	37.6097656	20161125	1	02-350-8775	False
JDQ4MTg4MSM1MSMkMSMkMCMkMTMkNDgxMzUxIzExIyQxIyQ3IyQwMyQyNjEyMjIjNDEjJDEjJDgjJDgz	불광한의원	93	한의원	은평구	진관동	서울특별시 은평구 연서로 524, (진관동)	126.9375176	37.6405607	19870511	1	02-355-2448	False
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxMTkxIzUxIyQyIyQ1IyQwMCQyNjEwMDIjNDEjJDEjJDgjJDgz	불암경희한의원	93	한의원	노원구	상계동	서울특별시 노원구 노원로 449, 4층 (상계동)	127.0664416	37.6566695	20250203	1	02-2138-3479	False
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxMTkxIzUxIyQxIyQxIyQ5OSQzNjEyMjIjODEjJDEjJDYjJDgz	뷰리플한의원	93	한의원	강남구	신사동	서울특별시 강남구 압구정로 224, 우미빌딩 2층 205호 (신사동)	127.0321634	37.5285688	20240401	3	02-2039-7082	False
