aptSeq	apt_name	umd_name	jibun	build_year	n_trades	name_key	osm_id	name	osm_build_year	osm_n_dong
11680-1364	아람손프라자/비바빌	개포동	1164-7	2001.0	1	아람손프라자비바빌				
11680-137	논현빌라트	논현동	102-9	1999.0	1	논현빌라트				
11680-141	청학아파트에이동,비동,씨동	논현동	62-3	1976.0	4	청학에이동비동씨동				
11680-15	신사동씨티빌	신사동	523-4	2002.0	1	신사동씨티빌				
11680-158	논현베르빌	논현동	214-2	2002.0	3	논현베르빌				
11680-160	논현한가람빌라트	논현동	105-3	2002.0	1	논현한가람빌라트				
11680-164	테크노빌라트	논현동	271-6	2002.0	1	테크노빌라트				
11680-172	강변삼부아파트	삼성동	99-12	2000.0	4	강변삼부				
11680-178	석탑아파트101동	삼성동	3-3	1996.0	2	석탑101동				
11680-179	세방타운하우스	삼성동	64-7	1998.0	1	세방타운하우스				
11680-18	알파임하우스1	신사동	649-5	2002.0	3	알파임하우스1				
11680-180	삼성파크	삼성동	126	2001.0	3	삼성파크				
11680-187	진흥아파트	삼성동	53-2	1984.0	8	진흥				
11680-189	청구아파트	삼성동	78-4	1992.0	3	청구				
11680-190	푸른솔아파트1동	삼성동	4-3	1996.0	1	푸른솔1동				
11680-191	풍림(1차)	삼성동	106	1998.0	10	풍림1차	614502551.0		1998.0	1.0
11680-192	삼성풍림2차아파트	삼성동	104	1998.0	1	삼성풍림2차				
11680-193	풍림	삼성동	129-20	1997.0	1	풍림				
11680-195	한일	삼성동	48	2001.0	10	한일				
11680-197	현대아파트101동	삼성동	6	1999.0	2	현대101동				
11680-2	압구정대원칸타빌아파트	신사동	659	2001.0	6	압구정대원칸타빌				
11680-205	대치삼성	대치동	1014-3	2000.0	19	대치삼성				
11680-207	대치효성	대치동	988-4	1999.0	1	대치효성				
11680-21	한양6	압구정동	484	1980.0	4	한양6				
11680-211	선경1차(1동-7동)	대치동	506	1983.0	7	선경1차1동7동	899691115.0		1983.0	7.0
11680-212	선경3차	대치동	602	1990.0	5	선경3차				
11680-213	세영팔레스타운	대치동	975-20	2002.0	2	세영팔레스타운				
11680-214	쌍용대치2	대치동	65	1983.0	4	쌍용대치2				
11680-216	개포우성2	대치동	500	1984.0	6	개포우성2	549692899.0		1984.0	5.0
11680-217	대치우성아파트1동,2동,3동,5동,6동,7동	대치동	63	1984.0	11	대치우성1동2동3동5동6동7동				
11680-218	은마	대치동	316	1979.0	42	은마				
11680-222	한보미도맨션1	대치동	511	1983.0	20	한보미도맨션1	548803574.0		1983.0	10.0
11680-225	현대1	대치동	992	1990.0	10	현대1				
11680-228	롯데캐슬	대치동	893	2002.0	4	롯데캐슬				
11680-233	거평빌라트	역삼동	794-28	1996.0	1	거평빌라트				
11680-236	대림역삼	역삼동	761-10	1997.0	5	대림역삼				
11680-24	구산	청담동	128-1	1993.0	1	구산				
11680-249	한화진넥스빌	역삼동	706-20	2001.0	13	한화진넥스빌				
11680-25	골든아트빌	청담동	28-13	2000.0	1	골든아트빌				
11680-251	한스빌(836)	역삼동	836	1996.0	7	한스빌836				
11680-259	현대휴먼터치빌	역삼동	606-18	1999.0	2	현대휴먼터치빌				
11680-260	풍림지오빌	역삼동	635-5	2002.0	1	풍림지오빌				
11680-266	로얄빌리지	역삼동	644-6	2002.0	1	로얄빌리지				
11680-267	역삼동하나빌	역삼동	681-26	2002.0	4	역삼동하나빌				
11680-269	세방하이빌1	역삼동	771-4	2003.0	3	세방하이빌1				
11680-274	트레벨	역삼동	766-8	2002.0	4	트레벨				
11680-275	대우디오빌	역삼동	720-25	2002.0	36	대우디오빌				
11680-276	경남아너스빌	역삼동	722	2002.0	8	경남아너스빌	939568527.0		2005.5	2.0
11680-277	경남1	개포동	649	1984.0	5	경남1				
11680-278	경남2차	개포동	649	1984.0	1	경남2차				
11680-280	성원대치2단지아파트	개포동	12	1992.0	79	성원대치2단지	470093270.0		1992.0	11.0
11680-285	우성8	개포동	179	1987.0	3	우성8				
11680-292	현대1차101동~106동	개포동	653	1984.0	9	현대1차101동106동	900978316.0		1990.0	1.0
11680-293	현대2	개포동	654	1986.0	7	현대2				
11680-294	현대아파트3	개포동	177	1986.0	2	현대3				
11680-298	개포현대6차	개포동	1242-2	1993.0	1	개포현대6차				
11680-3	로데오현대	신사동	658	1998.0	10	로데오현대				
11680-30	목화	청담동	105-6	1995.0	2	목화				
11680-305	수서	일원동	711	1992.0	27	수서				
11680-306	우성7	일원동	615	1987.0	5	우성7				
11680-308	푸른마을아파트101동~111동	일원동	719	1994.0	32	푸른마을101동111동	548704033.0		1994.0	11.0
11680-311	현대4	일원동	614	1987.0	4	현대4				
11680-315	동익	수서동	738	1993.0	4	동익				
11680-317	삼익	수서동	708	1992.0	20	삼익				
11680-3176	학동	논현동	217-34	2005.0	1	학동				
11680-32	청담동삼성1차(101동)	청담동	33	1997.0	3	청담동삼성1차101동				
11680-322	대림	도곡동	960	1992.0	1	대림				
11680-327	럭키(963)	도곡동	963	1995.0	21	럭키963				
11680-33	삼성청담아파트	청담동	42	1999.0	5	삼성청담				
11680-332	삼익	도곡동	869	1983.0	3	삼익				
11680-337	우성4	도곡동	465	1985.0	3	우성4				
11680-338	우성사원5	도곡동	463-1	1986.0	4	우성사원5				
11680-34	삼성청담공원아파트	청담동	60	1999.0	8	삼성청담공원				
11680-340	우성캐릭터199	도곡동	467-24	1998.0	3	우성캐릭터199				
11680-344	중명하니빌	도곡동	965	1997.0	3	중명하니빌				
11680-348	포스코트	도곡동	164-6	2002.0	3	포스코트				
11680-349	한신(개포)	도곡동	464	1985.0	19	한신개포				
11680-350	한신엠비씨	도곡동	895-8	1988.0	6	한신엠비씨				
11680-351	현대아파트1동~3동	도곡동	961	1994.0	2	현대1동3동				
11680-352	현대그린1	도곡동	964	2006.0	5	현대그린1				
11680-354	현대비젼21	도곡동	467-19	1999.0	13	현대비젼21				
11680-355	도곡현대힐스테이트103동	도곡동	183-8	1996.0	2	도곡현대힐스테이트103동	925265488.0		1994.0	3.0
11680-3559	선경2차(8동-12동)	대치동	506	1985.0	5	선경2차8동12동	899691119.0		1983.0	5.0
11680-3570	역삼동월드메르디앙	역삼동	795-41	2005.0	1	역삼동월드메르디앙	1043288113.0		2002.0	2.0
11680-3574	휴먼스타빌	청담동	5-25	2005.0	1	휴먼스타빌				
11680-3578	대우멤버스카운티301	삼성동	33-24	2005.0	1	대우멤버스카운티301				
11680-3583	삼성웰피아	삼성동	130-2	2005.0	1	삼성웰피아				
11680-3592	e-편한세상	논현동	195-1	2005.0	5	e편한세상				
11680-3600	파크힐	도곡동	550-1	2005.0	4	파크힐				
11680-3622	e-편한세상	역삼동	755-4	2005.0	15	e편한세상				
11680-3624	래미안삼성1차(105-0)	삼성동	105	2005.0	5	래미안삼성1차1050				
11680-3626	강남한솔	역삼동	794-19	2006.0	1	강남한솔				
