osm_id	name	lat	lon	ele_m
4881890763	장군봉	37.4808378	126.9356989	118.5
4600992239	봉제산	37.5431044	126.8551098	117.0
2668341323	초안산	37.6387772	127.0468058	115.5
10252954167	갈마산	37.43586	126.82608	115.0
10252985141	일패봉	37.6277	127.16705	112.0
2668256438	배봉산	37.5810567	127.0638236	110.0
4605214497	매봉산	37.5041465	126.8380123	108.0
10252985000	고구동산	37.50755	126.95462	107.99
7626743558	국사봉	37.6458107	126.8432494	107.0
10252984989	춘의산	37.5108361	126.7900556	105.6
4584884747	수색산	37.5877649	126.9042117	105.4
10252985045	멀미산	37.49142	126.80045	105.3
10252999028	노고산	37.5529472	126.9418917	104.5
9181604462	승상산	37.5434887	127.157731	104.2
10252999169	궁동산	37.568803	126.922951	104.0
10252985022	뒷산	37.50034	126.8356	102.9
10252954201	망재산	37.4228	126.77108	102.0
10252985051	세럴산	37.48977	126.805	102.0
10252999064	와우산	37.5513528	126.9285778	101.9
10252985013	와룡산	37.50208	126.82165	100.0
11813359925		37.5412106	127.1648829	100.0
11684982635	동초안산	37.6346083	127.0546507	99.5
10252985408	매봉산	37.5389944	126.86065	99.1
2668327216	원당산	37.5514905	126.8423711	96.0
9611630239	성심산	37.4583795	126.8230459	95.9
2668327734	응봉산	37.5476323	127.0298604	95.0
10252973494	학미산	37.4071028	126.780575	94.9
10252985161	옥녀봉	37.6100888	126.7657973	94.5
10252999160	망봉산	37.5733111	126.8938333	93.9
10252985183	영축산	37.6252578	127.0573876	93.4
7284357991	봉대산	37.6056388	126.8477461	92.0
10252999099	구릉산	37.6078472	127.1036667	90.8
8440420534	무학봉	37.5624514	127.0252688	90.0
3227540163	용마산	37.5045867	126.9292416	88.0
10253004732	정발산	37.6634694	126.7794056	87.2
4642127638	검덕산	37.5544189	126.8455311	87.0
5810221890	매봉	37.5652098	127.1446991	85.4
10252985021	갯말산	37.50005	126.98237	83.0
11813476442		37.552898	127.1599665	81.0
10252985367	장안사산	37.5209	126.82075	80.3
11813476407		37.5482839	127.1638606	80.0
2668324234	용왕산	37.5442413	126.8786168	78.0
10252985003	갈산	37.50677	126.86898	77.0
10252999113	부왕산	37.6001306	126.7640583	74.8
10252999157	궁산	37.5750556	126.8402861	74.5
9181604463	일자산	37.529261	127.1510115	74.2
10252999106	전호산	37.6041778	126.7943222	72.1
4706548291	수명산	37.5478837	126.8275267	72.0
10252973499	터골산	37.4065	126.85731	72.0
10252985399	능골산	37.52948	126.82745	71.0
10252954166	안살미산	37.41586	126.77242	71.0
10252985398	까치산	37.5368167	126.84385	70.5
10252999146	행주산	37.58129	126.81666	70.0
10252984993	갈탄봉	37.50943	126.85517	69.0
10252999153	상암산	37.57831	126.88525	68.0
10252984986	시루뫼	37.51139	126.81333	68.0
10252984888	운산	37.44237	126.86004	68.0
10252985387	천재지단	37.52355	126.81819	68.0
10252985388	수도산	37.51646	127.05679	67.0
8559861582	둔지산	37.5316341	126.9856842	65.5
10252984816	동산마산	37.43753	126.83081	64.0
10252999119	뒷동산	37.59712	126.76189	63.4
10252985206	영주산	37.6449417	126.8127556	61.5
5532776556	미음나루	37.5903357	127.1760024	61.0
10252954168	범배산	37.42341	126.76304	61.0
10252985358	샛말산	37.53235	126.81732	60.0
10252999121	은행산	37.59676	126.88274	58.0
10253004728	차돌봉	37.67088	126.84173	58.0
10252984855	오난산	37.44159	126.80587	57.0
4704956153	증미산	37.5586242	126.8684765	55.2
10252984973	갓베산	37.46751	127.02701	54.9
10252985144	묘하나골산	37.6427917	126.8146333	54.7
10252985118	가라산	37.6250472	126.8421126	54.5
10252954192	동매산	37.41641	127.13788	53.8
10252985157	논골산	37.62822	127.18882	52.01
10252984999	대머리산	37.50753	126.96849	52.0
10252985121	능굴동산	37.62154	126.82825	51.0
10252984982	안산	37.51258	127.15002	50.8
10252984935	종여울산	37.4800494	127.0302592	50.2
10252984835	사들	37.44541	126.84409	50.1
