apt_seq	area_type	floor_band	n_trades_24m	last_deal_ym	last_price_manwon	last_price_per_m2	mean_price_per_m2_24m	price_source
11110-2291	21.0	MID	3	202603.0	16200.0	730.7171853856562	674.3346865133062	CELL_LAST
11110-2292	84.0	UNKNOWN	2	202507.0	69000.0	817.4386920980927	826.8794416284968	CELL_LAST
11110-2292	102.0	UNKNOWN	1	202506.0	62500.0	607.031857031857	607.031857031857	CELL_LAST
11110-2292	108.0	UNKNOWN	0				753.5969134296168	COMPLEX_MEAN
11110-2322	15.0	HIGH	1	202412.0	11200.0	762.4234172906739	762.4234172906739	CELL_LAST
11110-2322	15.0	LOW	0				680.3791045739115	COMPLEX_MEAN
11110-2322	15.0	MID	0				680.3791045739115	COMPLEX_MEAN
11110-2322	18.0	HIGH	3	202602.0	11300.0	677.864427114577	649.8700259948009	CELL_LAST
11110-2322	18.0	LOW	0				680.3791045739115	COMPLEX_MEAN
11110-2322	18.0	MID	1	202411.0	11500.0	689.862027594481	689.862027594481	CELL_LAST
11110-2334	12.0	HIGH	4	202602.0	9100.0	752.6881720430108	741.7094206296745	CELL_LAST
11110-2334	12.0	LOW	0				759.6317551904482	COMPLEX_MEAN
11110-2334	12.0	MID	3	202510.0	10500.0	868.4863523573201	783.5282012714797	CELL_LAST
11110-2336	18.0	HIGH	3	202604.0	10000.0	557.7244841048522	646.5629141787476	CELL_LAST
11110-2336	18.0	LOW	0				646.5629141787476	COMPLEX_MEAN
11110-2336	18.0	MID	0				646.5629141787476	COMPLEX_MEAN
11110-2339	18.0	HIGH	14	202607.0	12300.0	690.5844702711807	645.9542686082611	CELL_LAST
11110-2339	18.0	LOW	0				647.2869334203411	COMPLEX_MEAN
11110-2339	18.0	MID	6	202606.0	11500.0	590.7736566320764	650.3964846485281	CELL_LAST
11110-2343	15.0	HIGH	7	202604.0	10550.0	665.4052349416588	676.4878136685138	CELL_LAST
11110-2343	15.0	LOW	0				675.4966887417219	COMPLEX_MEAN
11110-2343	15.0	MID	1	202510.0	10600.0	668.5588142541785	668.5588142541785	CELL_LAST
11110-2344	12.0	HIGH	2	202508.0	13100.0	1078.1893004115227	991.7695473251028	CELL_LAST
11110-2344	12.0	LOW	0				921.8106995884773	COMPLEX_MEAN
11110-2344	12.0	MID	1	202412.0	9500.0	781.8930041152263	781.8930041152263	CELL_LAST
11110-2348	15.0	HIGH	4	202605.0	10800.0	700.3891050583658	711.8696794327361	CELL_LAST
11110-2348	15.0	LOW	0				711.8696794327361	COMPLEX_MEAN
11110-2348	15.0	MID	0				711.8696794327361	COMPLEX_MEAN
11110-2359	18.0	HIGH	2	202605.0	18500.0	1089.5170789163722	1074.793875147232	CELL_LAST
11110-2359	18.0	LOW	0				1108.4343446923913	COMPLEX_MEAN
11110-2359	18.0	MID	4	202511.0	18500.0	1089.5170789163722	1070.37691401649	CELL_LAST
11110-2359	21.0	HIGH	2	202506.0	24000.0	1208.4592145015106	1180.7653575025176	CELL_LAST
11110-2359	21.0	LOW	0				1108.4343446923913	COMPLEX_MEAN
11110-2359	21.0	MID	1	202511.0	23500.0	1183.2829808660624	1183.2829808660624	CELL_LAST
11110-2366	12.0	HIGH	0				776.2128325508608	COMPLEX_MEAN
11110-2366	12.0	LOW	3	202505.0	10000.0	782.4726134585289	779.8643714136673	CELL_LAST
11110-2366	12.0	MID	2	202607.0	10300.0	805.9467918622848	770.735524256651	CELL_LAST
11110-2368	15.0	HIGH	9	202603.0	12800.0	848.2438701126574	884.4283812366091	CELL_LAST
11110-2368	15.0	LOW	0				864.2426670360761	COMPLEX_MEAN
11110-2368	15.0	MID	1	202607.0	10300.0	682.571239231279	682.571239231279	CELL_LAST
11110-2411	15.0	HIGH	1	202506.0	15500.0	1090.7811400422238	1090.7811400422238	CELL_LAST
11110-2411	15.0	LOW	0				904.1987232920405	COMPLEX_MEAN
11110-2411	15.0	MID	0				904.1987232920405	COMPLEX_MEAN
11110-2411	18.0	HIGH	2	202607.0	12700.0	678.4188034188035	810.9075149169489	CELL_LAST
