osm_id	name	levels_raw	height_raw	flats_raw	start_date	district	subdistrict	levels	height	flats	built_year	levels_filled	height_filled	building_area_m2	complex_osm_id	complex_name
192695689	302	5		30	1994	강남구	일원동	5.0		30	1994	5.0	14.0	727.8950761602581	548704026.0	한솔마을아파트
192695692	110	5		40	1993	강남구	일원동	5.0		40	1993	5.0	14.0	899.066230615405	548704025.0	상록수아파트
192695694	101	5		20	1994	강남구	일원동	5.0		20	1994	5.0	14.0	362.53723871479076	548704026.0	한솔마을아파트
192695695	102	5		30	1993	강남구	일원동	5.0		30	1993	5.0	14.0	589.6971388103899	548704025.0	상록수아파트
192695696	105	5		30	1993	강남구	일원동	5.0		30	1993	5.0	14.0	664.2711888552916	548704025.0	상록수아파트
192695697	210	5		30	1993	강남구	일원동	5.0		30	1993	5.0	14.0	589.6868442263545	548704025.0	상록수아파트
192695698	106	5		40	1993	강남구	일원동	5.0		40	1993	5.0	14.0	778.8456076382053	548704025.0	상록수아파트
192695700	107	5		30	1993	강남구	일원동	5.0		30	1993	5.0	14.0	589.6177896460317	548704025.0	상록수아파트
192695701	206	5		20	1994	강남구	일원동	5.0		20	1994	5.0	14.0	477.9115877159104	548704026.0	한솔마을아파트
192695703	208	5		40	1993	강남구	일원동	5.0		40	1993	5.0	14.0	798.4384598417272	548704025.0	상록수아파트
192695705	204	5		30	1994	강남구	일원동	5.0		30	1994	5.0	14.0	727.8138507360802	548704026.0	한솔마을아파트
192695706	202	5		30	1993	강남구	일원동	5.0		30	1993	5.0	14.0	664.276328735896	548704025.0	상록수아파트
192695708	108	5		30	1993	강남구	일원동	5.0		30	1993	5.0	14.0	664.5404996821126	548704025.0	상록수아파트
192695709	102	5		30	1994	강남구	일원동	5.0		30	1994	5.0	14.0	725.7896832796399	548704026.0	한솔마을아파트
192695712	101	5		30	1993	강남구	일원동	5.0		30	1993	5.0	14.0	589.6987454738558	548704025.0	상록수아파트
192695714	306	5		30	1994	강남구	일원동	5.0		30	1994	5.0	14.0	727.9143884638247	548704026.0	한솔마을아파트
192695717	301	5		40	1994	강남구	일원동	5.0		40	1994	5.0	14.0	903.4239870329257	548704026.0	한솔마을아파트
192695721	202	5		40	1994	강남구	일원동	5.0		40	1994	5.0	14.0	843.8645953672213	548704026.0	한솔마을아파트
192695723	107	5		20	1994	강남구	일원동	5.0		20	1994	5.0	14.0	477.83573752778335	548704026.0	한솔마을아파트
192695726	303	5		30	1994	강남구	일원동	5.0		30	1994	5.0	14.0	727.5301629663603	548704026.0	한솔마을아파트
192695727	201	5		30	1994	강남구	일원동	5.0		30	1994	5.0	14.0	727.9128895360163	548704026.0	한솔마을아파트
192695730	207	5		40	1993	강남구	일원동	5.0		40	1993	5.0	14.0	798.8607524612157	548704025.0	상록수아파트
192695731	204	5		30	1993	강남구	일원동	5.0		30	1993	5.0	14.0	664.5316210088206	548704025.0	상록수아파트
192695735	307	5		30	1994	강남구	일원동	5.0		30	1994	5.0	14.0	727.5289597675402	548704026.0	한솔마을아파트
192695738	201	5		30	1993	강남구	일원동	5.0		30	1993	5.0	14.0	589.6969592508225	548704025.0	상록수아파트
192695739	104	5		30	1993	강남구	일원동	5.0		30	1993	5.0	14.0	589.6927809566251	548704025.0	상록수아파트
192695741	211	5		30	1993	강남구	일원동	5.0		30	1993	5.0	14.0	589.6716724546737	548704025.0	상록수아파트
192695743	106	5		30	1994	강남구	일원동	5.0		30	1994	5.0	14.0	725.6980422907917	548704026.0	한솔마을아파트
192695745	206	5		40	1993	강남구	일원동	5.0		40	1993	5.0	14.0	798.8632090578536	548704025.0	상록수아파트
192695747	203	5		30	1993	강남구	일원동	5.0		30	1993	5.0	14.0	664.9641110086341	548704025.0	상록수아파트
