osm_id	name	is_tunnel	geometry
400480610		False	LINESTRING (126.896726 37.432821, 126.896795 37.433035, 126.896939 37.433518, 126.897155 37.434326, 126.897424 37.435287, 126.89764 37.436059, 126.897944 37.43717, 126.898128 37.437827, 126.898197 37.438078)
400480611		False	LINESTRING (126.897671 37.435998, 126.897558 37.435589, 126.897337 37.434794, 126.897202 37.434308, 126.897084 37.433863, 126.896994 37.433509, 126.896902 37.433224)
400480612		False	LINESTRING (126.897995 37.436971, 126.897652 37.435671, 126.897268 37.434306, 126.897197 37.434043, 126.897049 37.433561)
589960560	경부선	False	LINESTRING (126.911051 37.416241, 126.910032 37.417518, 126.90945 37.418154, 126.909079 37.418633, 126.907686 37.420334, 126.907503 37.420562, 126.907108 37.421113, 126.905883 37.423345, 126.905123 37.424713, 126.90456 37.425785, 126.90404 37.426764, 126.903875 37.427145, 126.903705 37.427654, 126.903601 37.428005, 126.903503 37.428482, 126.903286 37.429559, 126.903144 37.430267, 126.902783 37.432105, 126.902366 37.434092, 126.902338 37.434253, 126.901942 37.436245, 126.901668 37.437723, 126.901488 37.438346, 126.901156 37.439212, 126.900515 37.440651, 126.900239 37.441236, 126.899291 37.443414, 126.898623 37.444939, 126.897433 37.447446, 126.897027 37.44836, 126.896061 37.45062, 126.895494 37.451933, 126.894626 37.453852)
589960561	경부선	False	LINESTRING (126.895154 37.452941, 126.894609 37.454215, 126.894405 37.454642, 126.893621 37.456431, 126.892201 37.459609, 126.891862 37.460444, 126.89165 37.460929, 126.891565 37.461137, 126.891247 37.461934, 126.890846 37.462917, 126.889908 37.465064, 126.88906 37.466966, 126.88706 37.471462, 126.883688 37.479075, 126.883028 37.480601, 126.880609 37.486016, 126.880345 37.486703, 126.880196 37.487168, 126.880105 37.487623, 126.880033 37.488361, 126.879898 37.490454, 126.879883 37.490675, 126.879866 37.490944, 126.879784 37.492075, 126.879656 37.494008, 126.879508 37.496086, 126.879447 37.496957, 126.879431 37.497527, 126.879492 37.498311, 126.879598 37.49883, 126.879774 37.499426, 126.879941 37.499887, 126.880223 37.500446, 126.880486 37.50088, 126.88074 37.501244, 126.881005 37.501576, 126.881332 37.501928, 126.881628 37.5022, 126.883517 37.503927, 126.884058 37.504383, 126.884695 37.504831, 126.886611 37.506025, 126.888208 37.507012, 126.889236 37.507659, 126.89042 37.508289, 126.89081 37.508478, 126.891431 37.508762, 126.892124 37.509063)
625513361	경부고속선	True	LINESTRING (126.888258 37.422494, 126.88636 37.419262)
625513367	경부선	False	LINESTRING (126.895589 37.45195, 126.895245 37.452734, 126.895154 37.452941)
625513368	경부선	False	LINESTRING (126.895198 37.452955, 126.895516 37.452243, 126.89564 37.451965)
625513369	경부선	False	LINESTRING (126.883021 37.480905, 126.883142 37.480632, 126.88379 37.479105, 126.887176 37.471493, 126.889167 37.466993, 126.889979 37.465173, 126.89103 37.462744, 126.891991 37.460474, 126.892548 37.459141, 126.892635 37.458906, 126.892723 37.458745, 126.892783 37.458611, 126.893194 37.457688, 126.893737 37.45656, 126.894538 37.454749, 126.894548 37.454728, 126.894559 37.454701, 126.894641 37.45449)
625513370	경부선	False	LINESTRING (126.894626 37.453852, 126.894544 37.454023, 126.894278 37.454622, 126.893483 37.456396)
625513371	경부선	False	LINESTRING (126.89564 37.451965, 126.896389 37.450426, 126.896533 37.450111, 126.89699 37.449104, 126.897019 37.44904, 126.897395 37.448184, 126.897435 37.448094, 126.898221 37.446265, 126.89874 37.444971, 126.899388 37.443438, 126.900371 37.441268, 126.901273 37.439244, 126.901638 37.438365, 126.901826 37.437702, 126.901947 37.437141, 126.902084 37.43643, 126.902528 37.434085, 126.903269 37.430282, 126.903622 37.428494, 126.903726 37.428014, 126.903821 37.427669, 126.903998 37.427172, 126.904153 37.4268, 126.904669 37.425831, 126.905224 37.424815, 126.906003 37.423389, 126.907084 37.4214, 126.907627 37.420623, 126.909201 37.418695, 126.909595 37.418218, 126.909982 37.417716, 126.910612 37.416909, 126.91112 37.416294)
