apt_seq	area_type	deal_ym	n_trades	median_price_per_m2
11110-2164	111.0	202110	1	1250.3349111369116
11110-2164	111.0	202510	1	1518.26382066625
11110-217	45.0	202604	1	954.7069271758437
11110-2175	60.0	202503	1	1487.0509607351712
11110-2175	84.0	202312	1	1062.072220911022
11110-2175	84.0	202606	1	1398.395090866179
11110-219	99.0	202404	1	554.6509261143904
11110-2203	72.0	202411	1	1963.2768361581923
11110-2203	72.0	202510	1	1977.4011299435028
11110-2203	87.0	202506	1	1715.6016119746691
11110-2203	90.0	202409	1	1625.6157635467982
11110-2203	93.0	202309	1	1474.331777683496
11110-2203	93.0	202508	1	1675.8591429783623
11110-2203	93.0	202509	1	1728.8926601612218
11110-2203	96.0	202303	2	1486.6151729975663
11110-2203	96.0	202306	1	1439.299123904881
11110-2203	96.0	202309	2	1494.6998211842679
11110-2203	96.0	202405	1	1460.1629457200295
11110-2203	96.0	202407	1	1555.390963919162
11110-2203	96.0	202408	1	1714.1043275843824
11110-2203	96.0	202409	1	1613.5858639297428
11110-2203	96.0	202410	1	1682.3616548513385
11110-2203	96.0	202505	3	1692.9425457623531
11110-2203	96.0	202506	1	1692.9425457623531
11110-2203	96.0	202507	1	1692.9425457623531
11110-2203	96.0	202508	1	1640.0380912072796
11110-2203	96.0	202510	2	1682.3616548513382
11110-2203	96.0	202603	1	2052.692836736853
11110-2203	96.0	202605	1	1798.7514548725
11110-2203	99.0	202408	1	1587.9520540928183
11110-2203	99.0	202506	2	1562.3399241880954
11110-2203	108.0	202110	1	1350.976219117239
11110-2203	108.0	202302	1	1341.7229573424634
11110-2203	108.0	202310	1	1547.6738830032243
11110-2203	108.0	202311	1	1434.2555750902193
11110-2203	108.0	202410	1	1556.8862275449103
11110-2203	108.0	202501	1	1685.8590511285122
11110-2203	108.0	202507	1	1563.801239937078
11110-2203	108.0	202510	1	1630.584983878397
11110-2203	108.0	202605	1	1818.265938743407
11110-2203	108.0	202608	1	1501.612160294795
11110-2203	120.0	202406	2	1408.9148883579137
11110-2203	120.0	202505	1	1433.6326934168246
11110-2203	120.0	202508	1	1384.197083299003
11110-2203	120.0	202510	1	1483.068303534646
11110-2203	126.0	202606	1	1662.1814152287477
11110-2203	132.0	202309	1	1141.2051125989044
11110-2203	132.0	202403	1	1319.993913572733
11110-2203	132.0	202405	1	1293.3657942787584
11110-2203	135.0	202402	1	1224.340175953079
11110-2203	135.0	202503	1	1458.9442815249267
11110-2203	135.0	202504	1	1491.9354838709676
11110-2203	135.0	202507	1	1466.275659824047
