aptSeq	apt_name	gu	confidence	n_dong	reg_dong	dong_diff	reg_units	build_year	reg_year	reg_name	n_deals	단지고유번호
11410-11	독립문파크빌	서대문구	LOW	3.0	4.0	-1.0	290.0	2000.0	2000.0	독립문파크빌	222	11410100000467
11440-5410	마포래미안푸르지오4단지	마포구	MIXED	15.0	16.0	-1.0	1237.0	2014.0	2014.0	마포래미안푸르지오4단지	993	11440120303385
11440-3929	상암월드컵파크5단지	마포구	MIXED	7.0	8.0	-1.0	436.0	2005.0	2005.0	상암월드컵파크5단지	290	11440120021866
11440-125	건영월드컵	마포구	LOW	1.0	2.0	-1.0	206.0	2002.0	2002.0	건영월드컵	94	11440100000806
11410-84	홍은미성	서대문구	LOW	3.0	4.0	-1.0	300.0	1985.0	1985.0	홍은미성	106	11410100000542
11410-71	홍제삼성래미안	서대문구	NAME	5.0	6.0	-1.0	474.0	2001.0	2001.0	홍제삼성래미안	413	11410100000529
11410-58	인왕궁맨숀	서대문구	HIGH	2.0	3.0	-1.0	113.0	1974.0	1974.0	인왕궁맨숀	37	11410100000515
11410-55	유원하나	서대문구	HIGH	5.0	6.0	-1.0	704.0	1996.0	1996.0	유원하나	231	11410100000512
11410-4846	힐스테이트신촌	서대문구	NAME	14.0	15.0	-1.0	1226.0	2023.0	2020.0	힐스테이트신촌	866	11410120411510
11140-32	삼성	중구	NAME	13.0	14.0	-1.0	994.0	1999.0	1999.0	삼성	598	11140100000127
11740-2893	한솔솔파크	강동구	LOW	2.0	3.0	-1.0	127.0	2009.0	2009.0	한솔솔파크	81	11740120121590
11740-2802	롯데캐슬퍼스트	강동구	NAME	39.0	40.0	-1.0	3226.0	2008.0	2008.0	롯데캐슬퍼스트	1774	11740120100761
11740-2498	강동이루미아파트	강동구	LOW	1.0	2.0	-1.0	74.0	2005.0	2005.0	강동이루미아파트	19	11740120019987
11740-103	한강현대	강동구	LOW	2.0	3.0	-1.0	417.0	1999.0	1999.0	한강현대	177	11740100001635
11710-9645	루컴스힐더테라스	송파구	LOW	2.0	3.0	-1.0	25.0	2024.0	2024.0	루컴스힐더테라스	2	11710120452947
11710-89	올림픽훼밀리타운	송파구	MIXED	55.0	56.0	-1.0	4494.0	1988.0	1988.0	올림픽훼밀리타운	2390	11710100002287
11710-7307	잠실푸르지오월드마크	송파구	LOW	1.0	2.0	-1.0	288.0	2013.0	2013.0	잠실푸르지오월드마크	142	11710120180659
11200-2689	금호1차푸르지오	성동구	MIXED	7.0	8.0	-1.0	336.0	2005.0	2005.0	금호1차푸르지오	224	11200120007877
11200-20	서울숲삼부아파트	성동구	HIGH	6.0	7.0	-1.0	498.0	1998.0	1998.0	서울숲삼부	259	11200100000230
11200-17	중앙하이츠	성동구	LOW	1.0	2.0	-1.0	270.0	1989.0	1989.0	중앙하이츠	117	11200100000227
11200-15	장원	성동구	LOW	1.0	2.0	-1.0	38.0	2002.0	2002.0	장원	20	11200100000225
11170-47	북한강(성원)	용산구	LOW	1.0	2.0	-1.0	340.0	2001.0	2001.0	북한강(성원)	338	11170100000853
11170-134	신동아1	용산구	HIGH	1.0	2.0	-1.0	226.0	1992.0	1992.0	신동아1	237	11170100000940
11170-133	리버빌(삼성)	용산구	LOW	1.0	2.0	-1.0	242.0	2000.0	2000.0	리버빌(삼성)	143	11170100000939
11170-139	한강타운	용산구	HIGH	1.0	3.0	-2.0	289.0	2001.0	2001.0	한강타운	225	11170100000946
11170-27	삼성래미안	용산구	MIXED	13.0	15.0	-2.0	1458.0	2001.0	2001.0	삼성래미안	848	11170100000833
11170-184	한남동리첸시아	용산구	LOW	1.0	3.0	-2.0	371.0	2004.0	2004.0	한남동리첸시아	125	11170100248315
11170-2766	용산파크타워(24-0)	용산구	HIGH	1.0	3.0	-2.0	597.0	2009.0	2009.0	용산파크타워(24-0)	219	11170120116770
11410-4769	홍제센트럴IPARK	서대문구	NAME	12.0	14.0	-2.0	906.0	2020.0	2020.0	홍제센트럴IPARK	504	11410120383297
