apt_seq	floor_band	repr_floor	obs_height	sun_hours_winter	sun_hours_spring	view_block_pct	open_angle_mean	open_span_max	river_view	park_view	mountain_view
11140-1133	HIGH			6.42		48.6	70.4				
11140-1133	LOW			5.42		83.3	63.2				
11140-1133	MID			5.5		76.4	66.2				
11140-1139	HIGH			6.75		13.9	95.3				
11140-1139	LOW			6.0		26.4	91.3				
11140-1139	MID			6.75		25.0	93.0				
11140-1141	HIGH			6.67		52.8	78.4				
11140-1141	LOW			1.25		87.5	60.2				
11140-1141	MID			3.33		76.4	68.4				
11140-1142	HIGH			8.08		30.55	109.45				
11140-1142	LOW			8.08		50.0	92.6				
11140-1142	MID			8.08		41.0	101.15				
11140-1144	HIGH			7.17		22.2	84.7				
11140-1144	LOW			2.25		68.1	67.3				
11140-1144	MID			4.58		61.1	75.7				
11140-1147	HIGH			6.835		29.85	81.95				
11140-1147	LOW			1.045		70.80000000000001	69.05000000000001				
11140-1147	MID			3.875		58.35	74.44999999999999				
11140-1152	HIGH			6.75		42.35	89.25				
11140-1152	LOW			0.75		88.9	61.3				
11140-1152	MID			3.415		68.75	70.30000000000001				
11140-1164	HIGH			7.0		15.3	83.0				
11140-1164	LOW			1.17		69.4	71.9				
11140-1164	MID			3.33		56.9	76.9				
11140-1182	HIGH			5.67		68.1	69.5				
11140-1182	LOW			4.42		93.1	60.5				
11140-1182	MID			4.75		88.9	65.6				
11140-1197	HIGH			6.08		58.3	78.3				
11140-1197	LOW			1.17		76.4	61.4				
11140-1197	MID			5.17		75.0	71.4				
11140-1206	HIGH			6.33		69.4	74.8				
11140-1206	LOW			2.5		100.0	54.6				
11140-1206	MID			3.58		88.9	64.8				
11140-1217	HIGH			7.58		37.5	83.2				
11140-1217	LOW			6.58		61.1	68.5				
11140-1217	MID			7.25		55.6	74.3				
11140-1220	HIGH			8.08		27.8	82.8				
11140-1220	LOW			5.0		73.6	68.2				
11140-1220	MID			5.08		51.4	74.1				
11140-1226	HIGH			8.08		11.1	144.1				
11140-1226	LOW			5.33		43.1	71.1				
11140-1226	MID			5.83		30.6	88.2				
11140-1248	HIGH			6.08		65.3	75.8				
11140-1248	LOW			4.42		86.1	62.6				
11140-1248	MID			4.5		83.3	68.3				
11140-1255	HIGH			8.0		19.4	100.2				
11140-1255	LOW			6.75		48.6	74.1				
11140-1255	MID			6.75		36.1	81.2				
11140-1261	HIGH			7.25		13.9	96.5				
11140-1261	LOW			4.83		69.4	73.2				
11140-1261	MID			6.75		59.7	84.6				
11140-1273	HIGH			5.25		84.7	64.0				
11140-1273	LOW			1.75		91.7	45.3				
11140-1273	MID			3.42		87.5	54.3				
11140-1274	HIGH			1.92		23.6	91.8				
11140-1274	LOW			1.92		38.9	71.8				
11140-1274	MID			1.92		31.9	75.5				
11140-1276	HIGH			7.955		13.2	93.9				
11140-1276	LOW			4.335		65.3	74.75				
11140-1276	MID			5.665		52.1	84.5				
11140-1277	HIGH			3.79		45.1	78.4				
11140-1277	LOW			1.33		70.15	59.2				
11140-1277	MID			1.92		64.55	65.55				
11140-1286	HIGH			7.67		15.3	87.3				
11140-1286	LOW			6.33		47.2	81.8				
11140-1286	MID			6.75		34.7	84.0				
11140-1297	HIGH			7.33		54.2	68.2				
11140-1297	LOW			5.42		98.6	51.6				
11140-1297	MID			6.33		88.9	60.3				
11140-13	HIGH			5.5		25.0	93.3				
11140-13	LOW			2.67		93.1	42.9				
11140-13	MID			3.33		80.6	60.4				
11140-1300	HIGH			6.79		34.0	93.8				
11140-1300	LOW			3.205		66.0	63.55				
11140-1300	MID			4.335		47.9	78.35				
11140-1301	HIGH			0.79		83.35	55.9				
11140-1301	LOW			0.58		92.4	36.5				
11140-1301	MID			0.58		88.2	42.6				
11140-1303	HIGH			7.33		9.7	111.4				
11140-1303	LOW			6.5		29.2	105.7				
11140-1303	MID			6.92		26.4	107.3				
11140-1306	HIGH			5.92		59.7	76.1				
11140-1306	LOW			2.33		98.6	52.9				
11140-1306	MID			5.92		93.1	61.4				
11140-1307	HIGH			6.585		49.3	82.55				
11140-1307	LOW			5.085		70.15	65.4				
11140-1307	MID			5.125		65.25	72.44999999999999				
11140-1315	HIGH			3.58		87.5	62.5				
11140-1315	LOW			0.0		87.5	45.0				
11140-1315	MID			0.0		87.5	51.2				
