apt_seq	floor_band	repr_floor	obs_height	sun_hours_winter	sun_hours_spring	view_block_pct	open_angle_mean	open_span_max	river_view	park_view	mountain_view
11500-5251	HIGH			7.375		29.9	89.2				
11500-5251	LOW			1.335		70.15	73.85				
11500-5251	MID			3.75		54.2	80.45				
11500-5256	HIGH			5.17		62.5	73.6				
11500-5256	LOW			4.08		90.3	60.8				
11500-5256	MID			4.58		90.3	65.8				
11500-5260	HIGH			7.83		0.0	116.8				
11500-5260	LOW			7.75		20.8	104.9				
11500-5260	MID			7.75		18.1	109.6				
11500-5262	HIGH			7.83		22.2	82.7				
11500-5262	LOW			3.42		61.1	69.6				
11500-5262	MID			4.58		59.7	75.8				
11500-5266	HIGH			6.79		28.5	90.95				
11500-5266	LOW			3.25		50.7	79.25				
11500-5266	MID			5.04		38.85	82.95				
11500-5270	HIGH			7.33		11.1	83.8				
11500-5270	LOW			3.5		80.6	70.0				
11500-5270	MID			5.33		56.9	76.8				
11500-5271	HIGH			6.75		63.9	79.1				
11500-5271	LOW			6.67		65.3	67.8				
11500-5271	MID			6.67		63.9	71.7				
11500-5281	HIGH			6.08		76.4	73.0				
11500-5281	LOW			6.08		76.4	56.1				
11500-5281	MID			6.08		76.4	62.2				
11500-5282	HIGH			7.33		59.7	76.8				
11500-5282	LOW			7.0		62.5	71.0				
11500-5282	MID			7.0		62.5	73.9				
11500-5283	HIGH			3.42		87.5	70.0				
11500-5283	LOW			2.67		88.9	51.6				
11500-5283	MID			2.67		88.9	59.5				
11500-5284	HIGH			6.58		50.0	84.6				
11500-5284	LOW			6.58		62.5	73.9				
11500-5284	MID			6.58		56.9	78.0				
11500-5285	HIGH			8.08		0.0	107.7				
11500-5285	LOW			7.83		41.7	85.3				
11500-5285	MID			8.0		41.7	100.6				
11500-5290	HIGH			6.25		65.3	71.8				
11500-5290	LOW			5.92		86.1	66.5				
11500-5290	MID			5.92		80.6	68.2				
11500-5296	HIGH			7.75		38.9	86.0				
11500-5296	LOW			7.58		62.5	77.3				
11500-5296	MID			7.67		54.2	81.4				
11500-5297	HIGH			4.92		68.1	76.0				
11500-5297	LOW			0.67		83.3	61.3				
11500-5297	MID			2.17		77.8	67.3				
11500-5299	HIGH			7.92		54.2	77.5				
11500-5299	LOW			5.83		80.6	69.9				
11500-5299	MID			7.67		75.0	72.9				
11500-53	HIGH			7.92		22.2	83.9				
11500-53	LOW			2.08		88.9	63.9				
11500-53	MID			5.08		81.9	72.7				
11500-5306	HIGH			7.75		31.9	85.1				
11500-5306	LOW			6.33		66.7	74.8				
11500-5306	MID			7.33		52.8	79.5				
11500-5310	HIGH			2.58		66.7	65.2				
11500-5310	LOW			2.58		83.3	55.3				
11500-5310	MID			2.58		77.8	59.8				
11500-5311	HIGH			7.33		48.6	75.4				
11500-5311	LOW			3.83		93.1	65.3				
11500-5311	MID			5.33		84.7	69.4				
11500-5326	HIGH			7.83		11.1	85.1				
11500-5326	LOW			3.25		90.3	63.2				
11500-5326	MID			6.0		73.6	73.7				
11500-5329	HIGH			8.08		0.0	109.5				
11500-5329	LOW			6.33		12.5	102.8				
11500-5329	MID			6.83		8.3	104.1				
11500-5345	HIGH			7.25		5.6	109.7				
11500-5345	LOW			7.17		11.1	108.8				
11500-5345	MID			7.25		9.7	109.3				
11500-5346	HIGH			6.67		73.6	81.1				
11500-5346	LOW			1.58		88.9	70.9				
11500-5346	MID			2.75		83.3	75.7				
11500-5349	HIGH			7.79		7.6	95.15				
11500-5349	LOW			2.75		78.5	75.6				
11500-5349	MID			4.125		56.95	84.2				
11500-5364	HIGH			7.875		20.85	91.5				
11500-5364	LOW			5.415		63.2	74.4				
11500-5364	MID			6.335		56.95	82.75				
11500-5371	HIGH			7.08		40.3	83.9				
11500-5371	LOW			2.46		77.8	63.85				
11500-5371	MID			4.21		72.2	73.4				
11500-5392	HIGH			6.42		36.1	82.6				
11500-5392	LOW			4.58		44.4	77.2				
11500-5392	MID			5.08		38.9	79.7				
11500-54	HIGH			7.75		25.0	83.15				
11500-54	LOW			2.75		89.6	60.150000000000006				
11500-54	MID			5.165		75.7	70.25				
11500-5401	HIGH			7.75		63.9	78.4				
11500-5401	LOW			7.0		66.7	73.8				
11500-5401	MID			7.75		65.3	76.0				
11500-5404	HIGH			5.33		20.8	112.8				
11500-5404	LOW			5.17		47.2	86.5				
11500-5404	MID			5.17		36.1	93.1				
11500-5406	HIGH			7.875		13.2	85.15				
11500-5406	LOW			4.25		86.8	66.80000000000001				
11500-5406	MID			5.5		63.900000000000006	75.0				
11500-5412	HIGH			7.92		0.0	97.0				
11500-5412	LOW			5.33		56.9	77.3				
11500-5412	MID			7.83		0.0	85.4				
11500-5415	HIGH			7.75		40.3	79.4				
11500-5415	LOW			5.75		81.9	68.2				
11500-5415	MID			7.08		73.6	73.4				
11500-5419	HIGH			7.5		30.6	84.9				
11500-5419	LOW			0.67		95.1	56.2				
11500-5419	MID			3.67		89.6	67.55				
11500-5429	HIGH			4.17		87.5	59.4				
11500-5429	LOW			2.58		87.5	44.3				
11500-5429	MID			2.92		87.5	51.0				
11500-5437	HIGH			7.875		8.3	95.95				
11500-5437	LOW			2.835		72.9	72.3				
11500-5437	MID			5.92		56.25	82.05				
11500-55	HIGH			7.83		13.9	84.4				
11500-55	LOW			2.25		84.7	66.1				
11500-55	MID			6.17		66.7	74.5				
11500-5510	HIGH			7.58		37.5	91.2				
11500-5510	LOW			6.58		52.8	82.4				
11500-5510	MID			7.17		45.8	85.4				
11500-5547	HIGH			7.92		26.4	83.8				
11500-5547	LOW			3.42		93.1	63.7				
11500-5547	MID			5.5		81.9	72.4				
11500-5552	HIGH			7.25		25.0	83.1				
11500-5552	LOW			3.33		81.9	64.1				
11500-5552	MID			5.17		72.2	73.0				
11500-5561	HIGH			2.33		56.9	78.0				
11500-5561	LOW			1.5		69.4	72.8				
11500-5561	MID			1.67		59.7	75.3				
11500-56	HIGH			8.0		9.7	84.5				
11500-56	LOW			3.42		73.6	66.8				
11500-56	MID			5.67		58.3	75.0				
11500-5621	HIGH			6.75		56.9	76.2				
11500-5621	LOW			4.42		88.9	66.7				
11500-5621	MID			5.58		83.3	71.2				
11500-5639	HIGH			7.92		31.9	90.1				
11500-5639	LOW			7.92		58.3	76.3				
11500-5639	MID			7.92		31.9	79.8				
11500-5641	HIGH			8.08		0.0	85.8				
11500-5641	LOW			7.17		44.4	79.4				
11500-5641	MID			7.92		29.2	82.6				
11500-57	HIGH			7.25		22.2	82.4				
11500-57	LOW			2.92		86.1	62.6				
11500-57	MID			5.42		72.2	71.3				
11500-5728	HIGH			7.58		11.1	92.2				
11500-5728	LOW			6.75		50.0	80.6				
11500-5728	MID			7.0		41.7	82.8				
11500-5741	HIGH			8.08		6.95	113.5				
11500-5741	LOW			3.96		55.6	91.45				
11500-5741	MID			6.335		44.45	99.05				
11500-58	HIGH			7.625		16.7	81.8				
11500-58	LOW			2.71		91.7	64.5				
11500-58	MID			5.415		79.2	72.45				
11500-5838	HIGH			7.58		40.3	87.8				
11500-5838	LOW			4.0		56.9	76.9				
11500-5838	MID			6.5		54.2	80.3				
11500-5851	HIGH			8.08		11.1	127.4				
11500-5851	LOW			3.42		40.3	116.3				
11500-5851	MID			4.67		26.4	121.5				
11500-5852	HIGH			8.08		16.7	89.7				
11500-5852	LOW			2.0		48.6	70.6				
11500-5852	MID			2.42		34.7	77.6				
11500-5853	HIGH			8.04		28.5	87.6				
11500-5853	LOW			5.21		59.7	71.05				
11500-5853	MID			7.335		47.95	77.3				
11500-5856	HIGH			7.25		56.9	74.8				
11500-5856	LOW			5.25		93.1	64.9				
11500-5856	MID			6.33		83.3	69.6				
11500-5883	HIGH			8.0		47.2	80.7				
11500-5883	LOW			5.5		66.7	73.6				
11500-5883	MID			7.17		58.3	77.0				
11500-5893	HIGH			8.08		13.9	108.5				
11500-5893	LOW			7.92		31.9	98.5				
11500-5893	MID			8.08		22.2	102.1				
11500-5896	HIGH			7.75		26.4	96.9				
11500-5896	LOW			5.17		30.6	86.7				
11500-5896	MID			6.08		26.4	93.6				
11500-59	HIGH			7.75		41.7	94.4				
11500-59	LOW			3.83		87.5	62.0				
11500-59	MID			6.33		68.1	70.5				
11500-5918	HIGH			1.83		88.9	63.4				
11500-5918	LOW			1.83		93.1	47.2				
11500-5918	MID			1.83		93.1	54.0				
11500-5933	HIGH			6.915		28.45	82.55				
11500-5933	LOW			3.665		90.3	66.0				
11500-5933	MID			5.625		77.05000000000001	74.25				
11500-5966	HIGH			5.33		54.2	93.3				
11500-5966	LOW			0.67		88.9	63.9				
11500-5966	MID			2.08		76.4	74.2				
11500-6	HIGH			6.29		37.5	105.7				
11500-6	LOW			3.33		63.900000000000006	90.5				
11500-6	MID			4.25		54.85	97.45				
11500-60	HIGH			7.83		0.0	102.8				
11500-60	LOW			7.58		25.0	96.5				
11500-60	MID			7.75		18.1	99.1				
11500-6006	HIGH			7.17		12.5	89.6				
11500-6006	LOW			5.5		27.8	86.5				
11500-6006	MID			6.08		18.1	88.1				
11500-6029	HIGH			4.25		47.2	89.5				
11500-6029	LOW			0.0		58.3	76.5				
11500-6029	MID			2.58		58.3	83.2				
11500-6048	HIGH			8.08		40.3	96.2				
11500-6048	LOW			2.5		75.0	55.8				
11500-6048	MID			5.58		69.4	71.1				
11500-6063	HIGH			4.5		40.95	84.85				
11500-6063	LOW			4.295		65.3	67.1				
11500-6063	MID			4.295		54.85	74.65				
11500-61	HIGH			8.08		26.4	97.2				
11500-61	LOW			2.17		86.1	64.8				
11500-61	MID			6.0		73.6	74.7				
11500-6124	HIGH			8.08		45.8	76.3				
11500-6124	LOW			8.0		61.1	62.9				
11500-6124	MID			8.08		56.9	67.6				
11500-6173	HIGH			3.58		47.2	76.5				
11500-6173	LOW			3.0		56.9	69.3				
11500-6173	MID			3.42		55.6	72.4				
11500-62	HIGH			8.08		23.6	93.4				
11500-62	LOW			7.08		72.2	78.6				
11500-62	MID			7.67		50.0	84.5				
11500-6212	HIGH			7.17		19.4	84.1				
11500-6212	LOW			3.33		84.7	69.7				
11500-6212	MID			4.42		56.9	77.1				
11500-63	HIGH			8.08		12.5	95.7				
11500-63	LOW			5.25		75.0	78.8				
11500-63	MID			6.92		62.5	85.7				
11500-6307	HIGH			7.5		19.4	98.1				
11500-6307	LOW			7.25		31.9	92.8				
11500-6307	MID			7.33		22.2	94.7				
11500-6327	HIGH			8.08		33.3	98.4				
11500-6327	LOW			7.08		58.3	64.6				
11500-6327	MID			7.67		44.4	72.0				
11500-6338	HIGH			1.46		54.85	59.1				
11500-6338	LOW			1.46		63.2	56.650000000000006				
11500-6338	MID			1.46		59.7	57.400000000000006				
11500-6350	HIGH			6.33		59.7	76.0				
11500-6350	LOW			4.33		68.1	69.5				
11500-6350	MID			5.17		61.1	71.5				
11500-6370	HIGH			3.0		41.7	87.8				
11500-6370	LOW			3.0		52.8	78.9				
11500-6370	MID			3.0		43.1	81.2				
11500-64	HIGH			7.83		37.5	82.4				
11500-64	LOW			3.08		59.7	71.0				
11500-64	MID			5.83		54.2	76.4				
11500-6421	HIGH			8.08		22.2	85.3				
11500-6421	LOW			6.25		62.5	74.3				
11500-6421	MID			7.92		48.6	79.7				
11500-6436	HIGH			3.92		70.8	66.9				
11500-6436	LOW			0.0		100.0	40.0				
11500-6436	MID			0.0		91.7	49.6				
11500-6478	HIGH			7.75		26.4	87.8				
11500-6478	LOW			7.42		43.1	78.8				
11500-6478	MID			7.42		31.9	82.3				
11500-6491	HIGH			8.08		6.9	94.3				
11500-6491	LOW			7.33		40.3	88.2				
11500-6491	MID			7.75		6.9	91.3				
11500-65	HIGH			8.08		47.2	89.5				
11500-65	LOW			7.58		69.4	77.8				
11500-65	MID			7.75		55.6	83.8				
11500-6594	HIGH			8.0		11.8	92.5				
11500-6594	LOW			3.915		74.3	73.65				
11500-6594	MID			7.335		52.75	82.9				
11500-66	HIGH			7.92		45.8	77.8				
11500-66	LOW			1.58		90.3	63.5				
11500-66	MID			5.17		79.2	70.3				
11500-6611	HIGH			8.08		0.0	129.9				
11500-6611	LOW			8.08		30.6	100.7				
11500-6611	MID			8.08		13.9	107.4				
11500-6622	HIGH			8.08		40.3	94.0				
11500-6622	LOW			6.5		69.4	67.2				
11500-6622	MID			7.25		51.4	76.3				
11500-6624	HIGH			1.75		47.2	87.8				
11500-6624	LOW			0.92		84.7	44.5				
11500-6624	MID			1.08		61.1	59.4				
11500-6652	HIGH			8.08		0.0	112.7				
11500-6652	LOW			7.92		20.8	89.2				
11500-6652	MID			8.08		12.5	93.8				
11500-6655	HIGH			6.58		36.1	86.0				
11500-6655	LOW			4.25		55.6	62.6				
11500-6655	MID			6.42		48.6	70.0				
11500-6657	HIGH			8.08		4.2	87.7				
11500-6657	LOW			6.58		61.1	78.8				
11500-6657	MID			7.75		48.6	83.3				
11500-6671	HIGH			8.08		66.7	79.1				
11500-6671	LOW			4.83		79.2	57.7				
11500-6671	MID			5.33		79.2	67.9				
11500-6675	HIGH			5.0		79.2	65.9				
11500-6675	LOW			1.33		90.3	53.4				
11500-6675	MID			4.33		88.9	59.0				
11500-67	HIGH			8.08		9.7	96.5				
11500-67	LOW			5.5		62.5	82.6				
11500-67	MID			7.58		36.1	89.9				
11500-6746	HIGH			4.17		19.4	85.3				
11500-6746	LOW			3.08		75.0	71.4				
11500-6746	MID			3.08		59.7	78.2				
11500-6753	HIGH			7.21		43.75	102.75				
11500-6753	LOW			3.545		70.1	64.35				
11500-6753	MID			4.205		66.65	73.75				
11500-6763	HIGH			7.0		33.3	86.9				
11500-6763	LOW			5.5		48.6	76.6				
11500-6763	MID			5.5		41.7	80.2				
11500-6776	HIGH			8.08		0.0	115.4				
11500-6776	LOW			7.75		2.8	103.3				
11500-6776	MID			7.92		0.0	105.6				
11500-6789	HIGH			3.92		55.6	109.0				
11500-6789	LOW			2.83		55.6	105.3				
11500-6789	MID			3.25		55.6	107.1				
11500-68	HIGH			6.67		48.6	79.0				
11500-68	LOW			2.08		86.1	62.5				
11500-68	MID			3.67		77.8	70.4				
11500-6801	HIGH			6.25		47.2	87.5				
11500-6801	LOW			0.0		68.1	45.2				
11500-6801	MID			0.0		65.3	57.8				
11500-6813	HIGH			7.75		31.9	87.2				
11500-6813	LOW			7.42		47.2	77.6				
11500-6813	MID			7.67		40.3	80.6				
11500-6825	HIGH			8.08		0.0	85.9				
11500-6825	LOW			6.75		65.3	75.6				
11500-6825	MID			7.5		54.2	80.7				
11500-6830	HIGH			4.92		48.6	84.7				
11500-6830	LOW			4.5		66.7	62.7				
11500-6830	MID			4.5		58.3	69.8				
11500-6839	HIGH			6.08		45.8	85.5				
11500-6839	LOW			4.58		51.4	80.2				
11500-6839	MID			5.58		50.0	82.2				
11500-6844	HIGH			7.33		38.9	105.7				
11500-6844	LOW			7.33		38.9	97.0				
11500-6844	MID			7.33		38.9	98.7				
11500-6867	HIGH			7.83		41.7	83.9				
11500-6867	LOW			2.42		90.3	62.4				
11500-6867	MID			3.25		81.9	70.8				
11500-6868	HIGH			7.5		30.6	83.7				
11500-6868	LOW			3.67		80.6	68.5				
11500-6868	MID			4.83		76.4	76.4				
11500-6884	HIGH			8.0		38.9	81.25				
11500-6884	LOW			4.25		97.2	56.25				
11500-6884	MID			6.17		69.44999999999999	66.95				
11500-6888	HIGH			8.08		12.5	107.3				
11500-6888	LOW			5.17		51.4	75.7				
11500-6888	MID			6.08		31.9	84.4				
11500-6892	HIGH			7.5		19.4	84.2				
11500-6892	LOW			3.25		79.2	66.0				
11500-6892	MID			5.33		68.1	73.5				
11500-6893	HIGH			7.67		27.8	82.7				
11500-6893	LOW			2.17		83.3	64.9				
11500-6893	MID			5.08		65.3	72.5				
11500-6898	HIGH			6.585		28.5	84.05				
11500-6898	LOW			0.835		84.05	65.9				
11500-6898	MID			3.835		77.75	74.15				
11500-6900	HIGH			7.25		40.3	84.0				
11500-6900	LOW			2.25		88.9	64.9				
11500-6900	MID			4.25		76.4	70.2				
11500-6901	HIGH			7.75		43.75	82.5				
11500-6901	LOW			5.125		68.1	68.55000000000001				
11500-6901	MID			6.915		59.75	74.5				
11500-6902	HIGH			7.835		19.4	83.1				
11500-6902	LOW			6.71		81.95	69.65				
11500-6902	MID			7.54		63.2	75.75				
11500-6908	HIGH			7.375		32.650000000000006	85.05000000000001				
11500-6908	LOW			1.625		88.2	62.900000000000006				
11500-6908	MID			5.75		77.8	71.4				
11500-6919	HIGH			7.17		50.0	82.6				
11500-6919	LOW			1.33		97.2	53.7				
11500-6919	MID			3.58		91.7	64.6				
11500-7	HIGH			7.625		29.200000000000003	104.1				
11500-7	LOW			1.25		73.65	73.55				
11500-7	MID			5.75		53.5	81.75				
11500-7012	HIGH			4.83		54.2	72.7				
11500-7012	LOW			2.33		70.8	43.3				
11500-7012	MID			2.33		68.1	50.0				
11500-7039	HIGH			0.0		68.1	62.2				
11500-7039	LOW			0.0		68.1	44.1				
11500-7039	MID			0.0		68.1	48.7				
11500-71	HIGH			8.08		15.25	112.35				
11500-71	LOW			5.08		50.7	86.80000000000001				
11500-71	MID			5.625		47.2	93.5				
11500-7109	HIGH			6.58		59.7	77.4				
11500-7109	LOW			0.33		80.6	49.8				
11500-7109	MID			1.33		80.6	59.1				
11500-7164	HIGH			7.75		59.7	69.8				
11500-7164	LOW			7.25		75.0	51.2				
11500-7164	MID			7.42		68.1	56.7				
11500-7244	HIGH			7.625		30.55	85.85				
11500-7244	LOW			2.5		84.7	66.05				
11500-7244	MID			4.0		77.1	74.7				
11500-7248	HIGH			8.0		15.3	85.6				
11500-7248	LOW			6.83		56.9	76.6				
11500-7248	MID			7.67		30.6	81.1				
11500-7276	HIGH			5.625		15.3	97.1				
11500-7276	LOW			5.085		35.4	89.4				
11500-7276	MID			5.585		28.45	91.9				
11500-7370	HIGH			7.5		9.7	97.6				
11500-7370	LOW			0.75		66.7	56.6				
11500-7370	MID			1.5		66.7	66.9				
11500-7402	HIGH			1.58		91.7	62.1				
11500-7402	LOW			0.0		95.8	54.1				
11500-7402	MID			0.0		95.8	57.8				
11500-7411	HIGH			6.58		58.3	79.3				
11500-7411	LOW			3.25		76.4	61.9				
11500-7411	MID			3.25		70.8	68.1				
11500-7419	HIGH			7.46		38.2	81.5				
11500-7419	LOW			1.295		95.8	61.9				
11500-7419	MID			4.96		87.5	70.1				
11500-7435	HIGH			7.625		37.5	82.75				
11500-7435	LOW			1.75		84.7	61.7				
11500-7435	MID			4.08		79.19999999999999	70.44999999999999				
11500-7467	HIGH			7.21		35.400000000000006	81.35				
11500-7467	LOW			2.085		73.6	65.44999999999999				
11500-7467	MID			3.04		66.0	72.5				
11500-7468	HIGH			7.33		42.35	82.55000000000001				
11500-7468	LOW			2.21		74.3	66.44999999999999				
11500-7468	MID			4.625		67.35	73.7				
11500-7595	HIGH			8.08		19.4	99.8				
11500-7595	LOW			8.08		41.7	74.8				
11500-7595	MID			8.08		25.0	81.4				
11500-7596	HIGH			7.25		30.55	87.6				
11500-7596	LOW			1.5		79.19999999999999	63.15				
11500-7596	MID			3.75		77.8	72.25				
11500-7611	HIGH			3.42		91.7	52.6				
11500-7611	LOW			2.17		91.7	36.8				
11500-7611	MID			2.17		91.7	43.3				
11500-7633	HIGH			8.0		29.2	88.5				
11500-7633	LOW			5.42		47.2	66.8				
11500-7633	MID			6.08		45.8	76.9				
11500-7652	HIGH			2.17		43.1	75.8				
11500-7652	LOW			1.92		59.7	65.2				
11500-7652	MID			2.08		43.1	68.4				
11500-7666	HIGH			0.33		62.5	74.1				
11500-7666	LOW			0.33		83.3	47.2				
11500-7666	MID			0.33		80.6	55.9				
11500-7668	HIGH			8.0		11.1	99.6				
11500-7668	LOW			7.58		43.1	86.4				
11500-7668	MID			7.83		29.2	90.5				
11500-77	HIGH			8.08		9.7	98.4				
11500-77	LOW			8.08		22.2	95.6				
11500-77	MID			8.08		12.5	96.7				
11500-7708	HIGH			3.83		75.0	72.2				
11500-7708	LOW			1.92		90.3	40.1				
11500-7708	MID			1.92		86.1	50.3				
11500-7716	HIGH			6.92		44.4	79.4				
11500-7716	LOW			5.33		86.1	67.5				
11500-7716	MID			6.25		79.2	72.3				
11500-7724	HIGH			5.17		34.7	89.5				
11500-7724	LOW			4.08		50.0	68.8				
11500-7724	MID			4.08		43.1	77.0				
11500-7733	HIGH			7.25		26.4	100.8				
11500-7733	LOW			1.0		66.7	59.2				
11500-7733	MID			2.08		65.3	71.0				
11500-7742	HIGH			8.0		12.5	105.2				
11500-7742	LOW			7.83		33.3	95.6				
11500-7742	MID			7.92		19.4	101.5				
11500-7752	HIGH			7.33		45.8	77.1				
11500-7752	LOW			1.67		68.1	42.0				
11500-7752	MID			5.75		66.7	54.7				
11500-7782	HIGH			5.915		36.8	82.6				
11500-7782	LOW			0.665		74.3	50.35				
11500-7782	MID			0.96		74.3	58.55				
11500-7784	HIGH			5.42		81.9	63.1				
11500-7784	LOW			3.92		93.1	56.3				
11500-7784	MID			4.67		88.9	59.5				
11500-78	HIGH			8.08		3.45	105.25				
11500-78	LOW			6.125		38.2	95.25				
11500-78	MID			8.08		25.0	100.45				
11500-7821	HIGH			8.08		55.6	69.7				
11500-7821	LOW			7.67		61.1	53.0				
11500-7821	MID			7.92		59.7	59.1				
11500-7835	HIGH			6.0		76.4	62.7				
11500-7835	LOW			6.0		87.5	38.7				
11500-7835	MID			6.0		83.3	45.4				
11500-7858	HIGH			4.08		86.1	67.9				
11500-7858	LOW			2.0		97.2	52.1				
11500-7858	MID			2.0		93.1	59.2				
11500-7876	HIGH			2.58		65.3	67.9				
11500-7876	LOW			1.33		87.5	43.3				
11500-7876	MID			1.58		86.1	52.8				
11500-79	HIGH			7.75		43.1	86.5				
11500-79	LOW			6.67		47.2	83.0				
11500-79	MID			7.75		47.2	84.1				
11500-7907	HIGH			7.75		30.6	93.85				
11500-7907	LOW			4.125		65.3	65.2				
11500-7907	MID			4.29		49.3	73.0				
11500-7910	HIGH			7.83		0.0	90.2				
11500-7910	LOW			7.75		29.2	87.4				
11500-7910	MID			7.75		15.3	89.0				
11500-7916	HIGH			7.83		9.7	117.7				
11500-7916	LOW			7.0		23.6	114.1				
11500-7916	MID			7.25		22.2	115.8				
11500-7919	HIGH			7.25		40.3	84.2				
11500-7919	LOW			4.58		66.7	72.1				
11500-7919	MID			6.33		54.2	78.5				
11500-7927	HIGH			7.75		54.2	82.0				
11500-7927	LOW			7.5		61.1	70.9				
11500-7927	MID			7.75		59.7	76.2				
11500-7954	HIGH			1.5		54.2	75.2				
11500-7954	LOW			0.75		73.6	53.0				
11500-7954	MID			0.83		63.9	61.5				
11500-7975	HIGH			8.0		12.5	90.4				
11500-7975	LOW			5.0		51.4	82.8				
11500-7975	MID			7.5		38.9	86.5				
11500-7976	HIGH			8.0		16.7	88.6				
11500-7976	LOW			6.17		55.6	79.5				
11500-7976	MID			7.75		45.8	83.9				
11500-7992	HIGH			6.08		11.1	106.0				
11500-7992	LOW			4.83		31.9	88.3				
11500-7992	MID			4.83		27.8	91.7				
11500-80	HIGH			8.08		7.65	88.94999999999999				
11500-80	LOW			8.0		47.95	83.3				
11500-80	MID			8.08		15.3	85.75				
11500-8014	HIGH			8.08		34.7	104.0				
11500-8014	LOW			7.42		66.7	96.8				
11500-8014	MID			8.0		41.7	101.4				
11500-8042	HIGH			8.08		0.0	116.4				
11500-8042	LOW			0.0		51.4	63.1				
11500-8042	MID			0.0		51.4	74.8				
11500-8044	HIGH			0.67		45.8	81.6				
11500-8044	LOW			0.0		58.3	62.5				
11500-8044	MID			0.0		54.2	70.5				
11500-8049	HIGH			5.17		77.8	72.9				
11500-8049	LOW			5.17		77.8	62.2				
11500-8049	MID			5.17		77.8	66.4				
11500-8050	HIGH			5.92		65.3	84.1				
11500-8050	LOW			5.92		69.4	77.0				
11500-8050	MID			5.92		65.3	79.8				
11500-8078	HIGH			7.705		34.0	83.0				
11500-8078	LOW			7.25		43.75	66.4				
11500-8078	MID			7.455		40.25	74.4				
11500-81	HIGH			8.08		15.3	86.2				
11500-81	LOW			8.0		52.8	81.7				
11500-81	MID			8.08		43.1	83.5				
11500-8101	HIGH			5.58		29.2	92.2				
11500-8101	LOW			5.42		62.5	71.6				
11500-8101	MID			5.58		30.6	78.7				
11500-8132	HIGH			7.085		37.5	80.45				
11500-8132	LOW			5.625		74.3	72.4				
11500-8132	MID			6.71		60.4	76.6				
11500-8134	HIGH			8.08		30.6	87.9				
11500-8134	LOW			1.58		80.6	60.7				
11500-8134	MID			3.92		72.2	72.6				
11500-8142	HIGH			7.5		31.9	84.9				
11500-8142	LOW			2.25		87.5	67.3				
11500-8142	MID			3.67		80.6	74.4				
11500-8150	HIGH			6.17		15.3	84.1				
11500-8150	LOW			3.5		48.6	75.0				
11500-8150	MID			4.5		34.7	78.9				
11500-8189	HIGH			7.705		22.9	109.5				
11500-8189	LOW			6.08		33.35	96.65				
11500-8189	MID			7.205		31.25	100.7				
11500-8192	HIGH			4.54		32.599999999999994	93.75				
11500-8192	LOW			3.915		75.0	65.15				
11500-8192	MID			4.335		45.15	72.15				
11500-82	HIGH			8.08		18.1	95.2				
11500-82	LOW			8.0		22.2	89.6				
11500-82	MID			8.08		18.1	91.6				
11500-8207	HIGH			8.08		20.8	83.5				
11500-8207	LOW			3.75		80.6	58.7				
11500-8207	MID			5.42		79.2	69.2				
11500-8214	HIGH			8.08		9.7	92.3				
11500-8214	LOW			4.92		47.2	74.1				
11500-8214	MID			6.67		23.6	80.1				
11500-8228	HIGH			7.75		27.8	83.1				
11500-8228	LOW			7.75		47.2	73.8				
11500-8228	MID			7.75		43.1	77.7				
11500-8238	HIGH			8.08		0.0	101.1				
11500-8238	LOW			8.0		9.7	93.5				
11500-8238	MID			8.0		4.2	95.3				
11500-8242	HIGH			8.08		0.0	100.7				
11500-8242	LOW			7.92		2.8	95.3				
11500-8242	MID			8.0		0.0	99.3				
11500-8253	HIGH			7.58		0.0	96.7				
11500-8253	LOW			6.75		16.7	89.2				
11500-8253	MID			6.75		13.9	93.9				
11500-8261	HIGH			5.21		40.95	82.45				
11500-8261	LOW			0.5		86.8	57.35				
11500-8261	MID			1.415		66.7	66.85				
11500-8272	HIGH			0.33		47.2	69.5				
11500-8272	LOW			0.33		61.1	62.2				
11500-8272	MID			0.33		50.0	64.8				
11500-83	HIGH			7.92		29.2	104.6				
11500-83	LOW			7.67		30.6	98.5				
11500-83	MID			7.75		29.2	100.5				
11500-8312	HIGH			6.67		43.1	79.9				
11500-8312	LOW			1.83		93.1	65.4				
11500-8312	MID			3.0		69.4	71.9				
11500-8330	HIGH			7.25		26.4	82.7				
11500-8330	LOW			4.83		69.4	74.9				
11500-8330	MID			5.92		43.1	78.7				
11500-8361	HIGH			7.75		48.6	86.3				
11500-8361	LOW			5.54		73.6	62.35				
11500-8361	MID			7.04		66.65	70.69999999999999				
11500-8366	HIGH			8.08		0.0	113.9				
11500-8366	LOW			8.0		5.6	104.0				
11500-8366	MID			8.08		0.0	106.5				
11500-8375	HIGH			7.75		0.0	86.0				
11500-8375	LOW			6.5		41.7	80.5				
11500-8375	MID			7.67		20.8	83.4				
11500-8377	HIGH			7.29		34.05	85.75				
11500-8377	LOW			6.165		60.400000000000006	73.65				
11500-8377	MID			6.25		53.45	79.45				
11500-8462	HIGH			7.625		21.5	81.25				
11500-8462	LOW			2.375		95.8	55.1				
11500-8462	MID			3.335		83.35	66.44999999999999				
11500-8472	HIGH			7.83		47.2	77.7				
11500-8472	LOW			6.42		72.2	65.6				
11500-8472	MID			7.33		68.1	70.5				
11500-8482	HIGH			7.415		24.3	82.94999999999999				
11500-8482	LOW			6.045		79.15	70.8				
11500-8482	MID			6.25		60.45	76.75				
11500-8497	HIGH			6.92		30.6	103.1				
