aptSeq	apt_name	umd_name	jibun	road_nm	road_bon	road_bub	build_year	n_trades	addr_road	addr_jibun	lon	lat	geocode_source	cluster_id	n_dong	cluster_year
11680-385	미성1차	압구정동	414	압구정로11길	00017	00000	1982.0	2	서울 강남구 압구정로11길 17	서울 강남구 압구정동 414	127.02016125944	37.5255798284603	road	50.0	11.0	1987.0
11680-3871	래미안그레이튼	역삼동	763-16	도곡로43길	00020	00000	2009.0	5	서울 강남구 도곡로43길 20	서울 강남구 역삼동 763-16	127.048587369117	37.4968552857788	road	154.0	108.0	2006.0
11680-3879	도곡지웰카운티101동	도곡동	199-4	남부순환로373길	00003	00000	2010.0	2	서울 강남구 남부순환로373길 3	서울 강남구 도곡동 199-4	127.043578390141	37.4863489712717	road	146.0	12.0	1994.0
11680-3899	마크힐스이스트윙	청담동	130-7	영동대로142길	00019	00000	2010.0	1	서울 강남구 영동대로142길 19	서울 강남구 청담동 130-7	127.055179106033	37.5245388138369	road	232.0	4.0	2001.0
11680-3905	래미안그레이튼(진달래2차)	역삼동	762-3	도곡로43길	00021	00000	2010.0	9	서울 강남구 도곡로43길 21	서울 강남구 역삼동 762-3	127.047011616273	37.4957277729688	road	154.0	108.0	2006.0
11680-391	개포주공5단지	개포동	187	삼성로4길	00017	00000	1983.0	12	서울 강남구 삼성로4길 17	서울 강남구 개포동 187	127.06903483437	37.4879144140576	road	258.0	16.0	1983.0
11680-392	동부센트레빌	논현동	275	언주로116길	00006	00000	2003.0	9	서울 강남구 언주로116길 6	서울 강남구 논현동 275	127.037183296518	37.5104798359114	road	122.0	5.0	2003.0
11680-3923	삼성동신도브래뉴	삼성동	121-38	삼성로103길	00012	00000	2010.0	1	서울 강남구 삼성로103길 12	서울 강남구 삼성동 121-38	127.053410791714	37.5103690964957	road	204.0	2.0	2006.0
11680-394	풍림아이원아파트	대치동	910-4	역삼로	00436	00000	2003.0	1	서울 강남구 역삼로 436	서울 강남구 대치동 910-4	127.054798533858	37.5016231251359	road	221.0	5.0	
11680-3946	청담4차이-편한세상	청담동	28-20	학동로73길	00033	00000	2011.0	3	서울 강남구 학동로73길 33	서울 강남구 청담동 28-20	127.046974322468	37.5208540179734	road	167.0	93.0	2007.0
11680-395	풍림아이원1차103동(910-5)	대치동	910-5	역삼로	00438	00000	2003.0	1	서울 강남구 역삼로 438	서울 강남구 대치동 910-5	127.055038576758	37.5017069872781	road	221.0	5.0	
11680-3953	세곡리엔파크(3단지)	세곡동	516	헌릉로590길	00011	00000	2011.0	1	서울 강남구 헌릉로590길 11	서울 강남구 세곡동 516	127.104002692314	37.4643990418051	road	336.0	14.0	2011.0
11680-3958	이산	논현동	194-22	논현로111길	00034	00000	2011.0	2	서울 강남구 논현로111길 34	서울 강남구 논현동 194-22	127.030693549212	37.5072036650895	road	94.0	6.0	2005.0
11680-396	풍림아이원2차202동	대치동	910-6	역삼로74길	00008	00000	2003.0	1	서울 강남구 역삼로74길 8	서울 강남구 대치동 910-6	127.054999199043	37.5013691284498	road	221.0	5.0	
11680-3962	도곡쌍용예가	도곡동	933	남부순환로363길	00030	00000	1978.0	7	서울 강남구 남부순환로363길 30	서울 강남구 도곡동 933	127.038197177163	37.48761945292	road	106.0	46.0	1995.0
11680-3964	강남신동아파밀리에2단지	세곡동	511	헌릉로590길	00010	00000	2011.0	2	서울 강남구 헌릉로590길 10	서울 강남구 세곡동 511	127.102737297551	37.4645126849986	road	336.0	14.0	2011.0
11680-3965	강남신동아파밀리에1단지	세곡동	508	헌릉로590길	00100	00000	2011.0	2	서울 강남구 헌릉로590길 100	서울 강남구 세곡동 508	127.101042591666	37.4635377203095	road	337.0	6.0	2011.0
11680-399	롯데캐슬모닝	도곡동	551-28	도곡로14길	00012	00000	2003.0	2	서울 강남구 도곡로14길 12	서울 강남구 도곡동 551-28	127.036639233135	37.4902900828533	road	106.0	46.0	1995.0
11680-400	금호어울림	삼성동	102-2	봉은사로111길	00025	00000	2003.0	1	서울 강남구 봉은사로111길 25	서울 강남구 삼성동 102-2	127.064816206295	37.5167715987356	road	247.0	27.0	2005.0
11680-4003	강남데시앙파크	세곡동	525	헌릉로590길	00063	00000	2011.0	13	서울 강남구 헌릉로590길 63	서울 강남구 세곡동 525	127.101540870536	37.4610465369667	road	335.0	20.0	2011.0
11680-4004	청담자이	청담동	134-38	영동대로138길	00012	00000	2011.0	19	서울 강남구 영동대로138길 12	서울 강남구 청담동 134-38	127.057249781197	37.5241014728573	road	231.0	5.0	2011.0
11680-401	미켈란107	삼성동	107	영동대로	00602	00000	2003.0	1	서울 강남구 영동대로 602	서울 강남구 삼성동 107	127.060483947525	37.5147215906749	road	247.0	27.0	2005.0
11680-403	쌍용플래티넘	삼성동	117	봉은사로	00474	00000	2003.0	1	서울 강남구 봉은사로 474	서울 강남구 삼성동 117	127.052026639291	37.5123672407678	road	205.0	16.0	2008.0
11680-4036	대명벨리온	역삼동	727-2	역삼로25길	00027	00000	2012.0	1	서울 강남구 역삼로25길 27	서울 강남구 역삼동 727-2	127.039117303615	37.4979408197494	road	116.0	1.0	2023.0
11680-404	포스코트	삼성동	146	봉은사로	00510	00000	2003.0	1	서울 강남구 봉은사로 510	서울 강남구 삼성동 146	127.054970214493	37.5130464359453	road	226.0	4.0	2004.0
11680-4050	강남서해그랑블	역삼동	796-29	논현로63길	00016	00000	2012.0	2	서울 강남구 논현로63길 16	서울 강남구 역삼동 796-29	127.039114558338	37.4928940114283	road	148.0	2.0	2008.5
11680-407	삼부아그레빌	삼성동	98-11	영동대로114길	00063	00000	2003.0	3	서울 강남구 영동대로114길 63	서울 강남구 삼성동 98-11	127.064045973701	37.5179239516477	road	247.0	27.0	2005.0
11680-4082	상지리츠빌카일룸(65-4)	삼성동	65-4	삼성로	00636	00000	2012.0	1	서울 강남구 삼성로 636	서울 강남구 삼성동 65-4	127.051699880568	37.5168105042746	road	208.0	2.0	2005.0
11680-4084	개나리SK뷰	역삼동	716-3	역삼로	00315	00001	2012.0	2	서울 강남구 역삼로 315-1	서울 강남구 역삼동 716-3	127.050071033953	37.5005684337476	road	181.0	4.0	2012.0
11680-4090	세곡푸르지오	세곡동	533	자곡로	00021	00000	2012.0	29	서울 강남구 자곡로 21	서울 강남구 세곡동 533	127.093264549075	37.4673466520187	road	320.0	16.0	2012.0
11680-41	삼환(101동)	청담동	10	학동로77길	00049	00000	1999.0	11	서울 강남구 학동로77길 49	서울 강남구 청담동 10	127.047566189072	37.5221283395974	road	167.0	93.0	2007.0
11680-410	역삼르비앙1	역삼동	835-12	도곡로11길	00013	00000	2003.0	1	서울 강남구 도곡로11길 13	서울 강남구 역삼동 835-12	127.035338217513	37.4917833584137	road	110.0	7.0	2003.0
11680-411	금호어울림	역삼동	835-67	도곡로7길	00022	00000	2003.0	9	서울 강남구 도곡로7길 22	서울 강남구 역삼동 835-67	127.034771182974	37.4923742270443	road	110.0	7.0	2003.0
11680-415	현대1차(12,13,21,22,31,32,33동)	압구정동	369-1	압구정로29길	00071	00000	1976.0	7	서울 강남구 압구정로29길 71	서울 강남구 압구정동 369-1	127.028325815765	37.5336032834133	road	82.0	52.0	1978.0
11680-416	현대2차(10,11,20,23,24,25동)	압구정동	369-1	압구정로29길	00071	00000	1976.0	8	서울 강남구 압구정로29길 71	서울 강남구 압구정동 369-1	127.028325815765	37.5336032834133	road	82.0	52.0	1978.0
11680-417	현대3차(61~64동)	압구정동	443	압구정로39길	00058	00000	1976.0	6	서울 강남구 압구정로39길 58	서울 강남구 압구정동 443	127.032232153408	37.5326779449103	road	82.0	52.0	1978.0
11680-4173	래미안도곡카운티	도곡동	538-3	도곡로	00320	00000	2016.0	2	서울 강남구 도곡로 320	서울 강남구 도곡동 538-3	127.052002706504	37.4956390045387	road	179.0	44.0	2006.0
11680-418	현대4차저층(51~56동)	압구정동	462	압구정로33길	00070	00000	1977.0	3	서울 강남구 압구정로33길 70	서울 강남구 압구정동 462	127.030945158679	37.5328566873699	road	82.0	52.0	1978.0
