model	term	coefficient_log_price	cluster_robust_se	coefficient_ci95_low	coefficient_ci95_high	p_value	price_change_pct_per_unit	price_change_pct_ci95_low	price_change_pct_ci95_high	physical_feature	interpretation
F_M3_all_physical (train only)	deal_ym_202503	0.072205274	0.011356301	0.049946923	0.094463625	2.041739e-10	7.4875966	5.12153	9.9069184	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	deal_ym_202502	0.070033983	0.012628118	0.045282871	0.094785095	2.9248555e-08	7.2544629	4.6323792	9.9422558	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	deal_ym_202501	0.014429206	0.011846116	-0.0087891817	0.037647593	0.22320356	1.4533809	-0.87506697	3.8365241	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	deal_ym_202412	0.015469056	0.012704851	-0.0094324521	0.040370563	0.22338711	1.5589321	-0.9388106	4.1196532	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	deal_ym_202411	0.01570136	0.012192276	-0.0081955006	0.03959822	0.19781139	1.5825274	-0.8162009	4.0392681	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	deal_ym_202410	-0.01462393	0.011551494	-0.037264858	0.0080169982	0.20552119	-1.4517519	-3.6579068	0.80492204	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	deal_ym_202409	0.0061836413	0.013816053	-0.020895823	0.033263106	0.65446406	0.62027995	-2.0679018	3.3822508	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	bjd_code_10200.0	-0.051228346	0.038111523	-0.12592693	0.023470238	0.17889358	-4.9938297	-11.832073	2.3747831	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	bjd_code_10300.0	-0.12473959	0.043849516	-0.21068464	-0.038794536	0.0044450502	-11.727325	-18.997052	-3.8051665	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	bjd_code_10400.0	-0.043922993	0.043153569	-0.12850399	0.040658002	0.3087588	-4.2972348	-12.058994	4.1495855	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	bjd_code_10500.0	-0.18089361	0.039508478	-0.25833023	-0.103457	4.680929e-06	-16.547586	-22.765986	-9.8285201	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	bjd_code_10600.0	-0.04035788	0.051051466	-0.14041875	0.059702994	0.42921643	-3.9554346	-13.100573	6.1521222	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	bjd_code_10700.0	-0.016136475	0.049128625	-0.11242858	0.08015563	0.7425687	-1.600698	-10.633883	8.3455673	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	bjd_code_10800.0	0.079407684	0.046646194	-0.012018857	0.17083422	0.088691643	8.2645609	-1.1946919	18.629407	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	bjd_code_10900.0	-0.13429723	0.045772094	-0.22401054	-0.044583929	0.0033457925	-12.566985	-20.069329	-4.3604672	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	bjd_code_11000.0	0.33723074	0.059746503	0.22012759	0.45433389	1.6579738e-08	40.106231	24.623573	57.512382	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	bjd_code_11100.0	0.0047473927	0.05038693	-0.094010989	0.10350577	0.9249354	0.47586794	-8.9727241	10.90522	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	bjd_code_11200.0	0.11794558	0.047654151	0.024543445	0.21134772	0.013322399	12.518288	2.4847114	23.534183	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	bjd_code_11300.0	0.083602559	0.057613352	-0.02931961	0.19652473	0.14675287	8.7196711	-2.8893961	21.716542	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	bjd_code_11400.0	0.11843234	0.059430716	0.0019481364	0.23491654	0.046285547	12.573071	0.19500353	26.480321	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	bjd_code_11500.0	0.22777247	0.098353622	0.034999366	0.42054556	0.020566332	25.579955	3.5619053	52.279211	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	bjd_code_11600.0	-0.12592999	0.076113567	-0.27511259	0.023252596	0.0980257	-11.832343	-24.051339	2.3525045	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	bjd_code_11700.0	-0.031286405	0.052871727	-0.13491499	0.07234218	0.55402358	-3.080205	-12.620981	7.5023133	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	bjd_code_11800.0	0.10846768	0.081468045	-0.051209689	0.26814505	0.18305289	11.456889	-4.9920571	30.753678	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	bjd_code_11900.0	-0.021495912	0.060000699	-0.13909728	0.096105458	0.72014798	-2.1266521	-12.985662	10.087515	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	bjd_code_12000.0	-0.022598699	0.04689598	-0.11451482	0.069317421	0.62988416	-2.2345261	-10.820128	7.177636	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	bjd_code_12100.0	-0.014019404	0.051375779	-0.11471593	0.086677123	0.78494574	-1.392159	-10.838061	9.0544511	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	bjd_code_12200.0	0.14421623	0.096885086	-0.045678536	0.334111	0.13661151	15.513386	-4.4650977	39.669817	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	bjd_code_12300.0	-0.16010999	0.073100487	-0.30338694	-0.016833031	0.02850448	-14.794993	-26.168664	-1.6692148	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	bjd_code_12400.0	-0.011581953	0.077694809	-0.16386378	0.14069987	0.88149853	-1.151514	-15.114235	15.107913	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	bjd_code_12500.0	0.068919123	0.064554779	-0.057608244	0.19544649	0.2856979	7.1349558	-5.5980299	21.585373	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	bjd_code_12600.0	-0.16453432	0.071802502	-0.30526722	-0.023801411	0.021935412	-15.171135	-26.307357	-2.3520391	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	bjd_code_12700.0	-0.16089719	0.058918201	-0.27637686	-0.045417517	0.0063169845	-14.86204	-24.147299	-4.440158	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	bjd_code_12800.0	-0.02660774	0.083571709	-0.19040829	0.13719281	0.75019508	-2.6256873	-17.337844	14.704929	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	bjd_code_12900.0	0.65499348	0.085195638	0.48801003	0.82197693	1.4932386e-14	92.512996	62.907118	127.49929	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	bjd_code_13000.0	0.12704855	0.15530914	-0.17735737	0.43145447	0.41333633	13.547215	-16.251956	53.949504	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	bjd_code_13100.0	0.62629147	0.083976566	0.4616974	0.79088553	8.7891417e-14	87.066029	58.676507	120.53485	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	bjd_code_13200.0	0.049059313	0.04641735	-0.041918694	0.14003732	0.29054921	5.0282644	-4.1052254	15.031673	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	bjd_code_13300.0	-0.32133764	0.078284893	-0.47477603	-0.16789925	4.0480314e-05	-27.482164	-37.797565	-15.456099	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	bjd_code_13400.0	-0.34175783	0.052255928	-0.44417945	-0.23933621	6.1486863e-11	-28.947975	-35.864968	-21.284981	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	bjd_code_13500.0	-0.26334702	0.071959262	-0.40438717	-0.12230686	0.00025254209	-23.152482	-33.261432	-11.512321	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	bjd_code_13600.0	-0.34835589	0.11560123	-0.57493431	-0.12177748	0.0025831501	-29.415237	-43.725816	-11.465465	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	bjd_code_13700.0	-0.53652957	0.056847912	-0.64795148	-0.42510766	3.8002777e-21	-41.522585	-47.68837	-34.63006	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	bjd_code_13800.0	-0.061298104	0.061833487	-0.18249174	0.05989553	0.32151883	-5.9457182	-16.680847	6.1725622	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	bjd_code_13900.0	-0.12330526	0.12708976	-0.37240118	0.12579067	0.33193594	-11.600622	-31.092226	13.404475	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	bjd_code_14300.0	0.42821555	0.24691727	-0.055742292	0.91217339	0.082874252	53.451681	-5.421716	148.97278	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
