complex_osm_id	complex_name	n_buildings	n_with_height	total_flats	n_with_flats	built_year	max_levels	subdistrict	flats_complete	height_complete
656644026.0	강남효성해링턴코트아파트	11	0	0	0			세곡동	False	False
669388527.0	삼성동 풍림2차아파트	1	0	0	0			삼성동	False	False
689125593.0	래미안블레스티지아파트	23	23	1919	23	2019.0	35.0	개포동	True	True
694629392.0	래미안 루체하임 아파트	9	9	672	9	2018.0	25.0	일원동	True	True
694629393.0	래미안 루체하임 아파트	3	3	178	3	2018.0	23.0	일원동	True	True
701383740.0	현대아이파크아파트	3	3	160	3	1989.0	12.0	서초동	True	True
701384490.0	현대아파트	2	2	253	2	1989.0	15.0		True	True
701384491.0	서초동아이파크아파트	1	1	23	1	2003.0	12.0		True	True
703087401.0	디에이치포레센트아파트	4	4	184	4	2021.0	22.0		True	True
744908093.0	청학아파트	3	3	0	0		5.0	논현동	False	True
793534123.0	쌍용더플래티넘잠실오피스텔 건설현장	1	1	192	1	2022.0	16.0		True	True
795673882.0	잠실 NS파인트리 주상복합 신축공사	1	1	48	1	2021.0	16.0		True	True
798288394.0	우면한라아파트	7	7	252	7	1994.0	6.0		True	True
798957408.0	서초롯데캐슬리버티아파트	3	3	132	3	2005.0	12.0		True	True
800235369.0	청담자이아파트	5	5	708	5	2011.0	35.0	청담동	True	True
800246420.0	삼성오네뜨아파트	2	0	0	0			삼성동	False	False
800266228.0	삼부아파트	1	1	40	1	1998.0	9.0	삼성동	True	True
802072894.0	극동아파트	3	3	307	3	1987.0	15.0	풍납동	True	True
802072905.0	연지토성아파트	1	0	0	0			풍납동	False	False
802719255.0	수서신동아아파트	8	8	1163	8	1992.0	15.0	수서동	True	True
802719259.0	수서동익아파트	4	4	330	4	1993.0	15.0	수서동	True	True
803334072.0	대치래미안하이스턴아파트	5	5	354	5	1989.0	16.0	대치동	True	True
803489764.0	수서6단지아파트	7	7	1512	7	1992.0	15.0	수서동	True	True
803489793.0	수서삼익아파트	5	5	642	5	1992.0	15.0	수서동	True	True
803489794.0	수서한아름아파트	7	7	498	7	1993.0	15.0	수서동	True	True
803639607.0	대치현대아파트	8	8	630	8	1999.0	24.0	대치동	True	True
804474438.0	우림 아파트	2	2	84	2	2003.0	12.0	역삼동	True	True
804788112.0	쎄비앙아파트	2	0	0	0			역삼동	False	False
804841141.0	동현아파트	6	6	548	6	1986.0	14.0	논현동	True	True
804841179.0	논현두산위브2단지아파트	2	2	136	2	2004.0	14.0	논현동	True	True
804841182.0	논현두산위브1단지아파트	2	2	130	2	2004.0	14.0	논현동	True	True
804841184.0	논현라폴리움아파트	1	1	18	1	2012.0	10.0	논현동	True	True
854411303.0	한강극동아파트	9	9	895	9	1995.0	18.0	풍납동	True	True
856172782.0	현대리버빌2차아파트	4	4	384	4	1999.0	19.0	풍납동	True	True
856172783.0	현대리버빌1차아파트	7	7	557	7	1999.0	20.0	풍납동	True	True
856172784.0	풍납현대아파트	6	6	707	6	1995.0	20.0	풍납동	True	True
856523220.0	서울아산병원 패밀리타운아파트	2	0	0	0			풍납동	False	False
856829761.0	풍납미성아파트	4	4	259	4	1985.0	11.0	풍납동	True	True
856829768.0	신동아파밀리에아파트	1	1	135	1	1993.0	14.0	풍납동	True	True
857400204.0	토성현대아파트	1	1	123	1	1986.0	12.0	풍납동	True	True
857597488.0	신아아파트	1	1	19	1	1999.0	10.0	풍납동	True	True
863710113.0	강변현대아파트	1	1	104	1	1991.0	13.0	풍납동	True	True
867120831.0	장미2차아파트	10	10	1302	10	1979.0	14.0	신천동	True	True
878647277.0	힐탑트레져아파트	2	2	65	1	2003.0	12.0		False	True
