osm_id	floor_band	repr_floor	n_candidates	sun_hours_winter	view_block_pct	open_angle_mean
664687906	MID	15	290	1.08	90.3	60.9
664687906	HIGH	25	290	6.08	69.4	81.2
469271521	LOW	3	201	4.58	81.9	75.7
469271521	MID	7	201	4.83	52.8	80.5
469271521	HIGH	12	201	5.08	20.8	85.7
888051953	LOW	4	348	0.17	81.9	50.3
888051953	MID	12	348	0.17	80.6	60.9
888051953	HIGH	20	348	0.17	51.4	74.4
871677182	LOW	6	371	0.0	97.2	47.1
871677182	MID	17	371	0.33	69.4	60.8
871677182	HIGH	29	371	4.33	50.0	94.3
636207739	LOW	4	371	1.08	94.4	54.9
636207739	MID	11	371	4.17	87.5	66.4
636207739	HIGH	19	371	6.08	33.3	87.2
1479599474	LOW	2	130	6.08	31.9	125.0
1479599474	MID	6	130	6.08	26.4	126.9
1479599474	HIGH	10	130	6.08	22.2	129.2
701115066	LOW	2	78	6.08	45.8	120.0
701115066	MID	5	78	6.08	45.8	122.8
701115066	HIGH	9	78	6.08	33.3	127.4
769718625	LOW	6	273	3.17	79.2	61.6
769718625	MID	17	273	3.17	58.3	77.1
769718625	HIGH	28	273	3.17	19.4	100.8
903684723	LOW	3	239	2.83	83.3	68.4
903684723	MID	8	239	4.08	75.0	76.4
903684723	HIGH	13	239	6.08	25.0	85.5
678041623	LOW	2	209	1.5	68.1	58.4
678041623	MID	2	209	1.5	68.1	58.4
678041623	HIGH	4	209	5.92	63.9	80.3
1429251725	LOW	3	130	4.67	86.1	69.3
1429251725	MID	8	130	6.08	68.1	77.8
1429251725	HIGH	13	130	6.08	0.0	86.9
472445637	LOW	6	293	3.17	55.6	98.1
472445637	MID	16	293	3.17	45.8	106.9
472445637	HIGH	26	293	6.0	34.7	116.6
884138633	LOW	2	226	3.5	100.0	48.7
884138633	MID	1	226	1.25	100.0	45.0
884138633	HIGH	1	226	1.25	100.0	45.0
664687907	LOW	4	318	4.75	95.8	57.7
664687907	MID	12	318	4.92	88.9	65.5
664687907	HIGH	20	318	5.75	55.6	75.5
636223073	LOW	5	329	4.83	68.1	58.3
636223073	MID	14	329	4.83	44.4	68.4
636223073	HIGH	24	329	4.83	30.6	120.8
693480749	LOW	6	199	0.42	97.2	50.4
693480749	MID	18	199	2.33	94.4	65.9
693480749	HIGH	30	199	6.08	26.4	113.8
1067083841	LOW	3	193	6.08	43.1	98.3
1067083841	MID	8	193	6.08	34.7	102.8
1067083841	HIGH	13	193	6.08	0.0	112.9
801832680	LOW	2	224	4.83	54.2	74.6
801832680	MID	5	224	4.83	51.4	78.6
801832680	HIGH	9	224	5.58	44.4	85.1
663489464	LOW	3	239	4.83	62.5	81.5
663489464	MID	8	239	6.0	47.2	85.6
663489464	HIGH	13	239	6.08	11.1	89.8
475195388	LOW	3	224	2.67	66.7	80.4
475195388	MID	9	224	5.92	55.6	86.9
475195388	HIGH	15	224	6.08	4.2	95.4
693480755	LOW	5	219	1.42	94.4	48.8
693480755	MID	13	219	1.42	93.1	57.7
693480755	HIGH	22	219	2.08	80.6	73.2
1480619747	LOW	4	48	6.08	0.0	140.5
1480619747	MID	10	48	6.08	0.0	143.7
1480619747	HIGH	16	48	6.08	0.0	151.8
803489791	LOW	3	178	0.0	73.6	69.0
803489791	MID	8	178	3.42	65.3	76.8
803489791	HIGH	13	178	5.5	22.2	85.3
394541429	LOW	5	237	2.42	91.7	53.5
394541429	MID	13	237	2.42	87.5	65.4
394541429	HIGH	22	237	6.08	41.7	97.6
472445650	LOW	5	300	2.0	86.1	54.0
472445650	MID	14	300	2.0	73.6	63.0
472445650	HIGH	23	300	2.0	45.8	82.6
803639606	LOW	4	307	3.5	65.3	62.1
803639606	MID	12	307	6.08	59.7	74.5
803639606	HIGH	20	307	6.08	5.6	117.4
800212820	LOW	2	234	1.92	55.6	80.9
800212820	MID	6	234	2.5	34.7	85.2
800212820	HIGH	10	234	5.33	31.9	88.8
693480746	LOW	6	186	0.0	97.2	50.7
693480746	MID	18	186	2.08	88.9	63.0
693480746	HIGH	30	186	5.33	41.7	97.0
561457382	LOW	3	263	2.92	75.0	52.8
561457382	MID	7	263	2.92	75.0	58.7
561457382	HIGH	12	263	2.92	75.0	71.3
394541448	LOW	4	277	1.25	93.1	57.5
394541448	MID	12	277	1.25	81.9	66.5
394541448	HIGH	20	277	4.33	54.2	80.1
394541411	LOW	3	217	0.42	70.8	77.5
394541411	MID	9	217	3.17	69.4	83.6
394541411	HIGH	15	217	5.75	69.4	91.9
1235155502	LOW	2	137	6.08	37.5	86.5
1235155502	MID	5	137	6.08	36.1	89.3
1235155502	HIGH	9	137	6.08	26.4	91.3
1368621275	LOW	4	267	3.67	93.1	57.1
1368621275	MID	11	267	4.25	88.9	68.4
1368621275	HIGH	18	267	6.08	29.2	86.7
804788013	LOW	5	266	3.33	77.8	69.1
804788013	MID	13	266	4.17	43.1	87.9
804788013	HIGH	21	266	6.08	25.0	105.4
1514903839	LOW	4	230	6.08	56.9	82.5
1514903839	MID	12	230	6.08	54.2	91.7
1514903839	HIGH	20	230	6.08	45.8	103.5
1455422553	LOW	3	158	2.33	91.7	63.2
1455422553	MID	8	158	4.5	91.7	72.9
1455422553	HIGH	13	158	6.08	30.6	84.5
972154285	LOW	2	103	6.08	58.3	72.2
972154285	MID	3	103	6.08	58.3	73.7
972154285	HIGH	5	103	6.08	48.6	77.0
714714375	LOW	5	265	0.33	88.9	56.3
714714375	MID	15	265	2.25	86.1	69.1
714714375	HIGH	25	265	6.08	29.2	91.2
606583570	LOW	4	366	1.58	68.1	76.0
606583570	MID	12	366	3.83	63.9	84.4
606583570	HIGH	20	366	6.08	25.0	112.2
1044253257	LOW	3	351	6.08	36.1	87.6
1044253257	MID	8	351	6.08	29.2	90.6
1044253257	HIGH	13	351	6.08	19.4	97.5
182695694	LOW	3	376	4.75	77.8	71.2
182695694	MID	8	376	6.08	66.7	77.3
182695694	HIGH	13	376	6.08	13.9	83.8
691174962	LOW	6	166	1.33	100.0	52.5
691174962	MID	18	166	2.92	65.3	76.7
691174962	HIGH	30	166	6.08	27.8	118.9
1079940847	LOW	3	173	2.58	66.7	82.9
1079940847	MID	8	173	3.42	59.7	89.3
1079940847	HIGH	13	173	6.08	48.6	96.9
470093127	LOW	3	244	0.0	97.2	63.7
470093127	MID	8	244	4.67	87.5	73.3
470093127	HIGH	13	244	6.08	6.9	83.6
1427692214	LOW	5	306	6.08	47.2	88.5
1427692214	MID	13	306	6.08	27.8	98.9
1427692214	HIGH	21	306	6.08	9.7	122.5
677804236	LOW	2	236	5.17	25.0	87.7
677804236	MID	3	236	6.08	16.7	90.7
677804236	HIGH	5	236	6.08	6.9	104.2
1227326457	LOW	3	120	2.0	84.7	62.3
1227326457	MID	9	120	2.0	79.2	68.3
1227326457	HIGH	15	120	3.5	68.1	75.9
899359899	LOW	3	278	2.75	70.8	71.5
899359899	MID	8	278	4.92	63.9	80.6
899359899	HIGH	13	278	6.08	13.9	88.0
1479035281	LOW	4	101	5.08	73.6	83.1
1479035281	MID	12	101	5.92	69.4	89.3
1479035281	HIGH	20	101	6.08	36.1	99.6
684421222	LOW	3	115	0.42	69.4	92.4
684421222	MID	8	115	4.33	68.1	100.1
684421222	HIGH	13	115	6.08	0.0	109.1
899359898	LOW	3	288	0.0	94.4	59.9
899359898	MID	8	288	3.92	88.9	70.6
899359898	HIGH	13	288	5.83	13.9	82.0
701115084	LOW	3	86	2.58	56.9	92.3
701115084	MID	9	86	3.92	56.9	111.0
701115084	HIGH	15	86	5.42	15.3	119.4
802719253	LOW	3	136	5.58	56.9	99.1
802719253	MID	8	136	5.58	52.8	104.7
802719253	HIGH	13	136	6.08	5.6	111.1
775687307	LOW	3	301	3.92	77.8	71.7
775687307	MID	7	301	5.5	69.4	77.9
775687307	HIGH	12	301	6.08	0.0	86.4
900203760	LOW	3	279	3.67	70.8	74.5
