osm_id	amenity	name	lon	lat
12074786534	bar	쿠파	127.0384922	37.4826919
12074787757	bar	재원	127.0397861	37.5035696
12074795576	bar	레니 LP MUSIC BAR	127.043368	37.4802746
12074795578	bar	둥지포차	127.0446881	37.4760748
12076478936	bar	샴푸	127.0251444	37.4710762
12076551041	bar	파운드로컬	127.016915	37.515505
12076553108	bar	어반 위스키	127.021196	37.5037947
12076553141	bar	프로젝트 베이스(PROJECT BASE)	126.998982	37.499083
12076553151	bar	베스퍼	126.997878	37.498805
12076553196	bar	교대 원포차	127.020683	37.495562
12076553200	bar	이자카야나무(삼성타운)	127.027826	37.495407
12076553252	bar	H(에이치)	127.015301	37.493128
12076553285	bar	목포해물집	126.988765	37.491994
12076553295	bar	오늘, 와인한잔 교대점	127.013082	37.491686
12076553302	bar	느린마을양조장 교대점	127.011556	37.491357
12076553348	bar	부라보맥주 서초교대점	127.014088	37.488453
12076553355	bar	발롱	126.99235	37.488079
12076553419	bar	백화네부엌	127.039952	37.484159
12076553465	bar	묵향	126.998952	37.480034
12076553503	bar	Bubble Bubble (버블버블)	126.98525	37.476826
12079273033	bar	신라스테이 서초 Loung(라운지)	127.0301126	37.4894471
12079273585	bar	L2(엘투)	126.998213	37.4988907
12079291499	bar	펀비어킹 남부터미널점	127.0138025	37.4859984
12079328877	bar	코트룸	127.0115882	37.4913629
12079500448	bar	모이세 왕노가리호프	126.9782538	37.4762369
12192161853	bar	서울다이닝	127.0294393	37.5190906
12192162101	pub	불독펍	127.0259744	37.5036297
12192162760	bar	잭 & 부르르	127.0204794	37.514311
12192168256	bar	교촌치킨 삼성1호	127.0492024	37.511929
12192181140	pub	어반브루(URBAN BREW)	126.9802864	37.4842847
12192224797	bar	아사카	127.0285901	37.4947559
12192224972	bar	술먹는 하시무	127.0019616	37.5056789
12378208512	bar	꽃주막	127.0243374	37.5069952
12468525401	bar	ZooSinDang Gangnam Cocktail Bar	127.0277638	37.4999066
12468649601	pub	Kathy Pub	127.0255388	37.503937
12486786201	bar	포체어스 사당	126.9790635	37.4780429
12495708206	bar	장생건강원	127.0243916	37.5092881
12815092666	bar	MELT	126.9847041	37.5070631
13103512921	pub	비어시티	127.0529087	37.5126681
13439491202	bar	바다를훔친언니	127.0203677	37.5176034
13959816187	bar	미드나잇레코드	126.9779737	37.4780984
13987028908	bar		127.0357024	37.5134811
13987029005	bar		127.0309575	37.5147865
4700492283	bar	고니지니	127.1506275	37.4740772
5705167321	bar		127.1441626	37.4939086
5785435665	bar	서울스카이 프리미엄 라운지	127.1026856	37.5125233
6378428986	bar		127.1103178	37.5145958
6859206160	pub	Kathy	127.0967907	37.5028149
8244229769	pub	고씨네 국수	127.0689774	37.4266663
