osm_id	name	isced_level_raw	is_elementary	is_middle	is_high	level_source	lon	lat
419366323	성덕고등학교	3	False	False	True	isced_tag	127.1421862	37.5499017
419366845			False	False	False	none	127.1510985	37.5557929
419366848	서울대명초등학교		True	False	False	name	127.1532965	37.5471193
468613657			False	False	False	none	127.1468351	37.5570762
469010631	장안초등학교	1	True	False	False	isced_tag	127.0721742	37.5501334
471318855	가운중학교	2	False	True	False	isced_tag	127.1567093	37.5993542
471318965	가운초등학교	1	True	False	False	isced_tag	127.1560626	37.6005112
471319272	가운고등학교	3	False	False	True	isced_tag	127.1607091	37.599223
471507748	장자초등학교	1	True	False	False	isced_tag	127.1353382	37.5867539
471525342	구리여자중고등학교	2;3	False	True	True	isced_tag	127.1514029	37.5913021
471525343	수택초등학교	1	True	False	False	isced_tag	127.1525731	37.5917511
471527470	수택고등학교	3	False	False	True	isced_tag	127.1541595	37.5945493
471527472	토평초등학교	1	True	False	False	isced_tag	127.1464709	37.5875099
471531828	교문초등학교	1	True	False	False	isced_tag	127.1336889	37.5979054
471735730	풍성초등학교	1	True	False	False	isced_tag	127.1133121	37.526036
471736886	토성초등학교	1	True	False	False	isced_tag	127.1151286	37.5318245
473267061	서울성수초등학교	1	True	False	False	isced_tag	127.0634405	37.5442561
526087122	광남초등학교	1	True	False	False	isced_tag	127.100988	37.5407967
544125735	백문초등학교	1	True	False	False	isced_tag	127.1327134	37.5883043
544125986	교문중학교	2	False	True	False	isced_tag	127.1339441	37.5883205
545769415	구리초등학교	1	True	False	False	isced_tag	127.1477816	37.6008583
548930503	서울한천초등학교	1	True	False	False	isced_tag	127.0688725	37.6201581
562624050	장자중학교	2	False	True	False	isced_tag	127.1353519	37.5857135
562625265	토평중학교	2	False	True	False	isced_tag	127.1444645	37.5898724
562625266	토평고등학교	3	False	False	True	isced_tag	127.1434532	37.5892624
562677007	부양초등학교	1	True	False	False	isced_tag	127.1421184	37.5902239
562677012	인창초등학교	1	True	False	False	isced_tag	127.1318707	37.6046999
563019870	도농초등학교	1	True	False	False	isced_tag	127.1573725	37.6121301
563019872	미금중학교	2	False	True	False	isced_tag	127.1589048	37.6151831
563019873	도농고등학교	3	False	False	True	isced_tag	127.1509606	37.6111962
563019874	미금초등학교	1	True	False	False	isced_tag	127.1544675	37.6088478
563019875	동인초등학교	1	True	False	False	isced_tag	127.1338334	37.6106557
563019876	동구중학교	2	False	True	False	isced_tag	127.1346818	37.6122648
563019877	인창중고등학교	2;3	False	True	True	isced_tag	127.1468087	37.6058
563019878	구지초등학교	1	True	False	False	isced_tag	127.1423152	37.6069521
563019879	동구초등학교	1	True	False	False	isced_tag	127.141711	37.6089068
563019880	건원초등학교	1	True	False	False	isced_tag	127.1356208	37.6072895
563019881	서울삼육중고등학교	2;3	False	True	True	isced_tag	127.1257274	37.596025
565937899	다산가람초등학교	1	True	False	False	isced_tag	127.1494828	37.6195197
569583452	한영고등학교	3	False	False	True	isced_tag	127.1579929	37.5485989
569584126	강일중학교	2	False	True	False	isced_tag	127.1382868	37.5552313
579567802	상봉중학교	2	False	True	False	isced_tag	127.0902703	37.6013053
597366702	다산새봄초등학교	1	True	False	False	isced_tag	127.1590144	37.6198869
609827486	둔촌중학교	2	False	True	False	isced_tag	127.1462434	37.5303088
609827487	선린초등학교	1	True	False	False	isced_tag	127.1457697	37.5292669
695958852	서울묘곡초등학교	1	True	False	False	isced_tag	127.1533364	37.5583408
781727746	서울송원초등학교	1	True	False	False	isced_tag	127.0694387	37.5540635
789222930	서울구의초등학교	1	True	False	False	isced_tag	127.0803505	37.5428171
789222933	서울양남초등학교	1	True	False	False	isced_tag	127.0897571	37.5307554
790243383	서울천동초등학교	1	True	False	False	isced_tag	127.1375836	37.5405699
790304287			False	False	False	none	127.1283625	37.5291825
790304288	서울신명초등학교	1	True	False	False	isced_tag	127.1496294	37.5410023
790615432	서울선사초등학교	1	True	False	False	isced_tag	127.1288063	37.5560608
790615437	한산중학교	2	False	True	False	isced_tag	127.1401236	37.5284335
794606927	서울이문초등학교	1	True	False	False	isced_tag	127.0643362	37.6023042
799549195	광문고등학교	3	False	False	True	isced_tag	127.1581702	37.559995
799549199	서울컨벤션고등학교	3	False	False	True	isced_tag	127.1579839	37.5593019
799549200	신암중학교	2	False	True	False	isced_tag	127.1330688	37.5556421
799549201	선사고등학교	3	False	False	True	isced_tag	127.1358065	37.5561533
843403999	서울새솔초등학교	1	True	False	False	isced_tag	127.111515	37.6179476
852044932	용곡중학교	2	False	True	False	isced_tag	127.0889698	37.5657746
914034973	다산새봄중학교	2	False	True	False	isced_tag	127.1589876	37.6187925
974497880	광남중학교	2	False	True	False	isced_tag	127.101681	37.540263
974497881	광남고등학교	3	False	False	True	isced_tag	127.1021115	37.5412166
1018205615	동원중학교	2	False	True	False	isced_tag	127.1084951	37.6036772
1018210392	송곡여중, 송곡여고, 송곡관광고		False	False	False	name	127.1047088	37.6066889
1024328328	봉화중학교	2	False	True	False	isced_tag	127.1038946	37.5965779
1035319440	IYF 링컨학교		False	False	False	name	127.1050393	37.6107624
1038218125	서울양원숲초등학교	1	True	False	False	isced_tag	127.1052472	37.6091102
1053062254	서울면북초등학교	1	True	False	False	isced_tag	127.1033405	37.5943543
1068984798	도림초등학교	1	True	False	False	isced_tag	127.1303186	37.5934577
1079180617	면목고등학교	3	False	False	True	isced_tag	127.0965035	37.5844588
1079180631	중화중학교	2	False	True	False	isced_tag	127.0952026	37.5842958
1079180644	면목중학교	2	False	True	False	isced_tag	127.0960331	37.5828623
1079180650	면중초등학교	1	True	False	False	isced_tag	127.0965428	37.5821223
1082129606	전동중학교	2	False	True	False	isced_tag	127.0711546	37.5854869
1082511334	휘경여중고		False	False	False	name	127.0670593	37.5829837
1108373978	용마중학교	2	False	True	False	isced_tag	127.0860658	37.5741551
1175235863	둔촌고등학교	3	False	False	True	isced_tag	127.1442101	37.5310406
1473893429	서울면남초등학교	1	True	False	False	isced_tag	127.0882464	37.5771745
368621461	서울강동고등학교	3	False	False	True	isced_tag	127.1609223	37.5500546
11327757390	동화고등학교	3	False	False	True	isced_tag	127.1630995	37.6075833
11327757391	동화중학교	2	False	True	False	isced_tag	127.161991	37.6067397
13294726079	서울강빛초등학교		True	False	False	name	127.1712942	37.5744104
13294726080	서울강빛중학교		False	True	False	name	127.1718365	37.5745608
419370107	서울고덕초등학교	1	True	False	False	isced_tag	127.1665939	37.5607447
469865037	미사강변고등학교	3	False	False	True	isced_tag	127.1839028	37.577641
469936687	미사강변중학교	2	False	True	False	isced_tag	127.1853694	37.5777813
469936692	미사강변초등학교	1	True	False	False	isced_tag	127.185955	37.5757823
470080335	은가람중학교	2	False	True	False	isced_tag	127.1772102	37.5758194
470090217	망월초등학교	1	True	False	False	isced_tag	127.1806798	37.570765
473220285	강일초등학교	1	True	False	False	isced_tag	127.1772558	37.5650434
528938627	강동고등학교	3	False	False	True	isced_tag	127.1611262	37.5502509
537687305	하남고등학교	3	False	False	True	isced_tag	127.1858685	37.5606426
563019867	동화중고등학교	2;3	False	True	True	isced_tag	127.1625023	37.6072863
563019868	남양주양정초등학교	1	True	False	False	isced_tag	127.1661264	37.6087444
563019869	도농중학교	2	False	True	False	isced_tag	127.1636332	37.6106973
563019871	금교초등학교	1	True	False	False	isced_tag	127.161546	37.6140627
607596359	상일초등학교	1	True	False	False	isced_tag	127.1723711	37.5470973
668023923	강일고등학교	3	False	False	True	isced_tag	127.1777924	37.5637668
668023924	강동중학교	2	False	True	False	isced_tag	127.177941	37.5694983
668066099	윤슬초등학교	1	True	False	False	isced_tag	127.1827368	37.5634884
668066101	윤슬중학교	2	False	True	False	isced_tag	127.1815813	37.5632558
668066104	서울강솔초등학교	1	True	False	False	isced_tag	127.1806245	37.5620808
668066108	한홀초등학교	1	True	False	False	isced_tag	127.1851262	37.5562704
768416303	서울고일초등학교	1	True	False	False	isced_tag	127.1688961	37.5520212
769247204	상일미디어고등학교	3	False	False	True	isced_tag	127.1697993	37.5483396
769247205	상일여자중고등학교	2;3	False	True	True	isced_tag	127.1700589	37.5491723
770249646	강명초등학교	1	True	False	False	isced_tag	127.1734237	37.5545038
770250509	강명중학교	2	False	True	False	isced_tag	127.1750264	37.5554265
790243403	서울강덕초등학교	1	True	False	False	isced_tag	127.1608983	37.5588694
806079661	다산한강중학교	2	False	True	False	isced_tag	127.1754733	37.5992084
806079664	다산한강초등학교	1	True	False	False	isced_tag	127.1724222	37.5993348
850678265	다산별빛초등학교	1	True	False	False	isced_tag	127.1654387	37.6170456
856788690	고현초등학교	1	True	False	False	isced_tag	127.1658445	37.554032
901455441	서울강빛초중학교	1	True	True	False	isced_tag	127.1715527	37.5744852
901859701	고덕중학교	2	False	True	False	isced_tag	127.1612977	37.5599881
905999145			False	False	False	none	127.1723941	37.6005344
1157698866	은가람중학교 중앙 데크		False	True	False	name	127.1773994	37.5761174
4641177866	풍동고 운동장		False	False	False	name	126.7957364	37.6715871
7886377133	고양우리학교		False	False	False	name	126.8469577	37.6233697
9905719517	음악원		False	False	False	name	126.7618288	37.6701763
14125179916	현산중학교		False	True	False	name	126.7736287	37.6912973
124162591	화정초등학교	1	True	False	False	isced_tag	126.8259438	37.6337422
167174126	화정중학교	2	False	True	False	isced_tag	126.8262658	37.6347148
452702680	일산중학교	2	False	True	False	isced_tag	126.7684599	37.6886605
468364773	화정고등학교	3	False	False	True	isced_tag	126.8272034	37.6359662
468593219	경기영상과학고등학교	3	False	False	True	isced_tag	126.7619865	37.6653427
468685511	지도초등학교	1	True	False	False	isced_tag	126.8338194	37.6280419
468707623	화중초등학교	1	True	False	False	isced_tag	126.8359091	37.640624
468707624	백양고등학교	3	False	False	True	isced_tag	126.8383491	37.6292876
468709061	문촌초등학교	1	True	False	False	isced_tag	126.7602557	37.6731666
468974814	원중초등학교	1	True	False	False	isced_tag	126.8144633	37.6749696
468974868	일산양일중학교	2	False	True	False	isced_tag	126.8153431	37.6766774
468975436	저현고등학교	3	False	False	True	isced_tag	126.8159493	37.6775714
468977967	고양국제고등학교	3	False	False	True	isced_tag	126.808756	37.6840571
468979010	화수초등학교	1	True	False	False	isced_tag	126.8326864	37.6450911
468979019	용정초등학교	1	True	False	False	isced_tag	126.8294781	37.6403228
468979026	지도중학교	2	False	True	False	isced_tag	126.8336437	37.6271559
468996370	풍산중학교	2	False	True	False	isced_tag	126.7989556	37.6646095
468998980	성신초등학교	1	True	False	False	isced_tag	126.8402091	37.6265595
468998992	행신초등학교	1	True	False	False	isced_tag	126.836857	37.6216996
469000539	화수고등학교	3	False	False	True	isced_tag	126.8361172	37.6447527
469000542	화수중학교	2	False	True	False	isced_tag	126.8348257	37.644897
469389094	서정고등학교	3	False	False	True	isced_tag	126.8493348	37.6209834
469422412	풍동중학교	2	False	True	False	isced_tag	126.7996712	37.670597
469422413	풍동고등학교	3	False	False	True	isced_tag	126.7954745	37.6716603
469422414	다솜초등학교	1	True	False	False	isced_tag	126.796628	37.672359
469424508	풍산초등학교	1	True	False	False	isced_tag	126.7967722	37.6667621
469430935	풍동초등학교	1	True	False	False	isced_tag	126.8025646	37.6693444
469430937	세원고등학교	3	False	False	True	isced_tag	126.8030633	37.6709597
469656017	오마중학교	2	False	True	False	isced_tag	126.7613862	37.6773711
469899854	강선초등학교	1	True	False	False	isced_tag	126.7649631	37.6710528
469918810	신능초등학교	1	True	False	False	isced_tag	126.8312153	37.6237995
469918892	능곡고등학교	3	False	False	True	isced_tag	126.8255651	37.6235974
469918893	능곡중학교	2	False	True	False	isced_tag	126.8263958	37.622579
