aptSeq	floor_band	n_obs	repr_floor	obs_height	winter_sunlight_hours	winter_continuous_hours	winter_total_hours_8_16	sun_hours_spring	open_span_max	view_block_pct	open_angle_mean	assign_confidence
11110-2175	MID	1	4.0	9.9	6.08	6.08	8.0	8.08	360.0	0.0	135.5	NAME
11110-2203	HIGH	5	12.0	32.3	4.5	4.5	5.5	8.08	175.0	51.4	99.1	NAME
11110-2203	LOW	5	3.0	7.1	1.42	1.25	2.42	4.67	135.0	54.2	84.7	NAME
11110-2203	MID	5	7.0	18.3	3.17	3.17	4.17	5.75	165.0	52.8	91.8	NAME
11110-2204	HIGH	1	11.0	29.5	6.08	6.08	7.42	8.08	280.0	22.2	94.6	NAME
11110-2204	LOW	1	3.0	7.1	6.08	6.08	7.08	8.08	210.0	29.2	88.2	NAME
11110-2204	MID	1	7.0	18.3	6.08	6.08	7.33	8.08	210.0	26.4	91.9	NAME
11110-2212	HIGH	17	14.0	37.9	6.08	6.08	7.17	8.08	235.0	22.2	95.3	NAME
11110-2212	LOW	17	3.0	7.1	2.33	1.25	3.08	5.5	85.0	70.8	76.9	NAME
11110-2212	MID	17	8.0	21.1	3.83	3.67	4.5	7.25	85.0	65.3	85.3	NAME
11110-2224	HIGH	6	10.0	26.7	6.08	6.08	7.665	8.08	185.0	18.049999999999997	83.4	NAME
11110-2224	LOW	6	2.0	4.3	3.625	2.915	4.25	7.5	50.0	77.8	68.5	NAME
11110-2224	MID	6	6.0	15.5	5.335	5.295	6.125	7.955	65.0	74.3	75.5	NAME
11110-2234	HIGH	6	11.0	29.5	6.08	6.08	7.29	7.915	225.0	27.1	86.65	MIXED
11110-2234	LOW	6	3.0	7.1	3.21	3.21	3.25	6.665	95.0	54.15	76.35	MIXED
11110-2234	MID	6	7.0	18.3	4.585	4.21	4.75	7.705	152.5	39.6	81.45	MIXED
11110-2246	HIGH	6	5.0	12.7	5.875	5.875	7.375	8.08	292.5	18.75	152.1	NAME
11110-2246	LOW	6	2.0	4.3	5.83	5.83	7.33	8.04	275.0	22.200000000000003	150.5	NAME
11110-2246	MID	6	3.0	7.1	5.83	5.83	7.33	8.08	275.0	22.200000000000003	151.0	NAME
11110-2261	HIGH	1	5.0	12.7	6.08	6.08	7.75	8.0	185.0	31.9	146.0	LOW
11110-2261	LOW	1	2.0	4.3	4.83	2.92	6.08	7.58	185.0	31.9	144.2	LOW
11110-2261	MID	1	3.0	7.1	4.83	2.92	6.25	7.67	185.0	31.9	144.8	LOW
11110-2291	HIGH	1	13.0	35.1	6.08	6.08	8.08	7.83	190.0	29.2	95.9	LOW
11110-2291	LOW	1	3.0	7.1	6.08	6.08	7.92	7.83	75.0	52.8	83.0	LOW
11110-2291	MID	1	8.0	21.1	6.08	6.08	8.08	7.83	75.0	44.4	87.8	LOW
11110-2292	HIGH	1	5.0	12.7	6.08	6.08	8.08	8.08	360.0	0.0	169.8	LOW
11110-2292	LOW	1	2.0	4.3	6.08	6.08	8.08	8.08	360.0	0.0	169.7	LOW
11110-2292	MID	1	3.0	7.1	6.08	6.08	8.08	8.08	360.0	0.0	169.7	LOW
11110-2322	HIGH	1	9.0	23.9	6.08	6.08	6.33	7.5	100.0	65.3	72.5	LOW
11110-2322	LOW	1	2.0	4.3	1.25	1.25	1.25	5.58	70.0	72.2	60.7	LOW
11110-2322	MID	1	5.0	12.7	1.83	1.5	1.92	7.42	70.0	72.2	65.0	LOW
11110-2334	HIGH	1	11.0	29.5	4.58	4.58	5.25	8.08	70.0	75.0	66.6	LOW
11110-2334	LOW	1	3.0	7.1	1.5	1.5	1.5	3.0	15.0	91.7	48.7	LOW
11110-2334	MID	1	7.0	18.3	2.92	2.92	2.92	6.67	45.0	83.3	57.6	LOW
11110-2336	HIGH	1	13.0	35.1	0.0	0.0	0.0	3.58	15.0	95.8	53.6	LOW
11110-2336	LOW	1	3.0	7.1	0.0	0.0	0.0	0.17	0.0	100.0	29.6	LOW
11110-2336	MID	1	8.0	21.1	0.0	0.0	0.0	1.83	0.0	100.0	38.2	LOW
11110-2339	HIGH	1	14.0	37.9	3.83	3.83	4.83	7.42	75.0	61.1	81.7	LOW
11110-2339	LOW	1	3.0	7.1	3.5	3.5	4.5	5.33	25.0	87.5	57.5	LOW
11110-2339	MID	1	8.0	21.1	3.5	3.5	4.5	5.83	25.0	86.1	65.3	LOW
11110-2340	HIGH	1	12.0	32.3	5.5	4.0	7.0	8.08	85.0	51.4	75.4	LOW
11110-2340	LOW	1	3.0	7.1	3.75	3.17	4.42	6.5	40.0	84.7	58.3	LOW
11110-2340	MID	1	7.0	18.3	3.92	3.17	5.08	7.92	40.0	79.2	65.5	LOW
11110-2343	HIGH	1	14.0	37.9	0.17	0.17	0.42	5.0	10.0	97.2	51.5	LOW
11110-2343	LOW	1	3.0	7.1	0.0	0.0	0.0	0.0	0.0	100.0	22.6	LOW
11110-2343	MID	1	8.0	21.1	0.0	0.0	0.0	0.25	0.0	100.0	30.6	LOW
11110-2344	HIGH	1	13.0	35.1	0.33	0.33	0.33	5.08	70.0	80.6	54.4	LOW
11110-2344	LOW	1	3.0	7.1	0.0	0.0	0.0	1.92	25.0	93.1	34.9	LOW
11110-2344	MID	1	8.0	21.1	0.0	0.0	0.0	3.25	45.0	87.5	42.0	LOW
11110-2348	HIGH	1	13.0	35.1	1.17	1.17	1.17	8.0	75.0	77.8	61.9	LOW
11110-2348	LOW	1	3.0	7.1	0.42	0.42	0.42	2.08	30.0	90.3	39.8	LOW
11110-2348	MID	1	8.0	21.1	0.42	0.42	0.42	3.17	50.0	86.1	48.0	LOW
11110-2359	HIGH	1	11.0	29.5	5.17	5.17	5.42	6.17	55.0	62.5	89.0	LOW
11110-2359	LOW	1	3.0	7.1	3.67	3.67	3.67	5.5	45.0	70.8	79.1	LOW
11110-2359	MID	1	7.0	18.3	4.08	4.08	4.08	5.5	55.0	62.5	83.7	LOW
11110-2366	HIGH	1	15.0	40.7	0.0	0.0	0.0	5.5	45.0	86.1	59.5	LOW
11110-2366	LOW	1	3.0	7.1	0.0	0.0	0.0	0.0	0.0	100.0	25.2	LOW
11110-2366	MID	1	9.0	23.9	0.0	0.0	0.0	0.0	0.0	100.0	35.5	LOW
11110-2368	HIGH	1	15.0	40.7	6.08	6.08	8.0	8.0	160.0	30.6	92.1	LOW
11110-2368	LOW	1	3.0	7.1	6.08	6.08	7.5	7.33	80.0	50.0	73.3	LOW
11110-2368	MID	1	9.0	23.9	6.08	6.08	7.83	7.83	85.0	36.1	79.4	LOW
11110-2411	HIGH	1	12.0	32.3	4.17	4.17	4.92	6.0	60.0	55.6	73.3	LOW
11110-2411	LOW	1	3.0	7.1	3.25	1.83	3.33	4.75	45.0	73.6	61.3	LOW
11110-2411	MID	1	7.0	18.3	4.17	4.17	4.75	4.92	55.0	59.7	65.8	LOW
11110-2417	HIGH	5	13.0	35.1	4.25	4.25	4.25	7.83	100.0	68.1	85.6	NAME
11110-2417	LOW	5	3.0	7.1	0.58	0.33	0.67	3.42	45.0	86.1	65.1	NAME
11110-2417	MID	5	8.0	21.1	1.92	1.92	1.92	5.5	80.0	75.0	73.9	NAME
11110-2440	HIGH	1	12.0	32.3	6.08	6.08	8.08	8.08	300.0	13.9	91.0	LOW
11110-2440	LOW	1	3.0	7.1	4.83	4.83	5.75	7.58	70.0	58.3	80.6	LOW
11110-2440	MID	1	7.0	18.3	5.75	5.75	6.92	7.83	85.0	44.4	84.9	LOW
11110-2445	HIGH	14	18.0	49.1	5.58	5.58	6.375	8.08	152.5	36.1	92.65	NAME
11110-2445	LOW	14	4.0	9.9	3.33	2.705	3.33	6.04	92.5	66.0	64.35	NAME
11110-2445	MID	14	11.0	29.5	3.83	3.125	4.25	7.46	122.5	59.7	72.75	NAME
11110-2446	HIGH	8	14.0	37.9	4.54	4.54	5.125	8.08	137.5	36.099999999999994	86.35	NAME
11110-2446	LOW	8	3.0	7.1	2.665	2.04	3.415	5.5	100.0	60.4	73.15	NAME
11110-2446	MID	8	8.0	21.1	2.71	2.04	3.875	7.125	105.0	55.6	78.4	NAME
11110-2450	HIGH	1	8.0	21.1	5.33	5.33	6.33	8.08	130.0	43.1	82.1	LOW
11110-2450	LOW	1	2.0	4.3	5.33	5.33	5.58	8.08	85.0	63.9	77.9	LOW
11110-2450	MID	1	5.0	12.7	5.33	5.33	6.0	8.08	130.0	52.8	80.0	LOW
11110-2464	HIGH	3	16.0	43.5	4.58	4.58	5.75	8.08	165.0	13.9	107.2	NAME
11110-2464	LOW	3	4.0	9.9	4.58	4.58	5.5	5.75	130.0	51.4	74.7	NAME
11110-2464	MID	3	10.0	26.7	4.58	4.58	5.58	7.0	165.0	30.6	88.6	NAME
11110-25	HIGH	3	16.0	43.5	6.08	6.08	7.75	8.08	310.0	13.9	147.7	HIGH
11110-25	LOW	3	4.0	9.9	4.92	4.92	5.92	6.58	150.0	41.7	122.8	HIGH
11110-25	MID	3	10.0	26.7	5.58	5.58	6.58	8.08	270.0	19.4	141.7	HIGH
11110-2502	HIGH	1	5.0	12.7	6.08	6.08	8.08	8.08	360.0	0.0	165.9	LOW
11110-2502	LOW	1	2.0	4.3	6.08	6.08	8.08	8.08	360.0	0.0	165.8	LOW
11110-2502	MID	1	3.0	7.1	6.08	6.08	8.08	8.08	360.0	0.0	165.8	LOW
11110-2519	HIGH	4	14.0	37.9	5.33	5.33	6.375	8.08	172.5	36.1	94.9	NAME
11110-2519	LOW	4	3.0	7.1	4.17	4.17	5.17	6.165	82.5	56.95	81.95	NAME
11110-2519	MID	4	8.0	21.1	4.17	4.17	5.17	6.415	95.0	47.9	86.5	NAME
11110-2539	HIGH	1	15.0	40.7	3.5	2.92	5.08	8.08	75.0	50.0	75.1	LOW
11110-2539	LOW	1	3.0	7.1	2.92	2.92	4.08	7.83	75.0	75.0	57.1	LOW
11110-2539	MID	1	9.0	23.9	2.92	2.92	4.25	8.08	75.0	69.4	64.8	LOW
11110-2561	HIGH	2	13.0	35.1	6.08	6.08	7.915	8.08	335.0	6.25	101.75	MIXED
11110-2561	LOW	2	3.0	7.1	5.915	5.915	7.085	7.29	80.0	46.55	90.0	MIXED
11110-2561	MID	2	8.0	21.1	6.04	6.04	7.21	8.0	102.5	27.8	94.4	MIXED
11110-2584	HIGH	1	13.0	35.1	6.08	6.08	8.08	8.08	330.0	8.3	104.3	LOW
11110-2584	LOW	1	3.0	7.1	6.08	6.08	7.42	7.83	115.0	30.6	95.5	LOW
11110-2584	MID	1	8.0	21.1	6.08	6.08	7.75	8.08	160.0	19.4	99.9	LOW
11110-26	HIGH	1	7.0	18.3	5.92	5.92	7.25	7.83	245.0	22.2	124.2	HIGH
11110-26	LOW	1	2.0	4.3	3.58	1.92	4.92	7.83	235.0	30.6	119.0	HIGH
11110-26	MID	1	4.0	9.9	5.58	5.58	6.92	7.83	235.0	30.6	120.5	HIGH
11110-2663	HIGH	2	15.5	42.099999999999994	6.08	6.08	7.665	8.08	227.5	14.55	125.1	MIXED
11110-2663	LOW	2	3.5	8.5	4.705	4.125	5.165	6.625	105.0	68.05	85.44999999999999	MIXED
11110-2663	MID	2	9.0	23.9	5.29	4.705	5.96	7.42	122.5	53.5	93.45	MIXED
11110-2703	HIGH	1	13.0	35.1	5.83	5.25	7.58	7.58	90.0	61.1	76.0	LOW
11110-2703	LOW	1	3.0	7.1	3.5	2.83	5.17	6.67	35.0	83.3	63.8	LOW
11110-2703	MID	1	8.0	21.1	5.17	4.83	6.83	7.08	65.0	76.4	69.3	LOW
11110-2704	HIGH	1	11.0	29.5	6.08	6.08	7.75	6.67	190.0	15.3	86.5	LOW
11110-2704	LOW	1	3.0	7.1	6.08	6.08	7.67	6.17	85.0	43.1	82.5	LOW
11110-2704	MID	1	7.0	18.3	6.08	6.08	7.75	6.42	115.0	31.9	84.6	LOW
11110-2708	HIGH	1	14.0	37.9	0.17	0.17	1.17	1.83	65.0	81.9	55.4	LOW
11110-2708	LOW	1	3.0	7.1	0.08	0.08	0.42	1.83	35.0	90.3	33.4	LOW
11110-2708	MID	1	8.0	21.1	0.17	0.17	0.92	1.83	35.0	90.3	39.9	LOW
11110-30	HIGH	1	5.0	12.7	3.33	3.33	3.33	4.25	20.0	84.7	64.0	LEVEL_MISMATCH
11110-30	LOW	1	2.0	4.3	3.33	3.33	3.33	4.0	20.0	87.5	59.8	LEVEL_MISMATCH
11110-30	MID	1	3.0	7.1	3.33	3.33	3.33	4.0	20.0	86.1	61.2	LEVEL_MISMATCH
11110-31	HIGH	1	9.0	23.9	6.08	6.08	8.0	8.08	350.0	2.8	100.1	LOW
11110-31	LOW	1	2.0	4.3	6.08	6.08	7.92	8.08	180.0	16.7	96.9	LOW
11110-31	MID	1	5.0	12.7	6.08	6.08	8.0	8.08	205.0	9.7	97.8	LOW
11110-32	HIGH	1	5.0	12.7	5.33	5.17	6.42	8.08	95.0	37.5	87.2	LOW
11110-32	LOW	1	2.0	4.3	5.0	4.83	5.75	8.08	95.0	41.7	84.0	LOW
11110-32	MID	1	3.0	7.1	5.17	5.0	6.0	8.08	95.0	40.3	85.0	LOW
11110-34	HIGH	3	18.0	49.1	6.08	6.08	7.58	8.08	200.0	22.2	113.6	HIGH
11110-34	LOW	3	4.0	9.9	4.58	4.58	5.58	6.0	190.0	47.2	81.5	HIGH
11110-34	MID	3	11.0	29.5	5.58	5.58	5.58	7.33	190.0	41.7	91.0	HIGH
11110-3414	HIGH	15	14.0	37.9	3.25	3.25	3.5	7.67	90.0	54.2	75.4	LOW
11110-3414	LOW	15	3.0	7.1	1.08	1.08	1.58	3.67	45.0	79.2	52.5	LOW
11110-3414	MID	15	8.0	21.1	1.17	1.17	1.92	5.92	60.0	65.3	59.3	LOW
11110-37	HIGH	5	11.0	29.5	6.08	6.08	8.08	8.08	345.0	4.2	89.5	NAME
11110-37	LOW	5	3.0	7.1	2.25	2.25	3.25	8.08	40.0	73.6	74.5	NAME
11110-37	MID	5	7.0	18.3	4.83	4.58	5.83	8.08	115.0	52.8	81.5	NAME
11110-42	HIGH	1	16.0	43.5	6.08	6.08	8.08	8.08	360.0	0.0	123.6	LOW
11110-42	LOW	1	4.0	9.9	3.58	3.58	5.33	8.08	320.0	11.1	92.9	LOW
11110-42	MID	1	10.0	26.7	5.08	5.08	6.92	8.08	320.0	11.1	95.9	LOW
11110-45	HIGH	1	6.0	15.5	6.08	6.08	8.08	8.08	360.0	0.0	92.9	LOW
11110-45	LOW	1	2.0	4.3	6.08	6.08	7.92	8.08	165.0	15.3	91.2	LOW
11110-45	MID	1	4.0	9.9	6.08	6.08	8.0	8.08	165.0	12.5	92.0	LOW
11110-47	HIGH	1	7.0	18.3	6.08	6.08	7.83	7.33	75.0	43.1	84.7	LOW
11110-47	LOW	1	2.0	4.3	6.08	6.08	7.58	7.33	75.0	43.1	80.6	LOW
11110-47	MID	1	4.0	9.9	6.08	6.08	7.67	7.33	75.0	43.1	82.2	LOW
11110-48	HIGH	1	7.0	18.3	3.83	3.83	4.83	8.08	95.0	56.9	82.0	LOW
11110-48	LOW	1	2.0	4.3	2.83	2.83	3.83	8.08	30.0	66.7	78.0	LOW
11110-48	MID	1	4.0	9.9	3.33	3.33	4.33	8.08	95.0	56.9	79.6	LOW
11110-51	HIGH	1	10.0	26.7	2.67	2.67	2.67	5.75	100.0	58.3	79.6	LOW
11110-51	LOW	1	2.0	4.3	2.67	2.67	2.67	4.08	70.0	68.1	64.4	LOW
11110-51	MID	1	6.0	15.5	2.67	2.67	2.67	5.25	70.0	66.7	69.1	LOW
11110-52	HIGH	2	8.0	21.1	4.75	4.625	5.375	8.08	182.5	43.75	95.85	LOW
11110-52	LOW	2	2.0	4.3	2.625	2.625	2.665	7.79	105.0	54.849999999999994	87.5	LOW
11110-52	MID	2	5.0	12.7	3.5	3.295	3.79	8.08	182.5	45.8	91.1	LOW
11110-68	HIGH	1	11.0	29.5	6.08	6.08	8.08	8.08	360.0	0.0	171.1	LOW
11110-68	LOW	1	3.0	7.1	6.08	6.08	8.08	8.08	360.0	0.0	171.0	LOW
11110-68	MID	1	7.0	18.3	6.08	6.08	8.08	8.08	360.0	0.0	171.1	LOW
11110-7	HIGH	1	5.0	12.7	6.08	6.08	8.08	8.08	360.0	0.0	160.8	LOW
11110-7	LOW	1	2.0	4.3	6.08	6.08	8.08	8.08	360.0	0.0	154.4	LOW
11110-7	MID	1	3.0	7.1	6.08	6.08	8.08	8.08	360.0	0.0	154.5	LOW
11110-71	HIGH	3	12.0	32.3	6.08	6.08	8.08	8.08	360.0	0.0	164.4	NAME
11110-71	LOW	3	3.0	7.1	6.08	6.08	8.08	7.58	195.0	26.4	145.0	NAME
11110-71	MID	3	7.0	18.3	6.08	6.08	8.08	8.08	270.0	23.6	147.8	NAME
11110-73	HIGH	2	13.0	35.1	6.08	6.08	8.08	8.08	360.0	0.0	175.6	NAME
11110-73	LOW	2	3.0	7.1	6.08	6.08	7.955	8.08	350.0	2.8	170.45	NAME
11110-73	MID	2	8.0	21.1	6.08	6.08	8.08	8.08	360.0	0.0	170.85	NAME
11110-80	HIGH	1	6.0	15.5	6.08	6.08	8.08	8.08	360.0	0.0	173.6	LOW
11110-80	LOW	1	2.0	4.3	6.08	6.08	8.08	8.08	360.0	0.0	173.6	LOW
11110-80	MID	1	4.0	9.9	6.08	6.08	8.08	8.08	360.0	0.0	173.6	LOW
11110-90	HIGH	12	16.0	43.5	6.08	6.08	7.83	8.08	250.0	22.2	100.85	MIXED
11110-90	LOW	12	4.0	9.9	3.75	2.875	4.46	7.045	82.5	65.25	78.5	MIXED
11110-90	MID	12	10.0	26.7	4.335	4.0	5.0	7.75	122.5	55.6	86.25	MIXED
11110-91	HIGH	7	12.0	32.3	6.08	6.08	7.5	8.08	360.0	0.0	95.5	NAME
