aptSeq	floor_band	n_obs	repr_floor	obs_height	winter_sunlight_hours	winter_continuous_hours	winter_total_hours_8_16	sun_hours_spring	open_span_max	view_block_pct	open_angle_mean	assign_confidence
11410-3650	MID	1	4.0	9.9	6.08	6.08	8.08	6.58	280.0	11.1	116.7	LOW
11410-3655	HIGH	1	6.0	15.5	6.08	6.08	8.0	8.08	360.0	0.0	118.0	LOW
11410-3655	LOW	1	2.0	4.3	6.08	6.08	7.83	8.08	345.0	4.2	117.3	LOW
11410-3655	MID	1	4.0	9.9	6.08	6.08	7.92	8.08	345.0	4.2	117.7	LOW
11410-3656	HIGH	1	6.0	15.5	6.08	6.08	8.0	8.08	350.0	2.8	115.4	LOW
11410-3656	LOW	1	2.0	4.3	6.08	6.08	7.83	8.08	345.0	4.2	114.6	LOW
11410-3656	MID	1	4.0	9.9	6.08	6.08	7.92	8.08	345.0	4.2	115.0	LOW
11410-3672	HIGH	1	5.0	12.7	6.08	6.08	8.0	8.08	190.0	13.9	93.6	LOW
11410-3672	LOW	1	2.0	4.3	5.67	5.33	6.58	8.08	60.0	63.9	82.8	LOW
11410-3672	MID	1	3.0	7.1	5.92	5.58	7.58	8.08	65.0	45.8	88.8	LOW
11410-3677	HIGH	4	13.0	35.1	6.08	6.08	7.54	8.08	247.5	11.1	97.5	NAME
11410-3677	LOW	4	3.0	7.1	3.835	3.75	4.46	5.795	95.0	60.400000000000006	77.0	NAME
11410-3677	MID	4	8.0	21.1	4.545	4.545	5.295	7.75	130.0	47.95	84.2	NAME
11410-3678	HIGH	1	13.0	35.1	6.08	6.08	7.75	8.08	160.0	36.1	89.6	LOW
11410-3678	LOW	1	3.0	7.1	2.33	1.58	4.0	6.75	110.0	56.9	75.4	LOW
11410-3678	MID	1	8.0	21.1	4.0	1.67	5.67	7.42	150.0	47.2	81.9	LOW
11410-3694	HIGH	2	15.0	40.7	6.08	6.08	7.705	8.08	190.0	28.5	93.1	LOW
11410-3694	LOW	2	3.0	7.1	2.455	2.08	3.125	6.955	67.5	77.75	76.1	LOW
11410-3694	MID	2	9.0	23.9	4.165	3.955	4.83	8.08	95.0	64.55	83.05	LOW
11410-37	HIGH	1	5.0	12.7	0.0	0.0	0.0	1.5	80.0	72.2	71.7	LEVEL_MISMATCH
11410-37	LOW	1	2.0	4.3	0.0	0.0	0.0	0.0	80.0	72.2	62.5	LEVEL_MISMATCH
11410-37	MID	1	3.0	7.1	0.0	0.0	0.0	0.0	80.0	72.2	64.8	LEVEL_MISMATCH
11410-3702	HIGH	1	11.0	29.5	6.08	6.08	6.83	8.08	235.0	25.0	84.3	LOW
11410-3702	LOW	1	3.0	7.1	3.42	3.08	3.42	6.0	105.0	62.5	71.6	LOW
11410-3702	MID	1	7.0	18.3	4.33	4.33	4.33	7.25	110.0	55.6	78.3	LOW
11410-3712	HIGH	2	11.5	30.9	6.08	6.08	7.625	8.0	237.5	22.950000000000003	88.6	LOW
11410-3712	LOW	2	2.5	5.699999999999999	6.08	6.08	7.335	7.21	37.5	56.95	78.55000000000001	LOW
11410-3712	MID	2	7.0	18.3	6.08	6.08	7.46	7.71	67.5	40.95	84.25	LOW
11410-3713	HIGH	1	11.0	29.5	4.17	4.17	4.92	5.08	130.0	62.5	55.5	LOW
11410-3713	LOW	1	3.0	7.1	4.17	4.17	4.75	5.08	60.0	70.8	49.1	LOW
11410-3713	MID	1	7.0	18.3	4.17	4.17	4.83	5.08	110.0	68.1	52.0	LOW
11410-3743	HIGH	1	12.0	32.3	6.08	6.08	8.08	8.08	345.0	4.2	103.1	LOW
11410-3743	LOW	1	3.0	7.1	6.08	6.08	7.83	8.08	345.0	4.2	94.5	LOW
11410-3743	MID	1	7.0	18.3	6.08	6.08	7.92	8.08	345.0	4.2	96.9	LOW
11410-3755	HIGH	3	8.0	21.1	4.92	4.92	6.25	7.83	165.0	27.8	87.5	LOW
11410-3755	LOW	3	2.0	4.3	4.92	4.92	6.0	6.92	160.0	48.6	73.1	LOW
11410-3755	MID	3	5.0	12.7	4.92	4.92	6.08	7.17	160.0	45.8	76.9	LOW
11410-38	HIGH	2	10.0	26.7	6.08	6.08	7.875	8.08	220.0	10.4	117.65	LOW
11410-38	LOW	2	2.0	4.3	6.08	6.08	7.71	7.5	157.5	30.549999999999997	110.0	LOW
11410-38	MID	2	6.0	15.5	6.08	6.08	7.835	7.83	172.5	25.0	112.4	LOW
11410-3838	HIGH	3	14.0	37.9	5.75	5.75	6.75	7.0	80.0	50.0	82.9	NAME
11410-3838	LOW	3	3.0	7.1	1.83	1.58	2.83	6.0	20.0	87.5	63.7	NAME
11410-3838	MID	3	8.0	21.1	2.33	1.58	3.33	6.92	40.0	75.0	71.2	NAME
11410-3841	HIGH	1	10.0	26.7	6.08	6.08	7.58	8.08	360.0	0.0	123.0	HIGH
11410-3841	LOW	1	2.0	4.3	5.75	5.75	6.75	8.08	255.0	12.5	116.8	HIGH
11410-3841	MID	1	6.0	15.5	6.08	6.08	7.08	8.08	345.0	4.2	118.0	HIGH
11410-3856	HIGH	5	13.0	35.1	6.08	6.08	7.58	8.08	95.0	40.3	84.0	NAME
11410-3856	LOW	5	3.0	7.1	1.0	1.0	1.42	6.5	20.0	90.3	65.3	NAME
11410-3856	MID	5	8.0	21.1	4.58	3.83	4.92	7.33	20.0	80.6	71.4	NAME
11410-3874	HIGH	1	9.0	23.9	6.08	6.08	8.08	8.08	180.0	15.3	110.5	LOW
11410-3874	LOW	1	2.0	4.3	3.5	2.25	5.42	8.08	115.0	30.6	101.9	LOW
11410-3874	MID	1	5.0	12.7	6.08	6.08	8.08	8.08	125.0	27.8	105.0	LOW
11410-3893	HIGH	1	13.0	35.1	6.08	6.08	7.92	8.08	270.0	16.7	85.6	HIGH
11410-3893	LOW	1	3.0	7.1	4.0	2.08	4.58	7.92	120.0	41.7	75.7	HIGH
11410-3893	MID	1	8.0	21.1	5.92	5.92	6.67	8.08	225.0	30.6	80.4	HIGH
11410-3898	HIGH	5	12.0	32.3	5.92	5.25	7.0	8.08	175.0	23.6	106.4	LOW
11410-3898	LOW	5	3.0	7.1	3.25	2.83	4.25	6.75	135.0	43.1	90.3	LOW
11410-3898	MID	5	7.0	18.3	4.42	3.83	5.42	8.08	135.0	36.1	94.1	LOW
11410-39	HIGH	1	6.0	15.5	6.08	6.08	8.08	7.58	270.0	13.9	126.8	LOW
11410-39	LOW	1	2.0	4.3	6.08	6.08	8.08	6.92	270.0	13.9	123.8	LOW
11410-39	MID	1	4.0	9.9	6.08	6.08	8.08	6.92	270.0	13.9	124.6	LOW
11410-3900	HIGH	7	11.0	29.5	6.08	6.08	7.17	8.08	70.0	62.5	76.6	NAME
11410-3900	LOW	7	3.0	7.1	0.42	0.42	0.42	7.83	10.0	95.8	59.5	NAME
11410-3900	MID	7	7.0	18.3	4.25	4.0	4.25	7.83	20.0	90.3	68.3	NAME
11410-3902	HIGH	1	8.0	21.1	6.08	6.08	8.0	8.08	150.0	15.3	99.6	LOW
11410-3902	LOW	1	2.0	4.3	5.83	5.83	6.5	8.08	140.0	30.6	94.7	LOW
11410-3902	MID	1	5.0	12.7	6.08	6.08	7.08	8.08	140.0	30.6	97.1	LOW
11410-3906	HIGH	13	12.0	32.3	6.08	6.08	7.42	8.08	175.0	22.2	84.4	NAME
11410-3906	LOW	13	3.0	7.1	6.0	6.0	6.58	6.58	90.0	62.5	71.5	NAME
11410-3906	MID	13	7.0	18.3	6.08	6.08	7.17	7.75	130.0	51.4	77.0	NAME
11410-3912	HIGH	1	6.0	15.5	6.08	6.08	8.0	8.08	130.0	30.6	107.9	LOW
11410-3912	LOW	1	2.0	4.3	6.08	6.08	7.75	8.08	130.0	33.3	103.9	LOW
11410-3912	MID	1	4.0	9.9	6.08	6.08	7.83	8.08	130.0	33.3	105.8	LOW
11410-3939	HIGH	1	7.0	18.3	0.92	0.92	1.25	7.58	135.0	51.4	85.8	LOW
11410-3939	LOW	1	2.0	4.3	0.92	0.92	1.25	6.33	135.0	59.7	82.2	LOW
11410-3939	MID	1	4.0	9.9	0.92	0.92	1.25	6.67	135.0	56.9	83.6	LOW
11410-3957	HIGH	2	10.0	26.7	6.08	6.08	7.375	7.83	192.5	24.3	89.4	HIGH
11410-3957	LOW	2	2.0	4.3	5.54	5.54	6.375	6.415	105.0	59.7	80.4	HIGH
11410-3957	MID	2	6.0	15.5	5.665	5.665	6.665	7.125	107.5	54.150000000000006	85.19999999999999	HIGH
11410-3960	HIGH	2	11.0	29.5	5.625	5.58	6.5	8.08	177.5	47.9	88.44999999999999	NAME
11410-3960	LOW	2	3.0	7.1	0.915	0.585	0.915	6.165	145.0	56.25	74.4	NAME
11410-3960	MID	2	7.0	18.3	3.25	3.04	3.5	7.96	150.0	54.85	80.4	NAME
11410-3961	HIGH	1	6.0	15.5	6.08	6.08	8.0	8.08	300.0	13.9	106.5	LOW
11410-3961	LOW	1	2.0	4.3	6.08	6.08	7.83	8.08	295.0	16.7	102.8	LOW
11410-3961	MID	1	4.0	9.9	6.08	6.08	7.92	8.08	295.0	16.7	103.4	LOW
11410-3967	HIGH	1	9.0	23.9	3.17	3.17	3.92	5.83	150.0	37.5	89.6	LOW
11410-3967	LOW	1	2.0	4.3	2.08	2.08	2.83	5.83	135.0	48.6	84.1	LOW
11410-3967	MID	1	5.0	12.7	2.08	2.08	2.83	5.83	135.0	48.6	86.3	LOW
11410-4	HIGH	2	16.5	44.9	5.08	4.0	6.545	7.5	152.5	39.6	85.4	LOW
11410-4	LOW	2	4.0	9.9	2.92	2.835	3.67	6.67	105.0	63.9	73.9	LOW
11410-4	MID	2	10.0	26.7	4.0	3.415	5.04	7.42	132.5	52.75	79.1	LOW
11410-40	HIGH	1	5.0	12.7	6.08	6.08	8.08	8.08	340.0	5.6	119.9	LOW
11410-40	LOW	1	2.0	4.3	6.08	6.08	8.08	8.08	245.0	11.1	119.1	LOW
11410-40	MID	1	3.0	7.1	6.08	6.08	8.08	8.08	245.0	11.1	119.4	LOW
11410-4044	HIGH	5	10.0	26.7	6.08	6.08	7.58	8.08	135.0	55.6	82.6	NAME
11410-4044	LOW	5	2.0	4.3	4.67	4.67	4.83	7.17	110.0	66.7	72.1	NAME
11410-4044	MID	5	6.0	15.5	5.5	5.5	5.92	7.67	115.0	63.9	76.6	NAME
11410-4085	HIGH	51	14.0	37.9	5.17	5.17	6.0	8.08	130.0	43.1	81.7	NAME
11410-4085	LOW	51	3.0	7.1	1.67	1.25	1.92	5.83	30.0	87.5	63.1	NAME
11410-4085	MID	51	8.0	21.1	3.5	3.33	4.17	6.92	75.0	69.4	70.6	NAME
11410-41	HIGH	1	6.0	15.5	2.58	1.92	3.17	6.58	150.0	38.9	96.2	LOW
11410-41	LOW	1	2.0	4.3	1.92	1.92	2.33	5.25	145.0	41.7	90.7	LOW
11410-41	MID	1	4.0	9.9	1.92	1.92	2.42	6.33	145.0	41.7	93.2	LOW
11410-4110	HIGH	17	15.0	40.7	6.08	6.08	7.33	8.08	145.0	27.8	96.8	HIGH
11410-4110	LOW	17	3.0	7.1	1.58	1.08	1.92	5.08	95.0	66.7	74.1	HIGH
11410-4110	MID	17	9.0	23.9	3.67	3.5	3.83	7.83	115.0	66.7	83.6	HIGH
11410-4117	HIGH	1	13.0	35.1	6.08	6.08	7.5	8.08	175.0	16.7	83.1	NAME
11410-4117	LOW	1	3.0	7.1	1.75	1.75	1.75	6.17	60.0	83.3	61.1	NAME
11410-4117	MID	1	8.0	21.1	2.33	2.33	2.33	7.17	100.0	70.8	70.6	NAME
11410-4202	HIGH	1	10.0	26.7	6.08	6.08	7.58	8.0	110.0	29.2	93.5	LOW
11410-4202	LOW	1	2.0	4.3	6.0	6.0	6.58	7.83	110.0	43.1	79.8	LOW
11410-4202	MID	1	6.0	15.5	6.08	6.08	7.08	7.83	110.0	37.5	83.6	LOW
11410-4254	HIGH	1	12.0	32.3	6.08	6.08	7.58	8.08	360.0	0.0	99.8	LOW
11410-4254	LOW	1	3.0	7.1	5.33	5.33	6.33	8.08	135.0	48.6	82.1	LOW
11410-4254	MID	1	7.0	18.3	5.42	5.42	6.42	8.08	140.0	45.8	89.0	LOW
11410-4269	HIGH	1	5.0	12.7	6.08	6.08	7.75	8.08	290.0	13.9	95.7	LOW
11410-4269	LOW	1	2.0	4.3	1.5	0.83	1.5	6.08	70.0	73.6	80.9	LOW
11410-4269	MID	1	3.0	7.1	4.33	4.33	4.67	7.42	70.0	70.8	86.7	LOW
11410-4373	HIGH	1	20.0	54.7	3.42	2.92	5.42	7.33	135.0	41.7	104.1	LOW
11410-4373	LOW	1	4.0	9.9	1.5	1.0	1.92	5.17	85.0	72.2	73.0	LOW
11410-4373	MID	1	12.0	32.3	3.25	2.75	4.25	5.58	100.0	58.3	84.6	LOW
11410-4377	HIGH	2	14.5	39.3	4.04	4.04	5.045	8.08	145.0	46.5	91.05000000000001	NAME
11410-4377	LOW	2	3.0	7.1	1.585	1.415	2.04	5.545	35.0	75.0	68.9	NAME
11410-4377	MID	2	8.5	22.5	2.25	2.25	3.08	6.83	60.0	62.5	76.85	NAME
11410-4465	HIGH	1	9.0	23.9	6.08	6.08	7.92	8.08	360.0	0.0	101.7	LOW
11410-4465	LOW	1	2.0	4.3	6.08	6.08	7.67	8.08	215.0	33.3	91.1	LOW
11410-4465	MID	1	5.0	12.7	6.08	6.08	7.83	8.08	215.0	29.2	95.2	LOW
11410-4476	HIGH	16	15.0	40.7	6.08	6.08	7.33	8.08	127.5	42.349999999999994	82.6	MIXED
11410-4476	LOW	16	3.0	7.1	3.5	3.085	4.25	6.71	50.0	73.6	67.75	MIXED
11410-4476	MID	16	9.0	23.9	4.54	3.5	5.085	7.955	72.5	63.2	73.2	MIXED
11410-4479	HIGH	25	20.0	54.7	4.75	4.58	5.67	8.0	125.0	51.4	79.1	NAME
11410-4479	LOW	25	4.0	9.9	1.08	0.92	1.25	4.67	15.0	91.7	58.0	NAME
11410-4479	MID	25	12.0	32.3	2.75	2.5	2.92	6.17	40.0	81.9	68.2	NAME
11410-4480	HIGH	15	20.0	54.7	6.08	6.08	7.5	8.08	235.0	26.4	97.9	NAME
11410-4480	LOW	15	4.0	9.9	2.67	2.58	3.25	6.25	25.0	87.5	62.9	NAME
11410-4480	MID	15	12.0	32.3	4.83	4.83	5.5	7.42	65.0	70.8	74.8	NAME
11410-4481	HIGH	5	15.0	40.7	6.08	6.08	7.25	8.08	50.0	55.6	79.4	NAME
11410-4481	LOW	5	3.0	7.1	3.33	3.33	3.33	5.92	10.0	95.8	54.6	NAME
11410-4481	MID	5	9.0	23.9	4.42	4.25	4.42	6.67	25.0	90.3	64.0	NAME
11410-4482	HIGH	4	18.5	50.5	6.08	6.08	8.04	8.08	207.5	27.1	112.55	NAME
11410-4482	LOW	4	4.0	9.9	4.83	4.83	5.83	7.21	135.0	60.400000000000006	79.6	NAME
11410-4482	MID	4	11.0	29.5	5.625	5.625	6.75	7.75	140.0	56.25	93.85	NAME
11410-4483	HIGH	1	10.0	26.7	5.83	5.5	6.92	8.08	65.0	63.9	73.9	NAME
11410-4483	LOW	1	2.0	4.3	3.58	2.92	3.58	5.75	5.0	98.6	56.9	NAME
11410-4483	MID	1	6.0	15.5	4.33	4.33	4.33	7.58	35.0	86.1	65.0	NAME
11410-45	HIGH	3	4.0	9.9	4.5	3.92	5.5	8.08	215.0	38.9	79.8	LOW
11410-45	LOW	3	2.0	4.3	3.75	3.58	4.75	7.83	65.0	58.3	76.5	LOW
11410-45	MID	3	2.0	4.3	3.75	3.58	4.75	7.83	65.0	58.3	76.5	LOW
11410-4508	HIGH	3	13.0	35.1	4.42	4.42	4.42	7.33	65.0	56.9	84.6	NAME
11410-4508	LOW	3	3.0	7.1	2.0	1.58	2.0	4.42	25.0	88.9	62.1	NAME
11410-4508	MID	3	8.0	21.1	3.08	3.0	3.08	6.25	60.0	72.2	73.5	NAME
11410-4509	HIGH	3	15.0	40.7	6.08	6.08	7.0	8.08	60.0	55.6	80.4	NAME
11410-4509	LOW	3	3.0	7.1	3.5	3.5	3.75	5.83	5.0	97.2	55.4	NAME
11410-4509	MID	3	9.0	23.9	4.5	4.42	4.5	7.17	25.0	84.7	67.4	NAME
11410-4537	HIGH	7	11.0	29.5	6.08	6.08	7.58	8.08	220.0	18.1	100.1	NAME
11410-4537	LOW	7	3.0	7.1	2.75	2.58	2.75	7.83	145.0	47.2	82.7	NAME
11410-4537	MID	7	7.0	18.3	6.08	6.08	6.42	7.83	145.0	47.2	88.3	NAME
11410-46	HIGH	3	15.0	40.7	4.92	4.92	6.42	8.08	325.0	9.7	114.1	LOW
11410-46	LOW	3	3.0	7.1	4.92	4.92	5.92	5.83	85.0	52.8	92.6	LOW
11410-46	MID	3	9.0	23.9	4.92	4.92	5.92	7.33	210.0	27.8	98.5	LOW
11410-4617	HIGH	6	17.0	46.3	6.08	6.08	8.08	8.08	237.5	21.5	86.85	MIXED
11410-4617	LOW	6	4.0	9.9	2.545	1.585	3.67	7.25	70.0	61.15	69.75	MIXED
11410-4617	MID	6	10.0	26.7	3.875	3.71	5.04	8.08	125.0	43.75	77.4	MIXED
11410-4618	HIGH	2	18.0	49.099999999999994	2.875	2.205	3.5	8.0	185.0	42.349999999999994	92.1	NAME
11410-4618	LOW	2	4.0	9.9	0.58	0.41500000000000004	1.08	2.705	35.0	75.69999999999999	60.8	NAME
11410-4618	MID	2	10.5	28.1	0.58	0.41500000000000004	1.08	4.71	92.5	56.95	68.3	NAME
11410-4619	HIGH	9	16.0	43.5	6.08	6.08	7.92	8.08	155.0	22.2	90.9	NAME
11410-4619	LOW	9	4.0	9.9	6.08	6.08	7.42	7.08	40.0	70.8	66.8	NAME
11410-4619	MID	9	10.0	26.7	6.08	6.08	7.67	7.42	90.0	51.4	74.4	NAME
11410-4634	HIGH	1	13.0	35.1	6.08	6.08	8.08	8.08	135.0	27.8	109.2	LOW
11410-4634	LOW	1	3.0	7.1	5.58	5.58	6.58	8.08	135.0	40.3	93.9	LOW
11410-4634	MID	1	8.0	21.1	6.08	6.08	7.83	8.08	135.0	38.9	97.8	LOW
11410-4645	HIGH	5	17.0	46.3	3.75	3.25	5.75	8.08	170.0	37.5	82.6	NAME
11410-4645	LOW	5	4.0	9.9	3.25	3.25	3.67	6.83	65.0	61.1	67.0	NAME
11410-4645	MID	5	10.0	26.7	3.75	3.25	5.5	7.5	85.0	55.6	73.9	NAME
11410-4702	HIGH	8	17.0	46.3	6.08	6.08	8.0	8.08	170.0	34.7	104.9	NAME
11410-4702	LOW	8	4.0	9.9	2.25	1.75	3.58	7.415	60.0	52.8	70.25	NAME
11410-4702	MID	8	10.0	26.7	2.795	1.92	4.33	7.955	117.5	45.8	78.2	NAME
11410-4714	HIGH	1	11.0	29.5	6.08	6.08	8.08	8.08	360.0	0.0	118.8	LOW
11410-4714	LOW	1	3.0	7.1	6.08	6.08	8.08	8.08	145.0	15.3	109.9	LOW
11410-4714	MID	1	7.0	18.3	6.08	6.08	8.08	8.08	240.0	11.1	111.9	LOW
11410-4730	HIGH	1	9.0	23.9	3.08	2.83	3.08	5.58	145.0	58.3	81.0	LOW
11410-4730	LOW	1	2.0	4.3	0.67	0.67	0.67	4.67	25.0	79.2	73.0	LOW
11410-4730	MID	1	5.0	12.7	0.67	0.67	0.67	5.08	50.0	72.2	76.2	LOW
11410-4738	HIGH	1	10.0	26.7	6.08	6.08	8.0	8.08	285.0	16.7	114.1	LOW
11410-4738	LOW	1	2.0	4.3	6.08	6.08	7.58	8.08	135.0	26.4	107.4	LOW
11410-4738	MID	1	6.0	15.5	6.08	6.08	7.83	8.08	275.0	19.4	110.1	LOW
11410-4746	HIGH	1	7.0	18.3	6.0	6.0	7.67	8.08	310.0	5.6	88.2	LOW
11410-4746	LOW	1	2.0	4.3	5.42	5.42	7.0	8.08	110.0	31.9	85.4	LOW
11410-4746	MID	1	4.0	9.9	5.67	5.67	7.25	8.08	145.0	26.4	86.6	LOW
11410-4755	HIGH	2	15.5	42.1	5.375	5.375	6.375	8.08	215.0	31.25	103.8	NAME
11410-4755	LOW	2	3.5	8.5	1.79	1.25	1.92	6.705	122.5	56.25	80.1	NAME
11410-4755	MID	2	9.5	25.299999999999997	2.875	2.335	3.54	7.79	200.0	35.45	86.95	NAME
11410-4762	HIGH	12	17.5	47.7	6.08	6.08	8.08	8.08	215.0	22.2	111.25	NAME
11410-4762	LOW	12	4.0	9.9	2.79	2.085	3.75	6.33	115.0	64.55000000000001	80.19999999999999	NAME
11410-4762	MID	12	10.5	28.1	3.29	2.58	4.04	7.54	122.5	52.099999999999994	87.45	NAME
11410-4767	HIGH	5	15.0	40.7	6.08	6.08	8.0	8.08	305.0	15.3	122.9	NAME
11410-4767	LOW	5	3.0	7.1	5.92	5.92	6.92	6.5	135.0	27.8	105.2	NAME
11410-4767	MID	5	9.0	23.9	6.08	6.08	7.25	7.83	135.0	27.8	109.4	NAME
11410-4768	HIGH	2	9.0	23.9	4.955	4.955	6.04	8.08	242.5	15.3	94.3	LOW
11410-4768	LOW	2	2.0	4.3	4.33	4.33	5.415	6.5	185.0	22.200000000000003	86.05	LOW
11410-4768	MID	2	5.0	12.7	4.33	4.33	5.415	7.04	240.0	17.4	88.4	LOW
11410-4769	HIGH	12	14.5	39.3	6.08	6.08	7.335	8.08	165.0	26.4	86.7	NAME
11410-4769	LOW	12	3.0	7.1	3.58	2.835	4.165	5.5	85.0	69.44999999999999	66.2	NAME
11410-4769	MID	12	8.5	22.5	4.625	4.0	5.21	7.165	95.0	68.1	73.2	NAME
11410-48	HIGH	2	13.0	35.1	5.705	5.705	7.205	8.08	215.0	27.8	98.44999999999999	NAME
11410-48	LOW	2	3.0	7.1	2.415	2.08	3.415	6.955	82.5	63.9	84.0	NAME
11410-48	MID	2	8.0	21.1	4.875	4.0	5.875	8.08	182.5	41.650000000000006	90.75	NAME
11410-4813	HIGH	11	10.0	26.7	5.17	4.58	7.08	8.08	195.0	20.8	94.3	MIXED
11410-4813	LOW	11	2.0	4.3	1.67	1.25	2.33	6.08	80.0	66.7	77.0	MIXED
11410-4813	MID	11	6.0	15.5	3.83	3.58	4.83	7.5	110.0	48.6	84.1	MIXED
11410-4818	HIGH	9	19.0	51.9	6.0	6.0	6.42	8.08	220.0	20.8	98.8	NAME
11410-4818	LOW	9	4.0	9.9	1.67	0.92	1.75	4.67	25.0	91.7	60.8	NAME
11410-4818	MID	9	11.0	29.5	3.17	3.17	4.17	6.58	105.0	61.1	72.8	NAME
11410-4824	HIGH	11	18.0	49.1	6.08	6.08	7.75	8.08	85.0	50.0	91.7	NAME
11410-4824	LOW	11	4.0	9.9	3.67	3.67	4.08	6.67	10.0	94.4	62.3	NAME
11410-4824	MID	11	11.0	29.5	5.33	5.0	6.33	7.83	35.0	75.0	69.2	NAME
11410-4829	HIGH	2	22.0	60.3	4.75	4.75	5.75	7.915	215.0	34.05	108.4	HIGH
11410-4829	LOW	2	5.0	12.7	1.875	1.75	2.375	4.5	122.5	64.55	70.2	HIGH
11410-4829	MID	2	13.0	35.1	3.83	3.83	4.54	4.915	122.5	55.55	78.55000000000001	HIGH
11410-4846	HIGH	14	15.0	40.7	5.835	5.835	7.085	8.08	195.0	35.400000000000006	101.05	NAME
11410-4846	LOW	14	3.0	7.1	1.83	1.75	2.58	5.83	107.5	66.0	84.85	NAME
11410-4846	MID	14	9.0	23.9	3.705	3.205	4.5	7.42	132.5	60.400000000000006	89.65	NAME
11410-4847	HIGH	1	15.0	40.7	6.08	6.08	7.42	7.92	45.0	75.0	78.4	LOW
11410-4847	LOW	1	3.0	7.1	0.42	0.42	0.92	7.83	30.0	83.3	55.6	LOW
11410-4847	MID	1	9.0	23.9	2.67	1.83	3.42	7.83	45.0	76.4	62.4	LOW
11410-4894	HIGH	18	16.5	44.9	5.71	5.71	6.625	8.08	152.5	38.2	96.9	NAME
11410-4894	LOW	18	4.0	9.9	2.625	2.5	2.67	5.375	47.5	79.2	62.8	NAME
11410-4894	MID	18	10.0	26.7	3.75	3.75	4.46	6.585	117.5	61.8	73.95	NAME
11410-49	HIGH	4	17.0	46.3	6.08	6.08	8.08	8.08	332.5	7.6000000000000005	113.9	NAME
11410-49	LOW	4	4.0	9.9	3.04	3.04	4.04	8.08	147.5	51.400000000000006	98.35	NAME
11410-49	MID	4	10.0	26.7	5.165	4.58	6.835	8.08	150.0	40.25	104.35	NAME
11410-4918	HIGH	3	10.0	26.7	6.0	6.0	7.33	8.08	265.0	9.7	110.7	LOW
11410-4918	LOW	3	2.0	4.3	3.42	3.42	3.42	7.75	150.0	54.2	99.8	LOW
11410-4918	MID	3	6.0	15.5	5.0	5.0	5.0	8.08	150.0	50.0	104.3	LOW
11410-4920	HIGH	5	25.0	68.7	6.0	6.0	6.67	7.83	25.0	87.5	74.8	MIXED
11410-4920	LOW	5	5.0	12.7	0.42	0.42	0.5	3.92	15.0	90.3	55.8	MIXED
11410-4920	MID	5	15.0	40.7	0.67	0.67	0.92	4.58	15.0	91.7	54.3	MIXED
11410-4932	HIGH	14	15.0	40.7	6.08	6.08	7.875	8.08	217.5	24.3	94.55	MIXED
11410-4932	LOW	14	3.0	7.1	3.335	3.17	4.335	6.46	67.5	70.15	78.30000000000001	MIXED
11410-4932	MID	14	9.0	23.9	4.67	3.71	5.42	7.375	97.5	56.9	85.30000000000001	MIXED
11410-4942	HIGH	1	9.0	23.9	6.08	6.08	7.58	7.42	155.0	34.7	79.7	LOW
11410-4942	LOW	1	2.0	4.3	5.42	5.42	6.67	7.08	155.0	41.7	75.7	LOW
11410-4942	MID	1	5.0	12.7	5.75	5.75	7.08	7.08	155.0	40.3	77.4	LOW
11410-4947	HIGH	4	12.0	32.3	6.08	6.08	8.08	8.08	250.0	20.85	97.65	NAME
11410-4947	LOW	4	3.0	7.1	3.58	3.415	5.08	7.5	140.0	59.0	81.0	NAME
11410-4947	MID	4	7.0	18.3	5.0	4.415	6.5	7.83	140.0	58.3	87.4	NAME
11410-4982	HIGH	6	23.0	63.1	6.08	6.08	8.08	8.08	170.0	12.5	152.45	LOW
11410-4982	LOW	6	5.0	12.7	3.83	3.665	4.83	6.375	145.0	50.7	83.25	LOW
11410-4982	MID	6	14.0	37.9	4.25	3.665	5.415	8.0	147.5	24.299999999999997	102.75	LOW
11410-5006	HIGH	1	17.0	46.3	6.08	6.08	7.33	8.08	245.0	20.8	110.6	LOW
11410-5006	LOW	1	4.0	9.9	0.5	0.5	1.5	5.42	125.0	41.7	92.5	LOW
11410-5006	MID	1	10.0	26.7	3.25	1.58	4.25	6.58	125.0	41.7	98.6	LOW
11410-5026	HIGH	4	10.0	26.7	6.0	6.0	7.085	8.08	80.0	67.4	84.7	NAME
11410-5026	LOW	4	2.0	4.3	0.165	0.165	0.33	6.46	42.5	88.2	66.0	NAME
11410-5026	MID	4	6.0	15.5	2.79	2.71	2.835	7.58	42.5	87.5	74.55	NAME
11410-53	HIGH	3	15.0	40.7	6.08	6.08	8.08	8.08	260.0	27.8	107.6	NAME
11410-53	LOW	3	3.0	7.1	6.08	6.08	7.92	6.92	180.0	33.3	80.7	NAME
11410-53	MID	3	9.0	23.9	6.08	6.08	8.08	8.08	220.0	30.6	86.3	NAME
11410-55	HIGH	5	15.0	40.7	6.08	6.08	8.08	8.08	280.0	13.9	120.3	HIGH
11410-55	LOW	5	3.0	7.1	4.17	4.17	5.42	6.67	190.0	34.7	108.7	HIGH
11410-55	MID	5	9.0	23.9	5.92	5.92	6.92	8.08	250.0	30.6	114.0	HIGH
11410-56	HIGH	1	15.0	40.7	6.08	6.08	7.92	8.08	360.0	0.0	109.8	LOW
11410-56	LOW	1	3.0	7.1	6.0	6.0	7.0	8.08	135.0	27.8	97.4	LOW
