aptSeq	apt_name	umd_name	jibun	build_year	n_trades
11680-4364	청담스위트	청담동	34-13	2015.0	2
11680-3879	도곡지웰카운티101동	도곡동	199-4	2010.0	2
11680-672	새롬(1164-14)	개포동	1164-14	2000.0	1
11680-3844	로체샤르캐슬	논현동	114-23	2009.0	1
11680-3840	네오블로썸	삼성동	42-4	2009.0	1
11680-382	한양5	압구정동	513	1979.0	1
11680-3741	도곡3차아이파크	도곡동	970	2007.0	1
11680-3709	채널리저브	삼성동	144-14	2007.0	1
11680-3704	청담2차이-편한세상(205동)	청담동	15-21	2006.0	1
11680-3721	쎄비앙102동	역삼동	778-5	2007.0	1
11680-3574	휴먼스타빌	청담동	5-25	2005.0	1
11680-3626	강남한솔	역삼동	794-19	2006.0	1
11680-3672	신성미소시티	대치동	904-10	2006.0	1
11680-368	삼호빌라B동	청담동	113-23	1997.0	1
11680-3683	역삼디오슈페리움	역삼동	832-5	2006.0	1
11680-3686	래미안삼성1차(201동)	삼성동	102	2006.0	1
11680-3690	논현프라임아파트	논현동	196-4	2006.0	1
11680-3697	선릉역풍림아이원레몬	대치동	890-54	2006.0	1
11680-3698	삼환SOGOOD	대치동	938-16	2006.0	1
11680-3578	대우멤버스카운티301	삼성동	33-24	2005.0	1
11680-3628	블루밍하우스	삼성동	64-4	2006.0	1
11680-3583	삼성웰피아	삼성동	130-2	2005.0	1
11680-665	우림루미아트1	역삼동	706-11	2003.0	1
11680-128	세호시티라이프	논현동	122-25	1996.0	1
11680-15	신사동씨티빌	신사동	523-4	2002.0	1
11680-1364	아람손프라자/비바빌	개포동	1164-7	2001.0	1
11680-137	논현빌라트	논현동	102-9	1999.0	1
11680-160	논현한가람빌라트	논현동	105-3	2002.0	1
11680-67	청담로얄카운티	청담동	117-3	1999.0	1
11680-164	테크노빌라트	논현동	271-6	2002.0	1
11680-687	청원	대치동	934-1	2005.0	1
11680-685	동양	대치동	920-32	1999.0	1
11680-674	포이현대빌라트	개포동	1165	1997.0	1
11680-410	역삼르비앙1	역삼동	835-12	2003.0	1
11680-278	경남2차	개포동	649	1984.0	1
11680-4909	PH129	청담동	129	2020.0	1
11680-490	역삼예명	역삼동	664-5	2001.0	1
11680-4871	BRUNNEN청담	청담동	114-9	2019.0	1
11680-4863	강남웅진베어스빌	역삼동	838-10	2019.0	1
11680-476	대우로얄카운티2	청담동	116-5	2002.0	1
11680-485	진흥아마란스	신사동	626-1	2005.0	1
11680-4730	더원센트럴	논현동	118-8	2018.0	1
11680-4756	라테라스청담	청담동	76-12	2018.0	1
11680-4637	대치SKVIEW	대치동	1029	2017.0	1
11680-4643	청담디에브스아파트	청담동	62-6	2017.0	1
11680-4667	동원스위트뷰역삼	역삼동	745-13	2017.0	1
11680-4655	프리빌리지	역삼동	723-16	2017.0	1
11680-436	연세리버테라스	청담동	102	2003.0	1
11680-442	월드쉐르빌	논현동	138-9	2003.0	1
11680-447	한양팰리스	대치동	941-13	2004.0	1
11680-4474	한라비발디	도곡동	972	2016.0	1
11680-3176	학동	논현동	217-34	2005.0	1
11680-431	비쥬힐	논현동	39-10	2003.0	1
11680-433	필로스(193-45)	도곡동	193-45	2004.0	1
11680-404	포스코트	삼성동	146	2003.0	1
11680-401	미켈란107	삼성동	107	2003.0	1
11680-394	풍림아이원아파트	대치동	910-4	2003.0	1
11680-322	대림	도곡동	960	1992.0	1
11680-3899	마크힐스이스트윙	청담동	130-7	2010.0	1
11680-3923	삼성동신도브래뉴	삼성동	121-38	2010.0	1
11680-4197	삼성동라테라스	삼성동	110-2	2013.0	1
11680-4036	대명벨리온	역삼동	727-2	2012.0	1
11680-298	개포현대6차	개포동	1242-2	1993.0	1
11680-24	구산	청담동	128-1	1993.0	1
11680-500	경일역삼	역삼동	775-14	2002.0	1
11680-266	로얄빌리지	역삼동	644-6	2002.0	1
11680-494	우정에쉐르멤버스	역삼동	708-31	2004.0	1
11680-556	제이빌	논현동	108-2	2004.0	1
11680-553	케이씨빌	논현동	104-23	2004.0	1
11680-534	동민맥스빌B동	대치동	938-13	2004.0	1
11680-503	강남역우정에쉐르	역삼동	823-7	2004.0	1
11680-5027	한양립스	삼성동	142-16	2022.0	1
11680-509	대우멤버스카운티201	삼성동	33-20	2004.0	1
11680-513	삼성리치빌1	삼성동	52-9	2003.0	1
11680-519	삼성동대성유니드	삼성동	129	2004.0	1
