confidence	aptSeq	apt_name	gu	addr_road	n_deals	build_year	reg_year	osm_year_median	year_diff	n_dong	reg_dong	dong_diff	reg_units	n_by_boundary	n_height_imputed	max_levels	max_height_m	mean_dist	dong_dist_max	levels_spread	year_spread	prescreen	dong_list	kakao_map_url	verdict	note
LOW	11650-4471	서초동프레스티지아파트	서초구	서울 서초구 서운로11길 17	35	2017.0	2017.0	2017.0	0.0	1.0	1.0	0.0	28.0	0.0	0.0	10.0	32.0	3.617142678795324	4.0	0.0	0.0		?:10F:32m	https://map.kakao.com/link/map/서초동프레스티지아파트,37.4875270728923,127.027618111947		
LOW	11680-494	우정에쉐르멤버스	강남구	서울 강남구 선릉로87길 14	30	2004.0	2004.0	2004.0	0.0	1.0	1.0	0.0	34.0	0.0	0.0	12.0	29.0	3.016986990423776	3.0	0.0	0.0		?:12F:29m	https://map.kakao.com/link/map/우정에쉐르멤버스,37.5031158483353,127.048338094575		
LOW	11680-709	삼경하이빌1	강남구	서울 강남구 도곡로2길 46	27	2000.0	2000.0			1.0	1.0	0.0	19.0	0.0	0.0	5.0	15.0	259.1617376053703	259.0	0.0			?:5F:15m	https://map.kakao.com/link/map/삼경하이빌1,37.4871360061985,127.034575517979		
LOW	11200-3027	E-아름다운세상	성동구	서울 성동구 광나루로6길 7-1	22	2014.0	2014.0	2014.0	0.0	1.0	1.0	0.0	52.0	0.0	0.0	14.0	42.0	2.8601119309377383	3.0	0.0	0.0		?:14F:42m	https://map.kakao.com/link/map/E-아름다운세상,37.547771114766,127.060856916378		
LOW	11710-33	현대레이크빌1	송파구	서울 송파구 석촌호수로 284	17	1999.0	1999.0	1999.0	0.0	1.0	1.0	0.0	44.0	0.0	0.0	23.0	79.0	2.8112933042907358	3.0	0.0	0.0		?:23F:79m	https://map.kakao.com/link/map/현대레이크빌1,37.5107286288439,127.106979413783		
LOW	11620-99	로마	관악구	서울 관악구 남부순환로194길 7	17	2003.0	2003.0	2016.0	13.0	1.0	1.0	0.0	49.0	0.0	0.0	9.0	24.0	153.45959598329003	153.0	0.0	0.0		?:9F:24m	https://map.kakao.com/link/map/로마,37.4843830953088,126.935266395036		
LOW	11440-3994	성일빌딩	마포구	서울 마포구 월드컵북로 98	15	2007.0	2007.0	2007.0	0.0	1.0	1.0	0.0	16.0	0.0	0.0	10.0	33.0	0.5296874547244719	1.0	0.0	0.0		?:10F:33m	https://map.kakao.com/link/map/성일빌딩,37.5623662881206,126.914820012527		
LOW	11140-1255	신당역솔하임	중구	서울 중구 퇴계로 448	15	2016.0	2016.0	2016.0	0.0	1.0	1.0	0.0	49.0	0.0	0.0	20.0	80.0	1.5982854503654609	2.0	0.0	0.0		?:20F:80m	https://map.kakao.com/link/map/신당역솔하임,37.5653849734702,127.02122678483		
LOW	11500-137	한백e	강서구	서울 강서구 곰달래로20길 31-19	11	2002.0	2002.0			1.0	1.0	0.0	18.0	0.0	0.0			1.0617756766502502	1.0				한백e 아파트:?F:?m	https://map.kakao.com/link/map/한백e,37.5288931764285,126.843962290489		
LOW	11440-138	골든빌(210-10)	마포구	서울 마포구 성미산로11길 8	7	2003.0	2003.0			1.0	1.0	0.0	18.0	0.0	0.0	5.0	14.4	141.74908891831757	142.0	0.0			동광탑스빌:5F:14m	https://map.kakao.com/link/map/골든빌(210-10),37.5611363990311,126.916673295502		
LOW	11410-190	동도하이츠비동	서대문구	서울 서대문구 응암로 132	6	2004.0	2004.0			1.0	1.0	0.0	18.0	0.0	0.0			9.43241497974893	9.0				?:?F:?m	https://map.kakao.com/link/map/동도하이츠비동,37.5841257086825,126.914749259723		
LOW	11260-2640	남광타운	중랑구	서울 중랑구 망우로25길 15	4	2012.0	2012.0			1.0	1.0	0.0	15.0	0.0	0.0			1.690693838311475	2.0				남광타운 아파트:?F:?m	https://map.kakao.com/link/map/남광타운,37.5935863599829,127.071315653872		
LOW	11710-109	인텍스빌	송파구	서울 송파구 오금로27길 43	4	2000.0	2000.0			1.0	1.0	0.0	14.0	0.0	0.0			157.06360828470486	157.0				윈저하우스아파트:?F:?m	https://map.kakao.com/link/map/인텍스빌,37.5098340248387,127.120453394983		
LOW	11230-2697	청명에버아트1차	동대문구	서울 동대문구 장한로21길 19-9	3	2017.0	2017.0	2017.0	0.0	1.0	1.0	0.0	18.0	0.0	0.0	15.0	44.0	2.455060680523662	2.0	0.0	0.0		?:15F:44m	https://map.kakao.com/link/map/청명에버아트1차,37.5697911501099,127.068841381787		
LOW	11110-7	신현(101동)	종로구	서울 종로구 필운대로10길 16	1	2002.0	2002.0			1.0	1.0	0.0	10.0	0.0	0.0			76.67082140169695	77.0				?:?F:?m	https://map.kakao.com/link/map/신현(101동),37.5835572149053,126.967944956519		
LOW	11410-183	명지플러스빌아파트(A)	서대문구	서울 서대문구 가재울로4길 48	1	2004.0	2004.0	2023.0	19.0	1.0	1.0	0.0	12.0	0.0	0.0	9.0	27.0	95.7639879132314	96.0	0.0	0.0		?:9F:27m	https://map.kakao.com/link/map/명지플러스빌아파트(A),37.5757306753034,126.924224045591		
MIXED	11230-2578	래미안크레시티	동대문구	서울 동대문구 사가정로 65	1464	2014.0	2014.0	2014.0	0.0	31.0	31.0	0.0	2397.0	0.0	1.0	22.0	67.0	257.13145239224	484.0	14.0	21.0	층수편차14F 준공편차21년 거리상한	101동:10F:29m | 102동:10F:29m | 110동:13F:36m | ?:?F:54m | 109동:13F:38m | 201동:20F:58m | 202동:21F:60m | 108동:14F:41m | 203동:21F:60m | 204동:20F:58m | 107동:14F:41m | ?:22F:63m | ...외 19동	https://map.kakao.com/link/map/래미안크레시티,37.5755060418781,127.049695860484		
MIXED	11680-4297	래미안포레	강남구	서울 강남구 밤고개로21길 25	1338	2014.0	2014.0	2014.0	0.0	15.0	15.0	0.0	1070.0	7.0	8.0	12.0	37.0	157.232399246681	268.0	3.0	0.0		?:9F:28m | ?:12F:37m | ?:9F:28m | ?:12F:37m | ?:11F:34m | 302동:?F:34m | 303동:?F:34m | ?:11F:34m | ?:11F:34m | 304동:?F:34m | 305동:?F:34m | 301동:?F:34m | ...외 3동	https://map.kakao.com/link/map/래미안포레,37.4750475248595,127.107644379249		
MIXED	11620-4347	관악산휴먼시아2단지	관악구	서울 관악구 난곡로 55	1187	2008.0	2008.0	2008.0	0.0	32.0	32.0	0.0	2265.0	20.0	0.0	20.0	56.0	156.31712011472803	333.0	7.0	0.0	거리상한	207동:20F:56m | ?:13F:37m | ?:20F:56m | ?:20F:56m | ?:20F:56m | ?:20F:56m | ?:20F:56m | ?:20F:56m | ?:20F:56m | 206동:20F:56m | ?:19F:53m | ?:20F:56m | ...외 20동	https://map.kakao.com/link/map/관악산휴먼시아2단지,37.4597417150822,126.920752798392		
