osm_id	building_type	name	truth_id	truth_name	cluster_id
636205484	apartments	108	614507246.0	래미안도곡카운티아파트	352
636207735	apartments	201	469110558.0	도곡렉슬아파트	348
636207736	apartments	202	469110558.0	도곡렉슬아파트	348
636207737	apartments	203	469110558.0	도곡렉슬아파트	348
636207738	apartments	210	469110558.0	도곡렉슬아파트	348
636207739	apartments	212	469110558.0	도곡렉슬아파트	348
636207740	apartments	204	469110558.0	도곡렉슬아파트	348
636207741	apartments	209	469110558.0	도곡렉슬아파트	348
636207742	apartments	302	469110558.0	도곡렉슬아파트	348
636207743	apartments	305	469110558.0	도곡렉슬아파트	348
636207744	apartments	304	469110558.0	도곡렉슬아파트	348
636207745	apartments	303	469110558.0	도곡렉슬아파트	348
636207746	apartments	401	469110558.0	도곡렉슬아파트	348
636207747	apartments	412	469110558.0	도곡렉슬아파트	348
636207748	apartments	411	469110558.0	도곡렉슬아파트	348
636207749	apartments	208	469110558.0	도곡렉슬아파트	348
636207750	apartments	205	469110558.0	도곡렉슬아파트	348
636207751	apartments	301	469110558.0	도곡렉슬아파트	348
636207752	apartments	402	469110558.0	도곡렉슬아파트	348
636207753	apartments	211	469110558.0	도곡렉슬아파트	348
636207754	apartments	306	469110558.0	도곡렉슬아파트	348
636207755	apartments	103	469110558.0	도곡렉슬아파트	348
636207756	apartments	102	469110558.0	도곡렉슬아파트	348
636207757	apartments	101	469110558.0	도곡렉슬아파트	348
636207758	apartments	104	469110558.0	도곡렉슬아파트	348
636207759	apartments	207	469110558.0	도곡렉슬아파트	348
636207760	apartments	206	469110558.0	도곡렉슬아파트	348
636212495	apartments	408	469110558.0	도곡렉슬아파트	348
636212496	apartments	403	469110558.0	도곡렉슬아파트	348
636212497	apartments	404	469110558.0	도곡렉슬아파트	348
636212498	apartments	407	469110558.0	도곡렉슬아파트	348
636212499	apartments	405	469110558.0	도곡렉슬아파트	348
636212500	apartments	406	469110558.0	도곡렉슬아파트	348
636212501	apartments	410	469110558.0	도곡렉슬아파트	348
636212502	apartments	409	469110558.0	도곡렉슬아파트	348
636212507	apartments	101	417923182.0	래미안그레이튼아파트	353
636212508	apartments	102	417923182.0	래미안그레이튼아파트	353
636212509	apartments	104	417923182.0	래미안그레이튼아파트	350
636212510	apartments	105	417923182.0	래미안그레이튼아파트	351
636212511	apartments	103	417923182.0	래미안그레이튼아파트	354
636223044	apartments	201	636212514.0	래미안그레이튼3차아파트	355
636223045	apartments	202	636212514.0	래미안그레이튼3차아파트	355
