aptSeq	apt_name	gu	confidence	osm_id	name	name_key	levels	height_m	dist_m	assign_method
11410-104	남가좌동현대	서대문구	LOW	878543537	111	111	18.0	48.0	195.6418733073068	nearest
11440-5634	애오개아이파크	마포구	LOW	879299985	애오개아이파크	애오개아이파크	12.0	37.0	8.37259894690776	nearest
11440-4281	반도유보라아일랜드	마포구	LOW	879314863	반보유보라아일랜드아파트	반보유보라아일랜드아파트			3.959648688943186	nearest
11440-43	밤섬예가클래식	마포구	LOW	879314864	밤섬예가클래식아파트	밤섬예가클래식아파트	12.0	34.0	20.75605335681105	nearest
11470-44	진도1	양천구	LOW	881216150	801	801	15.0	42.0	121.41840799522048	nearest
11410-3532	우국한마음	서대문구	LOW	899602183	우국한마음아파트	우국한마음아파트	12.0	35.0	1.0323326458432436	nearest
11440-4061	중앙하이츠101동	마포구	LOW	900487430	102동	102	5.0	14.0	44.29228503561544	nearest
11440-4062	중앙하이츠103동	마포구	LOW	900487431	101동	101	5.0	14.0	79.70723264576974	nearest
11440-4046	중앙하이츠102동	마포구	LOW	900487432	103동	103	5.0	14.0	35.44028535097177	nearest
11440-4063	중앙하이츠104동	마포구	LOW	900487433	104동	104	5.0	14.0	42.687689725226434	nearest
11380-141	청나아파트	은평구	LOW	901063572	108동	108	16.0	50.0	50.4603750028	nearest
11380-8697	북한산현대힐스테이트3차아파트	은평구	HIGH	901412400	아파트	아파트		45.0	128.61914210235605	boundary
11380-11169	힐스테이트녹번역	은평구	MIXED	901467781	215동	215	12.0	46.0	523.507170011208	nearest
11380-11169	힐스테이트녹번역	은평구	MIXED	901467782	214동	214	12.0	46.0	490.93261064571374	nearest
11380-11169	힐스테이트녹번역	은평구	MIXED	901467783	213동	213	12.0	46.0	453.7930002324066	nearest
11380-2	대림아파트(276)	은평구	LOW	901480731	102동	102	19.0	61.0	75.78856619800092	nearest
11380-2	대림아파트(276)	은평구	LOW	901480732	103동	103	19.0	61.0	31.09093034649179	nearest
11380-6	녹번JR아파트	은평구	HIGH	901484101	104동	104	19.0	53.0	30.785050515422896	boundary
