aptSeq	floor_band	river_view	park_view	mountain_view	open_span_max
11530-4373	HIGH	False	True	True	245.0
11530-4392	LOW	False	True	True	120.0
11530-4392	MID	False	True	True	167.5
11530-4392	HIGH	False	True	True	170.0
11530-103	LOW	False	True		70.0
11530-103	MID	False	True		170.0
11530-103	HIGH	False	True		300.0
11530-142	LOW	False	True	True	65.0
11530-142	MID	False	True	True	100.0
11530-142	HIGH	False	True	True	165.0
11470-150	LOW	False	False		95.0
11470-150	MID	False	True		95.0
11470-150	HIGH	False	True		250.0
11470-3990	LOW	False	False		65.0
11470-3990	MID	False	True		105.0
11470-3990	HIGH	False	True		350.0
11530-3514	LOW	False	True	True	150.0
11530-3514	MID	False	True	True	150.0
11530-3514	HIGH	False	True	True	257.5
11530-3470	LOW	False	True	True	60.0
11530-3470	MID	False	True		65.0
11530-3470	HIGH	False	True		190.0
11530-5667	LOW	False	True		45.0
11530-5667	MID	False	True		65.0
11530-5667	HIGH	False	True		75.0
11530-88	LOW	False	False		20.0
11530-88	MID	False	False		40.0
11530-88	HIGH	False	False		150.0
11530-84	LOW	False	False		47.5
11530-84	MID	False	False		112.5
11530-84	HIGH	False	True		282.5
11470-3987	LOW	False	False		110.0
11470-3987	MID	False	False		110.0
11470-3987	HIGH	False	False		180.0
11470-4743	LOW	False	False		42.5
11470-4743	MID	False	False		82.5
11470-4743	HIGH	False	True		167.5
11470-4993	LOW	False	False		30.0
11470-4993	MID	False	False		60.0
11470-4993	HIGH	False	True		200.0
11470-332	LOW	False	False		10.0
11470-332	MID	False	False		40.0
11470-332	HIGH	False	False		110.0
11530-4438	LOW	False	True		95.0
11530-4438	MID	False	True		95.0
11530-4438	HIGH	False	True		145.0
11530-3222	LOW	False	True	True	360.0
11530-3222	MID	False	True	True	360.0
11530-3222	HIGH	False	True	True	360.0
11530-3223	LOW	False	True	True	360.0
11530-3223	MID	False	True	True	360.0
11530-3223	HIGH	False	True	True	360.0
11530-3215	LOW	False	True	True	360.0
11530-3215	MID	False	True	True	360.0
11530-3215	HIGH	False	True	True	360.0
11530-3618	LOW	False	True	True	360.0
11530-3618	MID	False	True	True	360.0
11530-3618	HIGH	False	True	True	360.0
11530-160	LOW	False	True	True	360.0
11530-160	MID	False	True	True	360.0
11530-160	HIGH	False	True	True	360.0
11530-159	LOW	False	True	True	360.0
11530-159	MID	False	True	True	360.0
11530-159	HIGH	False	True	True	360.0
11530-3616	LOW	False	True	True	360.0
11530-3616	MID	False	True	True	360.0
11530-3616	HIGH	False	True	True	360.0
11530-3375	LOW	False	True	True	360.0
11530-3375	MID	False	True	True	360.0
11530-3375	HIGH	False	True	True	360.0
11530-3208	LOW	False	True	True	360.0
11530-3208	MID	False	True	True	360.0
11530-3208	HIGH	False	True	True	360.0
11530-3873	LOW	False	True	True	60.0
11530-3873	MID	False	True		60.0
11530-3873	HIGH	False	True		65.0
11530-3489	LOW	False	True	True	105.0
11530-3489	MID	False	True		135.0
11530-3489	HIGH	False	True	True	255.0
11530-3485	LOW	False	True	True	45.0
11530-3485	MID	False	True	True	117.5
11530-3485	HIGH	False	True	True	225.0
11530-4424	LOW	False	True	True	130.0
11530-4424	MID	False	True	True	165.0
11530-4424	HIGH	False	True	True	240.0
11530-4403	LOW	False	True	True	90.0
11530-4403	MID	False	True		160.0
11530-4403	HIGH	False	True	True	170.0
11470-5628	LOW	False	True		27.5
11470-5628	MID	False	True		72.5
11470-5628	HIGH	False	True		192.5
11470-5627	LOW	False	False		35.0
11470-5627	MID	False	True		72.5
11470-5627	HIGH	False	True		180.0
