apt_seq	name	exclude_reason	matched_keyword	sale_5y_n	rent_5y_n	jeonse_share	built_year	total_households	rule
11590-3387	쌍용스윗닷홈(임대)	RENTAL_ONLY	임대	0	41	0.12195121951219512	2003.0	65.0	
11590-3677	상도동래미안1차(임대)	RENTAL_ONLY	임대	0	83	0.43373493975903615	2004.0	164.0	
11590-4502		NO_SALE_5Y		0	168	0.6904761904761905	2016.0	63.0	R1
11590-4973		NO_SALE_5Y		0	784	0.0012755102040816326	2020.0	272.0	R1
11590-5186		NO_SALE_5Y		0	554	0.0036101083032490976	2024.0	299.0	R2
11620-4533	동아(임대)	RENTAL_ONLY	임대	0	161	0.20496894409937888	2000.0		
11620-4534	우성(임대)	RENTAL_ONLY	임대	0	232	0.10775862068965517	2000.0		
11620-4535	두산(임대)	RENTAL_ONLY	임대	0	80	0.175	2000.0		
11620-4536	관악드림타운(임대)	RENTAL_ONLY	임대	0	615	0.23252032520325203	2003.0		
11620-4537	관악푸르지오(임대)	RENTAL_ONLY	임대	0	131	0.22137404580152673	2004.0		
11620-4538	벽산블루밍(임대)	RENTAL_ONLY	임대	0	259	0.1583011583011583	2005.0		
11620-4540	신림SH빌(임대)	RENTAL_ONLY	임대	0	59	0.2033898305084746	2007.0		
11620-5011		NO_SALE_5Y		0	100	0.01	2013.0	80.0	R1
11620-5627		NO_SALE_5Y		0	151	0.006622516556291391	2016.0	79.0	R1
11620-5968		NO_SALE_5Y		0	133	0.015037593984962405	2020.0	54.0	R1
11620-6003		NO_SALE_5Y		0	14	0.07142857142857142	2020.0	165.0	R1
11620-6826	신림SHville	RENTAL_ONLY	SH	0	2	0.5	2007.0		
11650-3702		NO_SALE_5Y		0	938	0.744136460554371	2011.0	509.0	R1
11650-3966		NO_SALE_5Y		0	356	0.5056179775280899	2013.0	790.0	R1
11650-3979		NO_SALE_5Y		0	387	1.0	2014.0	231.0	R1
11650-4047		NO_SALE_5Y		0	678	1.0	2014.0	390.0	R1
11650-4142		NO_SALE_5Y		0	145	0.33793103448275863	2015.0	62.0	R1
11650-4640		NO_SALE_5Y		0	259	0.9305019305019305	2018.0	102.0	R1
11650-4682		NO_SALE_5Y		0	123	0.7804878048780488	2018.0	57.0	R1
11650-5113		NO_SALE_5Y		0	241	0.012448132780082987	2023.0	289.0	R2
11680-4008		NO_SALE_5Y		0	302	0.543046357615894	2011.0	407.0	R1
11680-4153		NO_SALE_5Y		0	119	0.10084033613445378	2013.0	63.0	R1
11680-4253		NO_SALE_5Y		0	245	0.00816326530612245	2013.0	1065.0	R1
11680-4885		NO_SALE_5Y		0	123	0.12195121951219512	2020.0	77.0	R1
11680-4979		NO_SALE_5Y		0	113	0.02654867256637168	2021.0	63.0	R1
11680-5092		NO_SALE_5Y		0	1811	0.09607951408061845	2022.0	1703.0	R1
11680-5115	LH수서1단지아파트	RENTAL_ONLY	LH	0	1102	0.0009074410163339383	2023.0	830.0	
11680-5242		NO_SALE_5Y		0	217	0.018433179723502304	2023.0	597.0	R2
11710-5897		NO_SALE_5Y		0	453	0.17880794701986755	1997.0	660.0	R1
11710-5959		NO_SALE_5Y		0	487	0.26078028747433263	2000.0	598.0	R1
11710-8544		NO_SALE_5Y		0	3186	0.5392341494036409	2017.0	2200.0	R1
11710-9173		NO_SALE_5Y		0	1129	1.0	2020.0	685.0	R1
11710-9222		NO_SALE_5Y		0	152	0.6776315789473685	2021.0	56.0	R1
11710-9610		NO_SALE_5Y		0	305	0.003278688524590164	2024.0	438.0	R2
11740-3290		NO_SALE_5Y		0	152	0.006578947368421052	2012.0	84.0	R1
11740-3850		NO_SALE_5Y		0	863	0.0011587485515643105	2015.0	346.0	R1
11740-4393		NO_SALE_5Y		0	124	0.6532258064516129	2018.0	78.0	R1
11740-4614		NO_SALE_5Y		0	287	0.7560975609756098	2019.0	104.0	R1
11740-4710		NO_SALE_5Y		0	183	0.01092896174863388	2020.0	119.0	R1
11740-4797		NO_SALE_5Y		0	1475	0.4901694915254237	2021.0	1025.0	R1
11740-4798		NO_SALE_5Y		0	1768	0.5407239819004525	2021.0	1244.0	R1
11740-4810		NO_SALE_5Y		0	237	0.3881856540084388	2021.0	366.0	R1
11740-4953		NO_SALE_5Y		0	1154	0.524263431542461	2022.0	675.0	R1
11740-5100		NO_SALE_5Y		0	15	0.06666666666666667	1999.0	385.0	R1
11740-6589		NO_SALE_5Y		0	6	0.3333333333333333	1997.0	396.0	R1
11740-79		NO_SALE_5Y		0	20	0.65	1984.0	572.0	R1
